Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
Robert Kelley ,RB,24.048,2016-11-20,NFL,WAS,,GNB,W 42-24,10,11,Sun,0,0,,0,0,0,,0,0,,,24,137,5.71,3,2,0,0,,0,0.0%,0.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
John Kuhn,FB,34.023,2016-10-02,NFL,NOR,@,SDG,W 35-34,4,4,Sun,0,0,,0,0,0,,0,0,,,3,5,1.67,2,2,2,7,3.50,1,100.0%,3.50,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
LeSean McCoy,RB,28.096,2016-10-16,NFL,BUF,,SFO,W 45-16,6,6,Sun,0,0,,0,0,0,,0,0,,,19,140,7.37,3,2,1,2,2.00,0,50.0%,1.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0
Latavius Murray,RB,26.293,2016-11-06,NFL,OAK,,DEN,W 30-20,9,9,Sun,0,0,,0,0,0,,,0,,,20,114,5.70,3,1,1,13,13.00,0,100.0%,13.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams,WR,23.301,2016-10-20,NFL,GNB,,CHI,W 26-10,6,7,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,16,13,132,10.15,2,81.3%,8.25,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Davante Adams,WR,23.340,2016-11-28,NFL,GNB,@,PHI,W 27-13,11,12,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,6,5,113,22.60,2,83.3%,18.83,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Davante Adams,WR,24.008,2017-01-01,NFL,GNB,@,DET,W 31-24,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,6,31,5.17,2,66.7%,3.44,,,,,,,1,,2,14,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Jay Ajayi,RB,23.123,2016-10-16,NFL,MIA,,PIT,W 30-15,6,6,Sun,0,0,,0,0,0,,0,0,,,25,204,8.16,2,2,1,3,3.00,0,50.0%,1.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Danny Amendola,WR,30.321,2016-09-18,NFL,NWE,,MIA,W 31-24,2,2,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,48,12.00,2,100.0%,12.00,,,,,,,,,2,12,0,0,,0,3,33,11.00,0,0.0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0
C.J. Anderson,RB,25.211,2016-09-08,NFL,DEN,,CAR,W 21-20,1,1,Thu,0,0,,0,0,0,,0,0,,,20,92,4.60,1,5,4,47,11.75,1,80.0%,9.40,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Cameron Artis-Payne,RB,26.109,2016-10-10,NFL,CAR,,TAM,L 14-17,5,5,Mon,0,0,,0,0,0,,0,0,,,18,85,4.72,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cole Beasley,WR,27.173,2016-10-16,NFL,DAL,@,GNB,W 30-16,6,6,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,58,9.67,2,100.0%,9.67,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Odell Beckham Jr.,WR,23.346,2016-10-16,NFL,NYG,,BAL,W 27-23,6,6,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,10,8,222,27.75,2,80.0%,22.20,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,1,1,0,0,0,0
Odell Beckham Jr.,WR,24.001,2016-11-06,NFL,NYG,,PHI,W 28-23,8,9,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,10,4,46,11.50,2,40.0%,4.60,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Odell Beckham Jr.,WR,24.022,2016-11-27,NFL,NYG,@,CLE,W 27-13,11,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,11,6,96,16.00,2,54.5%,8.73,,,,,,,,,2,12,0,0,,0,3,35,11.67,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Le'Veon Bell,RB,24.269,2016-11-13,NFL,PIT,,DAL,L 30-35,9,10,Sun,0,0,,0,0,0,,0,0,,,17,57,3.35,1,10,9,77,8.56,1,90.0%,7.70,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,1,0,0,0,0,0
Le'Veon Bell,RB,24.311,2016-12-25,NFL,PIT,,BAL,W 31-27,15,16,Sun,0,0,,0,0,0,,0,0,,,20,122,6.10,1,4,3,15,5.00,1,75.0%,3.75,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kelvin Benjamin,WR,25.226,2016-09-18,NFL,CAR,,SFO,W 46-27,2,2,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,7,108,15.43,2,77.8%,12.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Travis Benjamin,WR,26.264,2016-09-18,NFL,SDG,,JAX,W 38-14,2,2,Sun,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,6,6,115,19.17,2,100.0%,19.17,,,,,,,,,2,12,0,0,,0,2,21,10.50,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
LeGarrette Blount,RB,29.292,2016-09-22,NFL,NWE,,HOU,W 27-0,3,3,Thu,0,0,,0,0,0,,0,0,,,24,105,4.38,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
LeGarrette Blount,RB,29.323,2016-10-23,NFL,NWE,@,PIT,W 27-16,7,7,Sun,0,0,,0,0,0,,0,0,,,24,127,5.29,2,1,1,7,7.00,0,100.0%,7.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
LeGarrette Blount,RB,30.019,2016-12-24,NFL,NWE,,NYJ,W 41-3,15,16,Sat,0,0,,0,0,0,,0,0,,,20,50,2.50,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Devontae Booker,RB,24.219,2017-01-01,NFL,DEN,,OAK,W 24-6,16,17,Sun,0,0,,0,0,0,,0,0,,,14,57,4.07,1,3,2,52,26.00,1,66.7%,17.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Cameron Brate,TE,25.084,2016-09-25,NFL,TAM,,LAR,L 32-37,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,10,5,46,9.20,2,50.0%,4.60,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Britt,WR,28.027,2016-10-16,NFL,LAR,@,DET,L 28-31,6,6,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,7,136,19.43,2,87.5%,17.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Antonio Brown ,WR,28.064,2016-09-12,NFL,PIT,@,WAS,W 38-16,1,1,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,11,8,126,15.75,2,72.7%,11.45,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Antonio Brown ,WR,28.084,2016-10-02,NFL,PIT,,KAN,W 43-14,4,4,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,5,4,64,16.00,2,80.0%,12.80,,,,,,,,,2,12,0,0,,0,1,4,4.00,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Dez Bryant,WR,28.016,2016-11-20,NFL,DAL,,BAL,W 27-17,10,11,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,6,80,13.33,2,75.0%,10.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Dez Bryant,WR,28.052,2016-12-26,NFL,DAL,,DET,W 42-21,15,16,Mon,1,1,100.00,10,1,0,147.9,0,0,10.00,30.00,0,0,,0,5,4,70,17.50,2,80.0%,14.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Rex Burkhead ,HB,26.183,2017-01-01,NFL,CIN,,BAL,W 27-10,16,17,Sun,0,0,,0,0,0,,0,0,,,27,119,4.41,2,2,2,25,12.50,0,100.0%,12.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Charles Clay,TE,27.315,2016-12-24,NFL,BUF,,MIA,L 31-34,15,16,Sat,0,0,,0,0,0,,0,0,,,0,0,,0,10,8,85,10.63,2,80.0%,8.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Sammie Coates,WR,23.192,2016-10-09,NFL,PIT,,NYJ,W 31-13,5,5,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,11,6,139,23.17,2,54.5%,12.64,,,,,,,,,2,12,1,23,23.00,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Corey Coleman,WR,22.074,2016-09-18,NFL,CLE,,BAL,L 20-25,2,2,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,5,104,20.80,2,62.5%,13.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Tevin Coleman,RB,23.239,2016-12-11,NFL,ATL,@,LAR,W 42-14,13,14,Sun,0,0,,0,0,0,,0,0,,,8,36,4.50,1,3,2,19,9.50,1,66.7%,6.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Brandin Cooks,WR,22.352,2016-09-11,NFL,NOR,,OAK,L 34-35,1,1,Sun,0,0,,0,0,0,,0,0,,,1,11,11.00,0,9,6,143,23.83,2,66.7%,15.89,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Brandin Cooks,WR,23.084,2016-12-18,NFL,NOR,@,ARI,W 48-41,14,15,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,7,186,26.57,2,87.5%,23.25,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Kirk Cousins ,QB,28.127,2016-12-24,NFL,WAS,@,CHI,W 41-21,15,16,Sat,18,29,62.07,270,1,0,104.1,0,0,9.31,10.00,5,30,6.00,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Isaiah Crowell,RB,23.351,2016-12-24,NFL,CLE,,SDG,W 20-17,15,16,Sat,0,0,,0,0,0,,0,0,,,16,54,3.38,2,5,4,4,1.00,0,80.0%,0.80,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Jack Doyle,TE,26.129,2016-09-11,NFL,IND,,DET,L 35-39,1,1,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,4,3,35,11.67,2,75.0%,8.75,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Shaun Draughn,RB,29.025,2017-01-01,NFL,SFO,,SEA,L 23-25,16,17,Sun,0,0,,0,0,0,,0,0,,,21,41,1.95,2,6,4,68,17.00,0,66.7%,11.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Tyler Eifert,TE,26.094,2016-12-11,NFL,CIN,@,CLE,W 23-10,13,14,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,5,48,9.60,2,83.3%,8.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Ezekiel Elliott,RB,21.079,2016-10-09,NFL,DAL,,CIN,W 28-14,5,5,Sun,0,0,,0,0,0,,0,0,,,15,134,8.93,2,4,3,37,12.33,0,75.0%,9.25,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Ezekiel Elliott,RB,21.107,2016-11-06,NFL,DAL,@,CLE,W 35-10,8,9,Sun,0,0,,0,0,0,,0,0,,,18,92,5.11,2,1,1,5,5.00,0,100.0%,5.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0
Ezekiel Elliott,RB,21.125,2016-11-24,NFL,DAL,,WAS,W 31-26,11,12,Thu,0,0,,0,0,0,,0,0,,,20,97,4.85,2,2,2,23,11.50,0,100.0%,11.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezekiel Elliott,RB,21.157,2016-12-26,NFL,DAL,,DET,W 42-21,15,16,Mon,0,0,,0,0,0,,0,0,,,12,80,6.67,2,1,1,12,12.00,0,100.0%,12.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Zach Ertz,TE,26.052,2017-01-01,NFL,PHI,,DAL,W 27-13,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,16,13,139,10.69,2,81.3%,8.69,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Mike Evans,WR,23.063,2016-10-23,NFL,TAM,@,SFO,W 34-17,6,7,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,13,8,96,12.00,2,61.5%,7.38,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Mike Evans,WR,23.074,2016-11-03,NFL,TAM,,ATL,L 28-43,8,9,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,17,11,150,13.64,2,64.7%,8.82,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Mike Evans,WR,23.098,2016-11-27,NFL,TAM,,SEA,W 14-5,11,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,11,8,104,13.00,2,72.7%,9.45,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Larry Fitzgerald,WR,33.011,2016-09-11,NFL,ARI,,NWE,L 21-23,1,1,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,10,8,81,10.13,2,80.0%,8.10,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Larry Fitzgerald,WR,33.036,2016-10-06,NFL,ARI,@,SFO,W 33-21,5,5,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,8,6,81,13.50,2,75.0%,10.13,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Coby Fleener ,TE,28.026,2016-10-16,NFL,NOR,,CAR,W 41-38,5,6,Sun,0,0,,0,0,0,,0,0,,,1,2,2.00,1,7,6,74,12.33,1,85.7%,10.57,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Matt Forte ,RB,30.318,2016-10-23,NFL,NYJ,,BAL,W 24-16,7,7,Sun,0,0,,0,0,0,,0,0,,,30,100,3.33,1,4,4,54,13.50,1,100.0%,13.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,1,1,0,0,0,0
Matt Forte ,RB,30.325,2016-10-30,NFL,NYJ,@,CLE,W 31-28,8,8,Sun,0,0,,0,0,0,,0,0,,,25,82,3.28,2,3,2,16,8.00,0,66.7%,5.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Devonta Freeman ,RB,24.229,2016-10-30,NFL,ATL,,GNB,W 33-32,8,8,Sun,0,0,,0,0,0,,0,0,,,11,35,3.18,1,6,4,23,5.75,1,66.7%,3.83,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Devonta Freeman ,RB,24.257,2016-11-27,NFL,ATL,,ARI,W 38-19,11,12,Sun,0,0,,0,0,0,,0,0,,,16,60,3.75,2,3,2,17,8.50,0,66.7%,5.67,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Devonta Freeman ,RB,24.264,2016-12-04,NFL,ATL,,KAN,L 28-29,12,13,Sun,0,0,,0,0,0,,0,0,,,15,56,3.73,2,5,4,49,12.25,0,80.0%,9.80,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Will Fuller,WR,22.169,2016-10-02,NFL,HOU,,TEN,W 27-20,4,4,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,7,81,11.57,1,77.8%,9.00,,,,,,,,,2,12,0,0,,0,1,67,67.00,1,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Taylor Gabriel,WR,25.284,2016-11-27,NFL,ATL,,ARI,W 38-19,11,12,Sun,0,0,,0,0,0,,0,0,,,1,27,27.00,0,5,4,75,18.75,2,80.0%,15.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Mike Gillislee ,RB,26.033,2016-12-04,NFL,BUF,@,OAK,L 24-38,12,13,Sun,0,0,,0,0,0,,0,0,,,8,49,6.13,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Melvin Gordon,RB,23.151,2016-09-11,NFL,SDG,@,KAN,L 27-33,1,1,Sun,0,0,,0,0,0,,0,0,,,14,57,4.07,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Melvin Gordon,RB,23.172,2016-10-02,NFL,SDG,,NOR,L 34-35,4,4,Sun,0,0,,0,0,0,,0,0,,,19,36,1.89,2,7,6,43,7.17,0,85.7%,6.14,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,1,1,0,0,0,0
Frank Gore,RB,33.176,2016-11-06,NFL,IND,@,GNB,W 31-26,9,9,Sun,0,0,,0,0,0,,0,0,,,19,60,3.16,2,2,2,11,5.50,0,100.0%,5.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Jimmy Graham,TE,29.349,2016-11-07,NFL,SEA,,BUF,W 31-25,8,9,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,8,8,103,12.88,2,100.0%,12.88,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Gurley,HB,22.053,2016-09-25,NFL,LAR,@,TAM,W 37-32,3,3,Sun,0,0,,0,0,0,,0,0,,,27,85,3.15,2,2,1,-5,-5.00,0,50.0%,-2.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Andrew Hawkins,WR,30.234,2016-10-30,NFL,CLE,,NYJ,L 28-31,8,8,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,5,31,6.20,2,55.6%,3.44,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Derrick Henry ,RB,22.349,2016-12-18,NFL,TEN,@,KAN,W 19-17,14,15,Sun,0,0,,0,0,0,,0,0,,,9,58,6.44,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Tim Hightower,RB,30.209,2016-12-18,NFL,NOR,@,ARI,W 48-41,14,15,Sun,0,0,,0,0,0,,0,0,,,11,37,3.36,2,3,3,11,3.67,0,100.0%,3.67,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
