Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps,Year,Week,Tackle %,Sack %,QB Hit %
Joshua Kelley ,RB,LAC,1,17,17,26,41,0,41,41,2.1,12.4,2020,10,,,
Salvon Ahmed ,RB,MIA,1,44,44,75,48,2,50,50,15.0,34.1,2020,10,,,
Rodney Smith ,RB,CAR,1,9,9,19,33,11,44,44,1.5,16.7,2020,10,,,
Van Jefferson ,WR,LAR,1,13,13,19,0,8,8,8,1.5,11.5,2020,10,,,
Marquez Callaway ,WR,NO,1,6,6,10,0,0,0,0,0.0,0.0,2020,10,,,
DeeJay Dallas ,RB,SEA,1,22,22,33,9,14,18,23,3.1,14.1,2020,10,,,
Artavis Pierce ,RB,CHI,1,6,6,12,50,0,50,50,0.9,15.0,2020,10,,,
Isaiah Wright ,WR,WAS,1,29,29,33,0,21,21,21,5.9,20.3,2020,10,,,
Jake Luton ,QB,JAC,1,64,64,100,0,0,55,55,9.8,15.3,2020,10,,,
Antonio Gibson ,RB,WAS,1,33,33,38,39,12,52,52,18.5,56.1,2020,10,,,
JaMycal Hasty ,RB,SF,1,15,15,21,20,13,33,33,0.9,6.0,2020,10,,,
James Robinson ,RB,JAC,1,53,53,83,43,9,47,53,11.2,21.1,2020,10,,,
Charlie Woerner ,TE,SF,1,8,8,11,0,0,0,0,0.0,0.0,2020,10,,,
Noah Togiai ,TE,IND,1,16,16,23,0,0,0,0,0.0,0.0,2020,10,,,
Austin Mack ,WR,NYG,1,24,24,34,0,4,4,4,0.9,3.8,2020,10,,,
Ben Ellefson ,TE,JAC,1,19,19,30,0,0,0,0,0.0,0.0,2020,10,,,
Freddie Swain ,WR,SEA,1,25,25,37,0,16,12,16,3.7,14.8,2020,10,,,
Malcolm Perry ,WR,MIA,1,23,23,39,4,9,13,13,2.7,11.7,2020,10,,,
Nick Westbrook-Ikhine ,WR,TEN,1,9,9,14,0,11,0,11,0.0,0.0,2020,10,,,
Darnell Mooney ,WR,CHI,1,46,46,90,0,4,4,4,0.3,0.7,2020,10,,,
Reggie Gilliam ,RB,BUF,1,1,1,1,0,0,0,0,0.0,0.0,2020,10,,,
DeMichael Harris ,WR,IND,1,9,9,13,0,11,11,11,2.1,23.3,2020,10,,,
Gabe Nabers ,RB,LAC,1,10,10,15,0,10,10,10,0.9,9.0,2020,10,,,
Aaron Rodgers ,QB,GB,1,60,60,100,5,0,68,68,22.7,37.8,2020,11,,,
Adrian Peterson ,RB,DET,1,17,17,30,41,6,41,47,1.8,10.6,2020,11,,,
Alex Smith ,QB,WAS,1,62,62,100,5,0,45,45,9.3,15.0,2020,11,,,
Ben Roethlisberger ,QB,PIT,1,69,69,92,0,0,67,67,17.7,25.7,2020,11,,,
Frank Gore ,RB,NYJ,1,35,35,58,43,6,49,49,13.1,37.4,2020,11,,,
Greg Olsen ,TE,SEA,1,40,40,61,0,5,5,5,2.0,5.0,2020,11,,,
Jared Cook ,TE,NO,1,25,25,38,0,4,4,4,0.6,2.4,2020,11,,,
Jason Witten ,TE,LV,1,33,33,56,0,3,3,3,6.1,18.5,2020,11,,,
Joe Flacco ,QB,NYJ,1,60,60,100,2,0,52,52,15.4,25.7,2020,11,,,
Larry Fitzgerald ,WR,ARI,1,55,55,82,0,18,15,18,6.2,11.3,2020,11,,,
Marcedes Lewis ,TE,GB,1,19,19,32,0,5,5,5,0.8,4.2,2020,11,,,
Matt Ryan ,QB,ATL,1,62,62,100,0,0,60,60,7.3,11.8,2020,11,,,
Matthew Stafford ,QB,DET,1,56,56,100,7,0,66,66,7.6,13.6,2020,11,,,
Philip Rivers ,QB,IND,1,77,77,92,1,0,48,48,22.4,29.1,2020,11,,,
Ryan Fitzpatrick ,QB,MIA,1,21,21,32,10,0,95,95,4.3,20.5,2020,11,,,
Tom Brady ,QB,TB,1,69,69,100,0,0,70,70,14.6,21.2,2020,11,,,
Dez Bryant ,WR,BAL,1,35,35,54,0,14,11,14,2.8,8.0,2020,11,,,
Emmanuel Sanders ,WR,NO,1,39,39,59,0,13,10,13,6.6,16.9,2020,11,,,
Rob Gronkowski ,TE,TB,1,54,54,78,0,11,4,11,2.5,4.6,2020,11,,,
Antonio Brown ,WR,TB,1,43,43,62,2,30,21,33,5.8,13.5,2020,11,,,
A.J. Green ,WR,CIN,1,54,54,79,0,17,7,17,10.1,18.7,2020,11,,,
Julio Jones ,WR,ATL,1,22,22,35,0,9,9,9,3.9,17.7,2020,11,,,
Cam Newton ,QB,NE,1,69,69,100,4,0,62,62,19.2,27.8,2020,11,,,
Mark Ingram II ,RB,BAL,1,6,6,9,33,0,33,33,0.2,3.3,2020,11,,,
Randall Cobb ,WR,HOU,1,5,5,8,0,40,40,40,6.7,134.0,2020,11,,,
Kyle Rudolph ,TE,MIN,1,46,46,71,0,7,7,7,2.8,6.1,2020,11,,,
Andy Dalton ,QB,DAL,1,66,66,100,5,2,55,55,19.3,29.2,2020,11,,,
