Player,Pos,Team,Games,Snaps,Snap %,Season,Week
Sammy Watkins,WR,KAN,1,65,0.94,2019,1
Mike Evans,WR,TAM,1,59,0.86,2019,1
Marqise Lee,WR,JAX,1,12,0.21,2019,1
Brandin Cooks,WR,LAR,1,70,0.92,2019,1
Davante Adams,WR,GNB,1,59,0.97,2019,1
Donte Moncrief,WR,PIT,1,60,0.9,2019,1
Allen Robinson,WR,CHI,1,68,0.96,2019,1
Odell Beckham,WR,CLE,1,71,1.0,2019,1
Jarvis Landry,WR,CLE,1,71,1.0,2019,1
Paul Richardson,WR,WAS,1,51,0.78,2019,1
Eric Ebron,TE,IND,1,25,0.4,2019,1
Xavier Grimble,TE,PIT,1,2,0.03,2019,1
James White,RB,NWE,1,33,0.47,2019,1
Cody Latimer,WR,NYG,1,60,0.88,2019,1
Jimmy Garoppolo,QB,SFO,1,66,1.0,2019,1
John Brown,WR,BUF,1,56,0.84,2019,1
Ryan Grant,WR,OAK,1,40,0.73,2019,1
Quincy Enunwa,WR,NYJ,1,65,0.92,2019,1
Damien Williams,RB,KAN,1,45,0.65,2019,1
Albert Wilson,WR,MIA,1,6,0.12,2019,1
Taylor Gabriel,WR,CHI,1,65,0.92,2019,1
Willie Snead,WR,BAL,1,49,0.64,2019,1
Allen Hurns,WR,MIA,1,34,0.69,2019,1
Bennie Fowler,WR,NYG,1,50,0.74,2019,1
Dontrelle Inman,WR,LAC,1,26,0.41,2019,1
Keith Smith,RB,ATL,1,6,0.08,2019,1
Adam Thielen,WR,MIN,1,47,0.84,2019,1
Cameron Brate,TE,TAM,1,30,0.43,2019,1
Josh Hill,TE,NOR,1,32,0.48,2019,1
Darren Fells,TE,HOU,1,32,0.5,2019,1
Seth Roberts,WR,BAL,1,51,0.67,2019,1
Marcus Mariota,QB,TEN,1,57,0.97,2019,1
Jameis Winston,QB,TAM,1,69,1.0,2019,1
Amari Cooper,WR,DAL,1,52,0.76,2019,1
DeVante Parker,WR,MIA,1,37,0.76,2019,1
Todd Gurley,RB,LAR,1,53,0.7,2019,1
Devin Funchess,WR,IND,1,36,0.57,2019,1
Maxx Williams,TE,ARI,1,22,0.25,2019,1
Ameer Abdullah,RB,MIN,1,4,0.07,2019,1
Tevin Coleman,RB,SFO,1,18,0.27,2019,1
Duke Johnson,RB,HOU,1,41,0.64,2019,1
T.J. Yeldon,RB,BUF,1,2,0.03,2019,1
Mike Davis,RB,CHI,1,40,0.56,2019,1
David Johnson,RB,ARI,1,76,0.86,2019,1
Malcolm Brown,RB,LAR,1,21,0.28,2019,1
Nick O'Leary,TE,MIA,1,20,0.41,2019,1
Jesse James,TE,DET,1,50,0.59,2019,1
Jeff Heuerman,TE,DEN,1,21,0.34,2019,1
Nick Boyle,TE,BAL,1,43,0.57,2019,1
MyCole Pruitt,TE,TEN,1,34,0.58,2019,1
Blake Bell,TE,KAN,1,33,0.48,2019,1
Nelson Agholor,WR,PHI,1,59,0.8,2019,1
Justin Hardy,WR,ATL,1,21,0.28,2019,1
Tyler Lockett,WR,SEA,1,46,0.9,2019,1
Devin Smith,WR,DAL,1,6,0.09,2019,1
Breshad Perriman,WR,TAM,1,44,0.64,2019,1
Jamison Crowder,WR,NYJ,1,64,0.9,2019,1
Ty Montgomery,RB,NYJ,1,5,0.07,2019,1
Phillip Dorsett,WR,NWE,1,61,0.87,2019,1
Stefon Diggs,WR,MIN,1,32,0.57,2019,1
Chris Manhertz,TE,CAR,1,18,0.27,2019,1
Jake Kumerow,WR,GNB,1,1,0.02,2019,1
C.J. Uzomah,TE,CIN,1,53,0.71,2019,1
DeAndre Carter,WR,HOU,1,27,0.42,2019,1
Darren Waller,TE,OAK,1,55,1.0,2019,1
James O'Shaughnessy,TE,JAX,1,38,0.66,2019,1
Chris Conley,WR,JAX,1,44,0.76,2019,1
Geoff Swaim,TE,JAX,1,29,0.5,2019,1
Damiere Byrd,WR,ARI,1,77,0.88,2019,1
J.J. Nelson,WR,OAK,1,6,0.11,2019,1
Tyrell Williams,WR,OAK,1,52,0.95,2019,1
Raheem Mostert,RB,SFO,1,20,0.3,2019,1
Eric Tomlinson,TE,NYG,1,2,0.03,2019,1
Darius Jennings,WR,TEN,1,5,0.08,2019,1
Daniel Brown,TE,NYJ,1,2,0.03,2019,1
Adam Humphries,WR,TEN,1,20,0.34,2019,1
Ezekiel Elliott,RB,DAL,1,37,0.54,2019,1
Jared Goff,QB,LAR,1,76,1.0,2019,1
Derrick Henry,RB,TEN,1,36,0.61,2019,1
Carson Wentz,QB,PHI,1,74,1.0,2019,1
Michael Thomas,WR,NOR,1,59,0.89,2019,1
Tyler Boyd,WR,CIN,1,59,0.79,2019,1
Devontae Booker,RB,DEN,1,1,0.02,2019,1
Pharoh Cooper,WR,CIN,1,8,0.11,2019,1
Hunter Henry,TE,LAC,1,58,0.91,2019,1
Sterling Shepard,WR,NYG,1,67,0.99,2019,1
Austin Hooper,TE,ATL,1,58,0.77,2019,1
Jordan Howard,RB,PHI,1,17,0.23,2019,1
Rashard Higgins,WR,CLE,1,31,0.44,2019,1
Tajae Sharpe,WR,TEN,1,29,0.49,2019,1
Dak Prescott,QB,DAL,1,65,0.96,2019,1
Tyler Higbee,TE,LAR,1,39,0.51,2019,1
Will Fuller,WR,HOU,1,62,0.97,2019,1
Kenyan Drake,RB,MIA,1,26,0.53,2019,1
Jacoby Brissett,QB,IND,1,63,1.0,2019,1
Nick Vannett,TE,SEA,1,23,0.45,2019,1
Chris Moore,WR,BAL,1,31,0.41,2019,1
Demarcus Robinson,WR,KAN,1,43,0.62,2019,1
Seth DeValve,TE,JAX,1,8,0.14,2019,1
Jakeem Grant,WR,MIA,1,30,0.61,2019,1
Robby Anderson,WR,NYJ,1,68,0.96,2019,1
Alex Erickson,WR,CIN,1,11,0.15,2019,1
Derek Watt,RB,LAC,1,15,0.23,2019,1
Tyreek Hill,WR,KAN,1,12,0.17,2019,1
Johnny Holton,WR,PIT,1,7,0.1,2019,1
DeAndre Washington,RB,OAK,1,5,0.09,2019,1
Ben Braunecker,TE,CHI,1,9,0.13,2019,1
Trevor Davis,WR,GNB,1,17,0.28,2019,1
Geronimo Allison,WR,GNB,1,30,0.49,2019,1
Dan Vitale,RB,GNB,1,11,0.18,2019,1
Peyton Barber,RB,TAM,1,25,0.36,2019,1
Chester Rogers,WR,IND,1,25,0.4,2019,1
Alex Ellis,TE,PHI,1,2,0.03,2019,1
Jalen Richard,RB,OAK,1,9,0.16,2019,1
C.J. Ham,RB,MIN,1,22,0.39,2019,1
J.D. McKissic,RB,DET,1,5,0.06,2019,1
Elijhaa Penny,RB,NYG,1,6,0.09,2019,1
Dalvin Cook,RB,MIN,1,36,0.64,2019,1
Mike Williams,WR,LAC,1,41,0.64,2019,1
Leonard Fournette,RB,JAX,1,50,0.86,2019,1
O.J. Howard,TE,TAM,1,55,0.8,2019,1
Mitchell Trubisky,QB,CHI,1,71,1.0,2019,1
Corey Davis,WR,TEN,1,43,0.73,2019,1
John Ross,WR,CIN,1,61,0.81,2019,1
Christian McCaffrey,RB,CAR,1,66,1.0,2019,1
Deshaun Watson,QB,HOU,1,64,1.0,2019,1
David Njoku,TE,CLE,1,65,0.92,2019,1
Chris Godwin,WR,TAM,1,63,0.91,2019,1
Evan Engram,TE,NYG,1,52,0.76,2019,1
Patrick Mahomes,QB,KAN,1,59,0.86,2019,1
Joe Mixon,RB,CIN,1,28,0.37,2019,1
Alvin Kamara,RB,NOR,1,50,0.76,2019,1
Wayne Gallman,RB,NYG,1,14,0.21,2019,1
Samaje Perine,RB,CIN,1,1,0.01,2019,1
Jamaal Williams,RB,GNB,1,24,0.39,2019,1
JuJu Smith-Schuster,WR,PIT,1,60,0.9,2019,1
Zay Jones,WR,BUF,1,29,0.43,2019,1
Cooper Kupp,WR,LAR,1,68,0.89,2019,1
Curtis Samuel,WR,CAR,1,61,0.92,2019,1
Dede Westbrook,WR,JAX,1,48,0.83,2019,1
Josh Reynolds,WR,LAR,1,25,0.33,2019,1
Marlon Mack,RB,IND,1,48,0.76,2019,1
Corey Clement,RB,PHI,1,3,0.04,2019,1
James Conner,RB,PIT,1,31,0.46,2019,1
Tarik Cohen,RB,CHI,1,51,0.72,2019,1
Adam Shaheen,TE,CHI,1,33,0.46,2019,1
Gerald Everett,TE,LAR,1,30,0.39,2019,1
Jonnu Smith,TE,TEN,1,37,0.63,2019,1
Jeremy Sprinkle,TE,WAS,1,14,0.22,2019,1
Cooper Rush,QB,DAL,1,3,0.04,2019,1
T.J. Logan,RB,TAM,1,1,0.01,2019,1
Austin Ekeler,RB,LAC,1,47,0.73,2019,1
Kenny Golladay,WR,DET,1,82,0.96,2019,1
Mack Hollins,WR,PHI,1,10,0.14,2019,1
George Kittle,TE,SFO,1,60,0.91,2019,1
Antony Auclair,TE,TAM,1,13,0.19,2019,1
Robert Tonyan,TE,GNB,1,19,0.31,2019,1
Tim Patrick,WR,DEN,1,8,0.13,2019,1
Mo Alie-Cox,TE,IND,1,13,0.21,2019,1
Isaiah McKenzie,WR,BUF,1,4,0.06,2019,1
Ryan Switzer,WR,PIT,1,46,0.69,2019,1
Blake Jarwin,TE,DAL,1,27,0.4,2019,1
Aaron Jones,RB,GNB,1,37,0.61,2019,1
Alex Armah,RB,CAR,1,12,0.18,2019,1
Chris Carson,RB,SEA,1,39,0.76,2019,1
Anthony Firkser,TE,TEN,1,9,0.15,2019,1
Keelan Cole,WR,JAX,1,12,0.21,2019,1
Dare Ogunbowale,RB,TAM,1,26,0.38,2019,1
Sean Culkin,TE,LAC,1,1,0.02,2019,1
Zach Pascal,WR,IND,1,23,0.37,2019,1
Matt Breida,RB,SFO,1,28,0.42,2019,1
Kendrick Bourne,WR,SFO,1,16,0.24,2019,1
Taysom Hill,QB,NOR,1,15,0.23,2019,1
Patrick Ricard,RB,BAL,1,24,0.32,2019,1
Lamar Jackson,QB,BAL,1,53,0.7,2019,1
Josh Rosen,QB,MIA,1,5,0.1,2019,1
Sam Darnold,QB,NYJ,1,71,1.0,2019,1
Baker Mayfield,QB,CLE,1,71,1.0,2019,1
Saquon Barkley,RB,NYG,1,54,0.79,2019,1
Derrius Guice,RB,WAS,1,23,0.35,2019,1
Ronald Jones,RB,TAM,1,22,0.32,2019,1
Royce Freeman,RB,DEN,1,29,0.47,2019,1
Nick Chubb,RB,CLE,1,50,0.7,2019,1
Kerryon Johnson,RB,DET,1,48,0.56,2019,1
Ito Smith,RB,ATL,1,38,0.51,2019,1
Kalen Ballage,RB,MIA,1,20,0.41,2019,1
Courtland Sutton,WR,DEN,1,55,0.89,2019,1
James Washington,WR,PIT,1,35,0.52,2019,1
Anthony Miller,WR,CHI,1,15,0.21,2019,1
Calvin Ridley,WR,ATL,1,57,0.76,2019,1
Michael Gallup,WR,DAL,1,53,0.78,2019,1
Tre'Quan Smith,WR,NOR,1,42,0.64,2019,1
Deon Cain,WR,IND,1,11,0.17,2019,1
Dante Pettis,WR,SFO,1,2,0.03,2019,1
D.J. Moore,WR,CAR,1,62,0.94,2019,1
Trey Quinn,WR,WAS,1,62,0.95,2019,1
Christian Kirk,WR,ARI,1,82,0.93,2019,1
Mark Andrews,TE,BAL,1,31,0.41,2019,1
Dallas Goedert,TE,PHI,1,41,0.55,2019,1
Jaylen Samuels,RB,PIT,1,22,0.33,2019,1
Mike Gesicki,TE,MIA,1,33,0.67,2019,1
Troy Fumagalli,TE,DEN,1,10,0.16,2019,1
Hayden Hurst,TE,BAL,1,43,0.57,2019,1
D.J. Chark,WR,JAX,1,41,0.71,2019,1
Nyheim Hines,RB,IND,1,17,0.27,2019,1
Josh Allen,QB,BUF,1,66,0.99,2019,1
Justin Jackson,RB,LAC,1,16,0.25,2019,1
Richie James,WR,SFO,1,26,0.39,2019,1
Mark Walton,RB,MIA,1,4,0.08,2019,1
Rashaad Penny,RB,SEA,1,14,0.27,2019,1
Sony Michel,RB,NWE,1,23,0.33,2019,1
Dalton Schultz,TE,DAL,1,9,0.13,2019,1
Ian Thomas,TE,CAR,1,4,0.06,2019,1
Javon Wims,WR,CHI,1,20,0.28,2019,1
Jordan Akins,TE,HOU,1,45,0.7,2019,1
Robert Foster,WR,BUF,1,14,0.21,2019,1
DaeSean Hamilton,WR,DEN,1,47,0.76,2019,1
Chase Edmonds,RB,ARI,1,10,0.11,2019,1
Phillip Lindsay,RB,DEN,1,33,0.53,2019,1
Durham Smythe,TE,MIA,1,12,0.24,2019,1
Noah Fant,TE,DEN,1,50,0.81,2019,1
Marquez Valdes-Scantling,WR,GNB,1,41,0.67,2019,1
Trenton Cannon,RB,NYJ,1,1,0.01,2019,1
Ryan Izzo,TE,NWE,1,45,0.64,2019,1
Damion Ratley,WR,CLE,1,35,0.49,2019,1
Nick Bawden,RB,DET,1,21,0.25,2019,1
Justin Watson,WR,TAM,1,1,0.01,2019,1
Russell Gage,WR,ATL,1,13,0.17,2019,1
Chris Lacy,WR,DET,1,3,0.04,2019,1
Gus Edwards,RB,BAL,1,29,0.38,2019,1
Byron Pringle,WR,KAN,1,3,0.04,2019,1
Mike Boone,RB,MIN,1,2,0.04,2019,1
Keith Kirkwood,WR,NOR,1,12,0.18,2019,1
Ross Dwelley,TE,SFO,1,12,0.18,2019,1
Trent Sherfield,WR,ARI,1,5,0.06,2019,1
Dontrell Hilliard,RB,CLE,1,12,0.17,2019,1
Will Dissly,TE,SEA,1,26,0.51,2019,1
Chad Beebe,WR,MIN,1,14,0.25,2019,1
Jaeden Graham,TE,ATL,1,5,0.07,2019,1
Malik Turner,WR,SEA,1,15,0.29,2019,1
A.J. Brown,WR,TEN,1,25,0.42,2019,1
D.K. Metcalf,WR,SEA,1,40,0.78,2019,1
Marquise Brown,WR,BAL,1,14,0.18,2019,1
Kelvin Harmon,WR,WAS,1,13,0.2,2019,1
Daniel Jones,QB,NYG,1,5,0.07,2019,1
JJ Arcega-Whiteside,WR,PHI,1,5,0.07,2019,1
David Montgomery,RB,CHI,1,27,0.38,2019,1
Deebo Samuel,WR,SFO,1,58,0.88,2019,1
Justice Hill,RB,BAL,1,22,0.29,2019,1
Josh Jacobs,RB,OAK,1,40,0.73,2019,1
Devin Singletary,RB,BUF,1,45,0.67,2019,1
Miles Sanders,RB,PHI,1,36,0.49,2019,1
T.J. Hockenson,TE,DET,1,60,0.71,2019,1
Tommy Sweeney,TE,BUF,1,21,0.31,2019,1
Hunter Renfrow,WR,OAK,1,16,0.29,2019,1
Foster Moreau,TE,OAK,1,29,0.53,2019,1
Brandon Dillon,TE,MIN,1,7,0.13,2019,1
Ty Johnson,RB,DET,1,8,0.09,2019,1
Parris Campbell,WR,IND,1,18,0.29,2019,1
Terry McLaurin,WR,WAS,1,59,0.91,2019,1
Ryquell Armstead,RB,JAX,1,8,0.14,2019,1
Drew Sample,TE,CIN,1,3,0.04,2019,1
Gardner Minshew,QB,JAX,1,47,0.81,2019,1
Trevon Wesco,TE,NYJ,1,5,0.07,2019,1
Alec Ingold,RB,OAK,1,15,0.27,2019,1
Mecole Hardman,WR,KAN,1,53,0.77,2019,1
Darrell Henderson,RB,LAR,1,2,0.03,2019,1
Jakobi Meyers,WR,NWE,1,8,0.11,2019,1
Kyler Murray,QB,ARI,1,88,1.0,2019,1
Irv Smith,TE,MIN,1,26,0.46,2019,1
Preston Williams,WR,MIA,1,20,0.41,2019,1
Diontae Johnson,WR,PIT,1,24,0.36,2019,1
KeeSean Johnson,WR,ARI,1,67,0.76,2019,1
Darwin Thompson,RB,KAN,1,2,0.03,2019,1
Alexander Mattison,RB,MIN,1,12,0.21,2019,1
Dawson Knox,TE,BUF,1,38,0.57,2019,1
Miles Boykin,WR,BAL,1,18,0.24,2019,1
Chandler Cox,RB,MIA,1,3,0.06,2019,1
Tony Pollard,RB,DAL,1,22,0.32,2019,1
Olabisi Johnson,WR,MIN,1,7,0.13,2019,1
Andrew Beck,TE,DEN,1,1,0.02,2019,1
Deonte Harris,WR,NOR,1,1,0.02,2019,1
Steven Sims,WR,WAS,1,5,0.08,2019,1
Damion Willis,WR,CIN,1,67,0.89,2019,1
Gunner Olszewski,WR,NWE,1,1,0.01,2019,1
D'Ernest Johnson,RB,CLE,1,9,0.13,2019,1
Aaron Rodgers,QB,GNB,1,71,1.0,2019,2
Adrian Peterson,RB,WAS,1,18,0.31,2019,2
Ben Roethlisberger,QB,PIT,1,28,0.5,2019,2
Danny Amendola,WR,DET,1,35,0.58,2019,2
Darren Sproles,RB,PHI,1,28,0.35,2019,2
Delanie Walker,TE,TEN,1,33,0.56,2019,2
DeSean Jackson,WR,PHI,1,10,0.13,2019,2
Drew Brees,QB,NOR,1,9,0.14,2019,2
Eli Manning,QB,NYG,1,68,1.0,2019,2
Frank Gore,RB,BUF,1,43,0.61,2019,2
Greg Olsen,TE,CAR,1,62,0.83,2019,2
Jared Cook,TE,NOR,1,43,0.68,2019,2
Jason Witten,TE,DAL,1,53,0.77,2019,2
Joe Flacco,QB,DEN,1,82,1.0,2019,2
Josh McCown,QB,PHI,1,6,0.08,2019,2
Julian Edelman,WR,NWE,1,66,0.93,2019,2
Larry Fitzgerald,WR,ARI,1,54,0.95,2019,2
LeSean McCoy,RB,KAN,1,30,0.4,2019,2
Marcedes Lewis,TE,GNB,1,30,0.42,2019,2
Matt Ryan,QB,ATL,1,63,0.97,2019,2
Matthew Slater,WR,NWE,1,3,0.04,2019,2
Matthew Stafford,QB,DET,1,60,1.0,2019,2
Michael Crabtree,WR,ARI,1,18,0.32,2019,2
Philip Rivers,QB,LAC,1,65,1.0,2019,2
Ryan Fitzpatrick,QB,MIA,1,38,0.61,2019,2
Ted Ginn,WR,NOR,1,38,0.6,2019,2
Tom Brady,QB,NWE,1,71,1.0,2019,2
Vernon Davis,TE,WAS,1,44,0.75,2019,2
Demaryius Thomas,WR,NYJ,1,7,0.11,2019,2
Emmanuel Sanders,WR,DEN,1,76,0.93,2019,2
Jimmy Graham,TE,GNB,1,51,0.72,2019,2
Antonio Brown,WR,NWE,1,24,0.34,2019,2
Julio Jones,WR,ATL,1,51,0.78,2019,2
Cam Newton,QB,CAR,1,75,1.0,2019,2
Mark Ingram,RB,BAL,1,45,0.58,2019,2
Randall Cobb,WR,DAL,1,52,0.75,2019,2
Kyle Rudolph,TE,MIN,1,65,1.0,2019,2
Andy Dalton,QB,CIN,1,69,1.0,2019,2
Luke Stocker,TE,ATL,1,27,0.42,2019,2
Anthony Sherman,RB,KAN,1,6,0.08,2019,2
Dion Lewis,RB,TEN,1,29,0.49,2019,2
Lee Smith,TE,BUF,1,38,0.54,2019,2
Charles Clay,TE,ARI,1,14,0.25,2019,2
Dwayne Harris,WR,OAK,1,3,0.05,2019,2
Virgil Green,TE,LAC,1,57,0.88,2019,2
Kirk Cousins,QB,MIN,1,65,1.0,2019,2
Russell Wilson,QB,SEA,1,78,0.99,2019,2
Alshon Jeffery,WR,PHI,1,6,0.08,2019,2
Mohamed Sanu,WR,ATL,1,52,0.8,2019,2
T.Y. Hilton,WR,IND,1,63,0.9,2019,2
Jarius Wright,WR,CAR,1,51,0.68,2019,2
Travis Benjamin,WR,LAC,1,43,0.66,2019,2
Marvin Jones,WR,DET,1,55,0.92,2019,2
Rhett Ellison,TE,NYG,1,33,0.49,2019,2
Derek Carrier,TE,OAK,1,9,0.15,2019,2
Case Keenum,QB,WAS,1,59,1.0,2019,2
Josh Gordon,WR,NWE,1,57,0.8,2019,2
Cole Beasley,WR,BUF,1,35,0.5,2019,2
Chris Hogan,WR,CAR,1,3,0.04,2019,2
Jamize Olawale,RB,DAL,1,8,0.12,2019,2
Josh Bellamy,WR,NYJ,1,41,0.64,2019,2
Travis Kelce,TE,KAN,1,64,0.85,2019,2
Marquise Goodwin,WR,SFO,1,35,0.5,2019,2
Russell Shepard,WR,NYG,1,39,0.57,2019,2
DeAndre Hopkins,WR,HOU,1,60,0.92,2019,2
Robert Woods,WR,LAR,1,66,0.99,2019,2
Kenny Stills,WR,HOU,1,24,0.37,2019,2
Cordarrelle Patterson,WR,CHI,1,15,0.24,2019,2
Keenan Allen,WR,LAC,1,59,0.91,2019,2
Giovani Bernard,RB,CIN,1,27,0.39,2019,2
Le'Veon Bell,RB,NYJ,1,57,0.89,2019,2
Chris Thompson,RB,WAS,1,27,0.46,2019,2
Rex Burkhead,RB,NWE,1,17,0.24,2019,2
Zach Ertz,TE,PHI,1,80,1.0,2019,2
Tyler Eifert,TE,CIN,1,18,0.26,2019,2
Levine Toilolo,TE,SFO,1,33,0.47,2019,2
Vance McDonald,TE,PIT,1,51,0.91,2019,2
Kyle Juszczyk,RB,SFO,1,37,0.53,2019,2
Latavius Murray,RB,NOR,1,22,0.35,2019,2
Ryan Griffin,TE,NYJ,1,57,0.89,2019,2
Demetrius Harris,TE,CLE,1,50,0.78,2019,2
C.J. Anderson,RB,DET,1,12,0.2,2019,2
Jaron Brown,WR,SEA,1,57,0.72,2019,2
Zach Line,RB,NOR,1,21,0.33,2019,2
James Develin,RB,NWE,1,26,0.37,2019,2
Jack Doyle,TE,IND,1,49,0.7,2019,2
Patrick DiMarco,RB,BUF,1,13,0.19,2019,2
Teddy Bridgewater,QB,NOR,1,54,0.86,2019,2
Derek Carr,QB,OAK,1,62,1.0,2019,2
Logan Thomas,TE,DET,1,6,0.1,2019,2
Carlos Hyde,RB,HOU,1,39,0.6,2019,2
De'Anthony Thomas,WR,KAN,1,4,0.05,2019,2
Devonta Freeman,RB,ATL,1,40,0.62,2019,2
Sammy Watkins,WR,KAN,1,69,0.92,2019,2
Mike Evans,WR,TAM,1,55,0.92,2019,2
Brandin Cooks,WR,LAR,1,65,0.97,2019,2
Davante Adams,WR,GNB,1,68,0.96,2019,2
Donte Moncrief,WR,PIT,1,18,0.32,2019,2
Allen Robinson,WR,CHI,1,54,0.87,2019,2
Odell Beckham,WR,CLE,1,58,0.91,2019,2
Jarvis Landry,WR,CLE,1,63,0.98,2019,2
Paul Richardson,WR,WAS,1,51,0.86,2019,2
TJ Jones,WR,NYG,1,28,0.41,2019,2
Eric Ebron,TE,IND,1,33,0.47,2019,2
Xavier Grimble,TE,PIT,1,20,0.36,2019,2
Trey Burton,TE,CHI,1,26,0.42,2019,2
James White,RB,NWE,1,22,0.31,2019,2
Cody Latimer,WR,NYG,1,40,0.59,2019,2
Jimmy Garoppolo,QB,SFO,1,70,1.0,2019,2
John Brown,WR,BUF,1,56,0.8,2019,2
Ryan Grant,WR,OAK,1,48,0.77,2019,2
Damien Williams,RB,KAN,1,39,0.52,2019,2
Taylor Gabriel,WR,CHI,1,52,0.84,2019,2
