Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
DeMarco Murray,RB,29.273,2017-11-12,NFL,TEN,,CIN,W 24-20,9,10,Sun,0,0,,0,0,0,,0,0,,,14,42,3.00,2,4,4,30,7.50,1,100.0%,7.50,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Jonathan Stewart,RB,30.264,2017-12-10,NFL,CAR,,MIN,W 31-24,13,14,Sun,0,0,,0,0,0,,0,0,,,16,103,6.44,3,1,0,0,,0,0.0%,0.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,24.288,2017-10-08,NFL,GNB,@,DAL,W 35-31,5,5,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,11,7,66,9.43,2,63.6%,6.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,24.351,2017-12-10,NFL,GNB,@,CLE,W 27-21,13,14,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,14,10,84,8.40,2,71.4%,6.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,24.186,2017-11-26,NFL,PHI,,CHI,W 31-3,11,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,3,32,10.67,1,50.0%,5.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Javorius Allen,RB,26.105,2017-12-10,NFL,BAL,@,PIT,L 38-39,13,14,Sun,0,0,,0,0,0,,0,0,,,6,25,4.17,2,2,2,32,16.00,0,100.0%,16.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Keenan Allen ,WR,25.206,2017-11-19,NFL,LAC,,BUF,W 54-24,10,11,Sun,0,0,,0,0,0,,0,0,,,1,3,3.00,0,13,12,159,13.25,2,92.3%,12.23,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Keenan Allen ,WR,25.248,2017-12-31,NFL,LAC,,OAK,W 30-10,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,12,9,133,14.78,1,75.0%,11.08,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Anderson,RB,26.219,2017-09-17,NFL,DEN,,DAL,W 42-17,2,2,Sun,0,0,,0,0,0,,0,0,,,25,118,4.72,1,3,3,36,12.00,1,100.0%,12.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Robby Anderson,WR,24.201,2017-11-26,NFL,NYJ,,CAR,L 27-35,11,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,10,6,146,24.33,2,60.0%,14.60,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Doug Baldwin ,WR,29.101,2017-12-31,NFL,SEA,,ARI,L 24-26,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,5,4,90,22.50,2,80.0%,18.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Peyton Barber,RB,23.152,2017-11-26,NFL,TAM,@,ATL,L 20-34,11,12,Sun,0,0,,0,0,0,,0,0,,,5,7,1.40,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Cole Beasley,WR,28.165,2017-10-08,NFL,DAL,,GNB,L 31-35,5,5,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,4,23,5.75,2,66.7%,3.83,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Cole Beasley,WR,28.193,2017-11-05,NFL,DAL,,KAN,W 28-17,8,9,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,4,24,6.00,2,66.7%,4.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Odell Beckham Jr.,WR,24.323,2017-09-24,NFL,NYG,@,PHI,L 24-27,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,13,9,79,8.78,2,69.2%,6.08,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Le'Veon Bell,RB,25.225,2017-10-01,NFL,PIT,@,BAL,W 26-9,4,4,Sun,0,0,,0,0,0,,0,0,,,35,144,4.11,2,6,4,42,10.50,0,66.7%,7.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0
Travis Benjamin,WR,27.297,2017-10-22,NFL,LAC,,DEN,W 21-0,7,7,Sun,0,0,,0,0,0,,0,0,,,1,4,4.00,0,1,1,42,42.00,1,100.0%,42.00,,,,,,,,,2,12,0,0,,0,3,88,29.33,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Tommy Bohanon,FB,27.098,2017-12-17,NFL,JAX,,HOU,W 45-7,14,15,Sun,0,0,,0,0,0,,0,0,,,2,2,1.00,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Blake Bortles ,QB,25.212,2017-11-26,NFL,JAX,@,ARI,L 24-27,11,12,Sun,19,33,57.58,160,0,1,57.6,3,32,4.85,3.48,6,62,10.33,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cameron Brate,TE,26.153,2017-12-03,NFL,TAM,@,GNB,L 20-26,12,13,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,2,39,19.50,2,33.3%,6.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,QB,24.287,2017-09-24,NFL,IND,,CLE,W 31-28,3,3,Sun,17,24,70.83,259,1,0,120.0,3,16,10.79,11.63,5,14,2.80,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Antonio Brown ,WR,29.139,2017-11-26,NFL,PIT,,GNB,W 31-28,11,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,12,10,169,16.90,2,83.3%,14.08,,,,,,,1,,2,14,0,0,,0,3,9,3.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rex Burkhead ,RB,27.147,2017-11-26,NFL,NWE,,MIA,W 35-17,11,12,Sun,0,0,,0,0,0,,0,0,,,13,50,3.85,1,2,2,3,1.50,1,100.0%,1.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Rex Burkhead ,RB,27.154,2017-12-03,NFL,NWE,@,BUF,W 23-3,12,13,Sun,0,0,,0,0,0,,0,0,,,12,78,6.50,2,4,3,25,8.33,0,75.0%,6.25,,,,,,,,,2,12,1,17,17.00,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trey Burton,TE,26.042,2017-12-10,NFL,PHI,@,LAR,W 43-35,13,14,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,5,71,14.20,2,83.3%,11.83,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Damiere Byrd ,WR,24.324,2017-12-17,NFL,CAR,,GNB,W 31-24,14,15,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,4,3,25,8.33,2,75.0%,6.25,,,,,,,,,2,12,2,45,22.50,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Tevin Coleman,RB,24.224,2017-11-26,NFL,ATL,,TAM,W 34-20,11,12,Sun,0,0,,0,0,0,,0,0,,,19,97,5.11,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Alex Collins,RB,23.099,2017-12-03,NFL,BAL,,DET,W 44-20,12,13,Sun,0,0,,0,0,0,,0,0,,,15,75,5.00,2,2,2,23,11.50,0,100.0%,11.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,WR,23.364,2017-09-24,NFL,NWE,,HOU,W 36-33,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,7,5,131,26.20,2,71.4%,18.71,,,,,,,1,,2,14,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Amari Cooper,WR,23.124,2017-10-19,NFL,OAK,,KAN,W 31-30,7,7,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,19,11,210,19.09,2,57.9%,11.05,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Kirk Cousins ,QB,29.085,2017-11-12,NFL,WAS,,MIN,L 30-38,9,10,Sun,26,45,57.78,327,1,1,78.7,1,14,7.27,6.71,4,5,1.25,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Michael Crabtree,WR,30.094,2017-12-17,NFL,OAK,,DAL,L 17-20,14,15,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,17,7,39,5.57,2,41.2%,2.29,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stefon Diggs,WR,23.286,2017-09-11,NFL,MIN,,NOR,W 29-19,1,1,Mon,0,0,,0,0,0,,0,0,,,1,-6,-6.00,0,8,7,93,13.29,2,87.5%,11.63,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Stefon Diggs,WR,23.299,2017-09-24,NFL,MIN,,TAM,W 34-17,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,11,8,173,21.63,2,72.7%,15.73,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Austin Ekeler,RB,22.179,2017-11-12,NFL,LAC,@,JAX,L 17-20,9,10,Sun,0,0,,0,0,0,,0,0,,,10,42,4.20,0,5,5,77,15.40,2,100.0%,15.40,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0
Ezekiel Elliott,RB,22.071,2017-10-01,NFL,DAL,,LAR,L 30-35,4,4,Sun,0,0,,0,0,0,,0,0,,,21,85,4.05,1,5,4,54,13.50,1,80.0%,10.80,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Ezekiel Elliott,RB,22.099,2017-10-29,NFL,DAL,@,WAS,W 33-19,7,8,Sun,0,0,,0,0,0,,0,0,,,33,150,4.55,2,2,1,4,4.00,0,50.0%,2.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,1,1,0,0,0,0
Zach Ertz,TE,26.336,2017-10-12,NFL,PHI,@,CAR,W 28-23,6,6,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,5,2,18,9.00,2,40.0%,3.60,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Darren Fells,TE,31.169,2017-10-08,NFL,DET,,CAR,L 24-27,5,5,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,24,12.00,2,100.0%,12.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Onta Foreman,RB,21.209,2017-11-19,NFL,HOU,,ARI,W 31-21,10,11,Sun,0,0,,0,0,0,,0,0,,,10,65,6.50,2,3,3,15,5.00,0,100.0%,5.00,,,,,,,,,2,12,1,12,12.00,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0
Matt Forte ,RB,31.327,2017-11-02,NFL,NYJ,,BUF,W 34-21,9,9,Thu,0,0,,0,0,0,,0,0,,,14,77,5.50,2,4,4,19,4.75,0,100.0%,4.75,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Leonard Fournette ,RB,22.263,2017-10-08,NFL,JAX,@,PIT,W 30-9,5,5,Sun,0,0,,0,0,0,,0,0,,,28,181,6.46,2,1,1,3,3.00,0,100.0%,3.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Bennie Fowler,WR,26.093,2017-09-11,NFL,DEN,,LAC,W 24-21,1,1,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,4,3,21,7.00,2,75.0%,5.25,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Devonta Freeman ,RB,25.186,2017-09-17,NFL,ATL,,GNB,W 34-23,2,2,Sun,0,0,,0,0,0,,0,0,,,19,84,4.42,2,2,2,16,8.00,0,100.0%,8.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Will Fuller,WR,23.168,2017-10-01,NFL,HOU,,TEN,W 57-14,4,4,Sun,0,0,,0,0,0,,0,0,,,1,4,4.00,0,6,4,35,8.75,2,66.7%,5.83,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Will Fuller,WR,23.175,2017-10-08,NFL,HOU,,KAN,L 34-42,5,5,Sun,0,0,,0,0,0,,0,0,,,1,5,5.00,0,3,2,57,28.50,2,66.7%,19.00,,,,,,,,,2,12,0,0,,0,1,49,49.00,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Will Fuller,WR,23.196,2017-10-29,NFL,HOU,@,SEA,L 38-41,7,8,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,5,125,25.00,2,62.5%,15.63,,,,,,,,,2,12,0,0,,0,3,27,9.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Funchess,WR,23.133,2017-10-01,NFL,CAR,@,NWE,W 33-30,4,4,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,7,70,10.00,2,77.8%,7.78,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Funchess,WR,23.176,2017-11-13,NFL,CAR,,MIA,W 45-21,10,10,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,6,5,92,18.40,2,83.3%,15.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Kenny Golladay,WR,23.311,2017-09-10,NFL,DET,,ARI,W 35-23,1,1,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,7,4,69,17.25,2,57.1%,9.86,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Melvin Gordon,RB,24.178,2017-10-08,NFL,LAC,@,NYG,W 27-22,5,5,Sun,0,0,,0,0,0,,0,0,,,20,105,5.25,0,8,6,58,9.67,2,75.0%,7.25,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Melvin Gordon,RB,24.185,2017-10-15,NFL,LAC,@,OAK,W 17-16,6,6,Sun,0,0,,0,0,0,,0,0,,,25,83,3.32,1,12,9,67,7.44,1,75.0%,5.58,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Jimmy Graham,TE,30.339,2017-10-29,NFL,SEA,,HOU,W 41-38,7,8,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,5,4,39,9.75,2,80.0%,7.80,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Jimmy Graham,TE,30.350,2017-11-09,NFL,SEA,@,ARI,W 22-16,9,10,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,9,6,27,4.50,2,66.7%,3.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
A.J. Green,WR,29.126,2017-12-04,NFL,CIN,,PIT,L 20-23,12,13,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,16,7,77,11.00,2,43.8%,4.81,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Rob Gronkowski ,TE,28.154,2017-10-15,NFL,NWE,@,NYJ,W 24-17,6,6,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,10,6,83,13.83,2,60.0%,8.30,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Rob Gronkowski ,TE,28.196,2017-11-26,NFL,NWE,,MIA,W 35-17,11,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,5,82,16.40,2,62.5%,10.25,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Todd Gurley,RB,23.045,2017-09-17,NFL,LAR,,WAS,L 20-27,2,2,Sun,0,0,,0,0,0,,0,0,,,16,88,5.50,1,4,3,48,16.00,1,75.0%,12.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,2,1,0,1,0,0
Todd Gurley,RB,23.094,2017-11-05,NFL,LAR,@,NYG,W 51-17,8,9,Sun,0,0,,0,0,0,,0,0,,,16,59,3.69,2,3,2,45,22.50,0,66.7%,15.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Todd Gurley,HB,23.129,2017-12-10,NFL,LAR,,PHI,L 35-43,13,14,Sun,0,0,,0,0,0,,0,0,,,13,96,7.38,2,5,3,39,13.00,0,60.0%,7.80,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Todd Gurley,HB,23.143,2017-12-24,NFL,LAR,@,TEN,W 27-23,15,16,Sun,0,0,,0,0,0,,0,0,,,22,118,5.36,0,13,10,158,15.80,2,76.9%,12.15,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Rashard Higgins,FB,23.085,2017-12-31,NFL,CLE,@,PIT,L 24-28,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,4,3,68,22.67,2,75.0%,17.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreek Hill,WR,23.277,2017-12-03,NFL,KAN,@,NYJ,L 31-38,12,13,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,6,185,30.83,2,66.7%,20.56,,,,,,,,,2,12,0,0,,0,1,24,24.00,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
T.Y. Hilton,WR,27.356,2017-11-05,NFL,IND,@,HOU,W 20-14,9,9,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,5,175,35.00,2,55.6%,19.44,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Chris Hogan ,WR,29.335,2017-09-24,NFL,NWE,,HOU,W 36-33,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,4,68,17.00,2,66.7%,11.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
DeAndre Hopkins,WR,25.187,2017-12-10,NFL,HOU,,SFO,L 16-26,13,14,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,16,11,149,13.55,2,68.8%,9.31,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,1,1,0,0,0,0
Jordan Howard,RB,22.326,2017-09-24,NFL,CHI,,PIT,W 23-17,3,3,Sun,0,0,,0,0,0,,0,0,,,23,140,6.09,2,5,5,26,5.20,0,100.0%,5.20,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,1,1,0,0,0,0
Jordan Howard,RB,23.038,2017-12-10,NFL,CHI,@,CIN,W 33-7,13,14,Sun,0,0,,0,0,0,,0,0,,,23,147,6.39,2,2,1,8,8.00,0,50.0%,4.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Howard,RB,23.052,2017-12-24,NFL,CHI,,CLE,W 20-3,15,16,Sun,0,0,,0,0,0,,0,0,,,22,44,2.00,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
O.J. Howard ,TE,22.338,2017-10-22,NFL,TAM,@,BUF,L 27-30,6,7,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,98,16.33,2,100.0%,16.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kareem Hunt,RB,22.042,2017-09-17,NFL,KAN,,PHI,W 27-20,2,2,Sun,0,0,,0,0,0,,0,0,,,13,81,6.23,2,3,3,28,9.33,0,100.0%,9.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
