Player,Team,Season,Date,Status,Opp,Injury,Week
J.R. Sweezy,ARI,2020,2020-10-25,Injured Reserve,SEA,,7
Jalen Thompson,ARI,2020,2020-10-25,Injured Reserve,SEA,,7
Maxx Williams,ARI,2020,2020-10-25,Injured Reserve,SEA,,7
Zach Allen,ARI,2020,2020-11-08,Injured Reserve,MIA,,9
Kenyan Drake,ARI,2020,2020-11-08,Out,MIA,Ankle,9
Isaiah Irving,ARI,2020,2020-11-08,Injured Reserve,MIA,,9
Chandler Jones,ARI,2020,2020-11-08,Injured Reserve,MIA,,9
Devon Kennard,ARI,2020,2020-11-08,C19,MIA,,9
Dre Kirkpatrick,ARI,2020,2020-11-08,Out,MIA,Thigh,9
Rashard Lawrence,ARI,2020,2020-11-08,Injured Reserve,MIA,,9
Byron Murphy,ARI,2020,2020-11-08,C19,MIA,,9
Jordan Phillips,ARI,2020,2020-11-08,Questionable,MIA,Hamstring,9
J.R. Sweezy,ARI,2020,2020-11-08,Injured Reserve,MIA,,9
Jalen Thompson,ARI,2020,2020-11-08,Injured Reserve,MIA,,9
Zeke Turner,ARI,2020,2020-11-08,Questionable,MIA,Toe,9
Maxx Williams,ARI,2020,2020-11-08,Injured Reserve,MIA,,9
Zach Allen,ARI,2020,2020-11-15,Injured Reserve,BUF,,10
Budda Baker,ARI,2020,2020-11-15,Questionable,BUF,Groin,10
Kenyan Drake,ARI,2020,2020-11-15,Questionable,BUF,Ankle,10
Leki Fotu,ARI,2020,2020-11-15,Out,BUF,Ankle,10
Isaiah Irving,ARI,2020,2020-11-15,Injured Reserve,BUF,,10
Chandler Jones,ARI,2020,2020-11-15,Injured Reserve,BUF,,10
Devon Kennard,ARI,2020,2020-11-15,C19,BUF,,10
Dre Kirkpatrick,ARI,2020,2020-11-15,Questionable,BUF,Thigh,10
Rashard Lawrence,ARI,2020,2020-11-15,Injured Reserve,BUF,,10
Byron Murphy,ARI,2020,2020-11-15,C19,BUF,,10
Justin Murray,ARI,2020,2020-11-15,Out,BUF,Hand,10
Kevin Peterson,ARI,2020,2020-11-15,Injured Reserve,BUF,,10
Jordan Phillips,ARI,2020,2020-11-15,Out,BUF,Hamstring,10
J.R. Sweezy,ARI,2020,2020-11-15,Injured Reserve,BUF,,10
Deionte Thompson,ARI,2020,2020-11-15,Questionable,BUF,Knee,10
Maxx Williams,ARI,2020,2020-11-15,Questionable,BUF,Ankle,10
De'Vondre Campbell,ARI,2020,2020-11-19,Questionable,SEA,Calf,11
Darrell Daniels,ARI,2020,2020-11-19,Questionable,SEA,Ankle,11
Leki Fotu,ARI,2020,2020-11-19,Injured Reserve,SEA,,11
Isaiah Irving,ARI,2020,2020-11-19,Injured Reserve,SEA,,11
Chandler Jones,ARI,2020,2020-11-19,Injured Reserve,SEA,,11
Rashard Lawrence,ARI,2020,2020-11-19,Injured Reserve,SEA,,11
Justin Murray,ARI,2020,2020-11-19,Out,SEA,Hand,11
Corey Peters,ARI,2020,2020-11-19,Out,SEA,Knee,11
Kevin Peterson,ARI,2020,2020-11-19,Injured Reserve,SEA,,11
Jordan Phillips,ARI,2020,2020-11-19,Out,SEA,Hamstring,11
Charles Washington,ARI,2020,2020-11-19,Questionable,SEA,Groin,11
Maxx Williams,ARI,2020,2020-11-19,Questionable,SEA,Ankle,11
Robert Alford,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Zach Allen,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Darrell Daniels,ARI,2020,2020-11-29,Out,NWE,Ankle,12
Larry Fitzgerald,ARI,2020,2020-11-29,C19,NWE,,12
Leki Fotu,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Marcus Gilbert,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Isaiah Irving,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Chandler Jones,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Rashard Lawrence,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Josh Mauro,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Justin Murray,ARI,2020,2020-11-29,Questionable,NWE,Hand,12
Corey Peters,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Kevin Peterson,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Jordan Phillips,ARI,2020,2020-11-29,Injured Reserve,NWE,,12
Trent Sherfield,ARI,2020,2020-11-29,C19,NWE,,12
Deionte Thompson,ARI,2020,2020-11-29,C19,NWE,,12
Jalen Thompson,ARI,2020,2020-11-29,Out,NWE,Ankle,12
Charles Washington,ARI,2020,2020-11-29,Questionable,NWE,Groin,12
Angelo Blackson,ARI,2020,2020-12-06,Questionable,LAR,Illness,13
Darrell Daniels,ARI,2020,2020-12-06,Injured Reserve,LAR,,13
Larry Fitzgerald,ARI,2020,2020-12-06,C19,LAR,,13
Leki Fotu,ARI,2020,2020-12-06,Injured Reserve,LAR,,13
Isaiah Irving,ARI,2020,2020-12-06,Injured Reserve,LAR,,13
Chandler Jones,ARI,2020,2020-12-06,Injured Reserve,LAR,,13
Rashard Lawrence,ARI,2020,2020-12-06,Questionable,LAR,Calf,13
Josh Mauro,ARI,2020,2020-12-06,Injured Reserve,LAR,,13
Corey Peters,ARI,2020,2020-12-06,Injured Reserve,LAR,,13
Kevin Peterson,ARI,2020,2020-12-06,Injured Reserve,LAR,,13
Jordan Phillips,ARI,2020,2020-12-06,Injured Reserve,LAR,,13
Deionte Thompson,ARI,2020,2020-12-06,C19,LAR,,13
Jalen Thompson,ARI,2020,2020-12-06,Out,LAR,Ankle,13
Charles Washington,ARI,2020,2020-12-06,Questionable,LAR,Groin,13
Kelvin Beachum,ARI,2020,2020-12-13,Questionable,NYG,Back,14
De'Vondre Campbell,ARI,2020,2020-12-13,Questionable,NYG,Ankle,14
Darrell Daniels,ARI,2020,2020-12-13,Injured Reserve,NYG,,14
Kenyan Drake,ARI,2020,2020-12-13,Questionable,NYG,Hip,14
Zane Gonzalez,ARI,2020,2020-12-13,Questionable,NYG,Back,14
DeAndre Hopkins,ARI,2020,2020-12-13,Questionable,NYG,Neck,14
Isaiah Irving,ARI,2020,2020-12-13,Injured Reserve,NYG,,14
Chandler Jones,ARI,2020,2020-12-13,Injured Reserve,NYG,,14
Johnathan Joseph,ARI,2020,2020-12-13,Injured Reserve,NYG,,14
Josh Mauro,ARI,2020,2020-12-13,Injured Reserve,NYG,,14
Corey Peters,ARI,2020,2020-12-13,Injured Reserve,NYG,,14
Kevin Peterson,ARI,2020,2020-12-13,Injured Reserve,NYG,,14
Jordan Phillips,ARI,2020,2020-12-13,Injured Reserve,NYG,,14
Isaiah Simmons,ARI,2020,2020-12-13,Questionable,NYG,Neck,14
Jalen Thompson,ARI,2020,2020-12-13,Out,NYG,Ankle,14
Darrell Daniels,ARI,2020,2020-12-20,Injured Reserve,PHI,,15
Chase Edmonds,ARI,2020,2020-12-20,Questionable,PHI,Ankle,15
Kylie Fitts,ARI,2020,2020-12-20,Out,PHI,Hamstring,15
Lamont Gaillard,ARI,2020,2020-12-20,Out,PHI,Not Injury Related,15
Zane Gonzalez,ARI,2020,2020-12-20,Injured Reserve,PHI,,15
Isaiah Irving,ARI,2020,2020-12-20,Injured Reserve,PHI,,15
Chandler Jones,ARI,2020,2020-12-20,Injured Reserve,PHI,,15
Johnathan Joseph,ARI,2020,2020-12-20,Injured Reserve,PHI,,15
Dre Kirkpatrick,ARI,2020,2020-12-20,Questionable,PHI,Hamstring,15
Josh Mauro,ARI,2020,2020-12-20,Injured Reserve,PHI,,15
Corey Peters,ARI,2020,2020-12-20,Injured Reserve,PHI,,15
Jordan Phillips,ARI,2020,2020-12-20,Out,PHI,Hamstring,15
Justin Pugh,ARI,2020,2020-12-20,Questionable,PHI,Calf,15
Jalen Thompson,ARI,2020,2020-12-20,Out,PHI,Ankle,15
Dan Arnold,ARI,2020,2020-12-26,Questionable,SFO,Back,16
Darrell Daniels,ARI,2020,2020-12-26,Questionable,SFO,Hamstring,16
Chase Edmonds,ARI,2020,2020-12-26,Questionable,SFO,Ankle,16
Kylie Fitts,ARI,2020,2020-12-26,Questionable,SFO,Hamstring,16
Larry Fitzgerald,ARI,2020,2020-12-26,Questionable,SFO,Groin,16
Dennis Gardeck,ARI,2020,2020-12-26,Out,SFO,Knee,16
Zane Gonzalez,ARI,2020,2020-12-26,Injured Reserve,SFO,,16
Isaiah Irving,ARI,2020,2020-12-26,Injured Reserve,SFO,,16
Chandler Jones,ARI,2020,2020-12-26,Injured Reserve,SFO,,16
Johnathan Joseph,ARI,2020,2020-12-26,Injured Reserve,SFO,,16
Dre Kirkpatrick,ARI,2020,2020-12-26,Questionable,SFO,Hamstring,16
Josh Mauro,ARI,2020,2020-12-26,Injured Reserve,SFO,,16
Corey Peters,ARI,2020,2020-12-26,Injured Reserve,SFO,,16
Jordan Phillips,ARI,2020,2020-12-26,Injured Reserve,SFO,,16
Justin Pugh,ARI,2020,2020-12-26,Questionable,SFO,Calf,16
Haason Reddick,ARI,2020,2020-12-26,Questionable,SFO,Shoulder,16
Jalen Thompson,ARI,2020,2020-12-26,Questionable,SFO,Ankle,16
Maxx Williams,ARI,2020,2020-12-26,Questionable,SFO,Ankle,16
Budda Baker,ARI,2020,2021-01-03,Questionable,LAR,Neck,17
Chris Banjo,ARI,2020,2021-01-03,C19,LAR,,17
Darrell Daniels,ARI,2020,2021-01-03,Questionable,LAR,Hamstring,17
Chase Edmonds,ARI,2020,2021-01-03,Questionable,LAR,Hip,17
Kylie Fitts,ARI,2020,2021-01-03,Injured Reserve,LAR,,17
Larry Fitzgerald,ARI,2020,2021-01-03,Questionable,LAR,Groin,17
Dennis Gardeck,ARI,2020,2021-01-03,Injured Reserve,LAR,,17
Zane Gonzalez,ARI,2020,2021-01-03,Injured Reserve,LAR,,17
Isaiah Irving,ARI,2020,2021-01-03,Injured Reserve,LAR,,17
Chandler Jones,ARI,2020,2021-01-03,Injured Reserve,LAR,,17
Johnathan Joseph,ARI,2020,2021-01-03,Injured Reserve,LAR,,17
Christian Kirk,ARI,2020,2021-01-03,C19,LAR,,17
Josh Mauro,ARI,2020,2021-01-03,Injured Reserve,LAR,,17
Corey Peters,ARI,2020,2021-01-03,Injured Reserve,LAR,,17
Jordan Phillips,ARI,2020,2021-01-03,Injured Reserve,LAR,,17
Maxx Williams,ARI,2020,2021-01-03,Questionable,LAR,Ankle,17
Marlon Davidson,ATL,2020,2020-09-13,Questionable,SEA,Knee,1
Charles Harris,ATL,2020,2020-09-13,Out,SEA,Ankle,1
Kendall Sheffield,ATL,2020,2020-09-13,Out,SEA,Foot,1
Marlon Davidson,ATL,2020,2020-09-20,Doubtful,DAL,Knee,2
Charles Harris,ATL,2020,2020-09-20,Out,DAL,Ankle,2
Jake Matthews,ATL,2020,2020-09-20,Questionable,DAL,Knee,2
Kendall Sheffield,ATL,2020,2020-09-20,Out,DAL,Foot,2
Ricardo Allen,ATL,2020,2020-09-27,Out,CHI,Elbow,3
Dante Fowler,ATL,2020,2020-09-27,Questionable,CHI,Ankle,3
Julio Jones,ATL,2020,2020-09-27,Questionable,CHI,Hamstring,3
Kaleb McGary,ATL,2020,2020-09-27,Questionable,CHI,Knee,3
Takkarist McKinley,ATL,2020,2020-09-27,Questionable,CHI,Groin,3
Foyesade Oluokun,ATL,2020,2020-09-27,Questionable,CHI,Hamstring,3
Kendall Sheffield,ATL,2020,2020-09-27,Out,CHI,Foot,3
Ricardo Allen,ATL,2020,2020-10-05,Out,GNB,Elbow,4
Darqueze Dennard,ATL,2020,2020-10-05,Injured Reserve,GNB,,4
Julio Jones,ATL,2020,2020-10-05,Questionable,GNB,Hamstring,4
Younghoe Koo,ATL,2020,2020-10-05,Out,GNB, Groin,4
Takkarist McKinley,ATL,2020,2020-10-05,Out,GNB,Groin,4
Keanu Neal,ATL,2020,2020-10-05,Out,GNB,Hamstring,4
Calvin Ridley,ATL,2020,2020-10-05,Questionable,GNB,Ankle,4
Darqueze Dennard,ATL,2020,2020-10-11,Injured Reserve,CAR,,5
Jaylinn Hawkins,ATL,2020,2020-10-11,Out,CAR,Concussion,5
Julio Jones,ATL,2020,2020-10-11,Questionable,CAR,Hamstring,5
Damontae Kazee,ATL,2020,2020-10-11,Injured Reserve,CAR,,5
John Cominsky,ATL,2020,2020-10-18,C19,MIN,,6
Marlon Davidson,ATL,2020,2020-10-18,C19,MIN,,6
Darqueze Dennard,ATL,2020,2020-10-18,Injured Reserve,MIN,,6
Jaylinn Hawkins,ATL,2020,2020-10-18,Out,MIN,Concussion,6
Damontae Kazee,ATL,2020,2020-10-18,Injured Reserve,MIN,,6
Takkarist McKinley,ATL,2020,2020-10-18,Out,MIN,Groin,6
John Cominsky,ATL,2020,2020-10-25,C19,DET,,7
Marlon Davidson,ATL,2020,2020-10-25,C19,DET,,7
Darqueze Dennard,ATL,2020,2020-10-25,Injured Reserve,DET,,7
Damontae Kazee,ATL,2020,2020-10-25,Injured Reserve,DET,,7
Takkarist McKinley,ATL,2020,2020-10-25,Questionable,DET,Groin,7
John Cominsky,ATL,2020,2020-10-29,C19,CAR,,8
Marlon Davidson,ATL,2020,2020-10-29,C19,CAR,,8
Darqueze Dennard,ATL,2020,2020-10-29,Injured Reserve,CAR,,8
Damontae Kazee,ATL,2020,2020-10-29,Injured Reserve,CAR,,8
Takkarist McKinley,ATL,2020,2020-10-29,Out,CAR,Groin,8
John Cominsky,ATL,2020,2020-11-08,C19,DEN,,9
Darqueze Dennard,ATL,2020,2020-11-08,Injured Reserve,DEN,,9
Dante Fowler,ATL,2020,2020-11-08,Out,DEN,Hamstring,9
Damontae Kazee,ATL,2020,2020-11-08,Injured Reserve,DEN,,9
Takkarist McKinley,ATL,2020,2020-11-08,Out,DEN,Groin,9
Jordan Miller,ATL,2020,2020-11-08,Out,DEN,Abdomen,9
Calvin Ridley,ATL,2020,2020-11-08,Questionable,DEN,Foot,9
Dante Fowler,ATL,2020,2020-11-22,C19,NOR,,11
Damontae Kazee,ATL,2020,2020-11-22,Injured Reserve,NOR,,11
Jordan Miller,ATL,2020,2020-11-22,Injured Reserve,NOR,,11
Dante Fowler,ATL,2020,2020-11-29,Questionable,LVR,Hamstring,12
Todd Gurley,ATL,2020,2020-11-29,Out,LVR,Knee,12
Hayden Hurst,ATL,2020,2020-11-29,Questionable,LVR,Ankle,12
Julio Jones,ATL,2020,2020-11-29,Questionable,LVR,Hamstring,12
Damontae Kazee,ATL,2020,2020-11-29,Injured Reserve,LVR,,12
Jordan Miller,ATL,2020,2020-11-29,Injured Reserve,LVR,,12
Olamide Zaccheaus,ATL,2020,2020-11-29,Injured Reserve,LVR,,12
James Carpenter,ATL,2020,2020-12-06,Out,NOR,Groin,13
Dante Fowler,ATL,2020,2020-12-06,Questionable,NOR,Hamstring,13
Todd Gurley,ATL,2020,2020-12-06,Questionable,NOR,Knee,13
Julio Jones,ATL,2020,2020-12-06,Questionable,NOR,Hamstring,13
Damontae Kazee,ATL,2020,2020-12-06,Injured Reserve,NOR,,13
Jordan Miller,ATL,2020,2020-12-06,Injured Reserve,NOR,,13
Kendall Sheffield,ATL,2020,2020-12-06,Questionable,NOR,Illness,13
Olamide Zaccheaus,ATL,2020,2020-12-06,Injured Reserve,NOR,,13
Ricardo Allen,ATL,2020,2020-12-13,Out,LAC,Concussion,14
James Carpenter,ATL,2020,2020-12-13,Out,LAC,Groin,14
Julio Jones,ATL,2020,2020-12-13,Out,LAC,Hamstring,14
Damontae Kazee,ATL,2020,2020-12-13,Injured Reserve,LAC,,14
Kaleb McGary,ATL,2020,2020-12-13,Questionable,LAC,Not Injury Related,14
Jordan Miller,ATL,2020,2020-12-13,Injured Reserve,LAC,,14
Olamide Zaccheaus,ATL,2020,2020-12-13,Injured Reserve,LAC,,14
Ricardo Allen,ATL,2020,2020-12-20,Out,TAM,Concussion,15
James Carpenter,ATL,2020,2020-12-20,Questionable,TAM,Groin,15
Marlon Davidson,ATL,2020,2020-12-20,Out,TAM,Knee,15
Darqueze Dennard,ATL,2020,2020-12-20,Out,TAM,Quadricep,15
Julio Jones,ATL,2020,2020-12-20,Out,TAM,Hamstring,15
Damontae Kazee,ATL,2020,2020-12-20,Injured Reserve,TAM,,15
Kaleb McGary,ATL,2020,2020-12-20,Questionable,TAM,Not Injury Related,15
Jordan Miller,ATL,2020,2020-12-20,Injured Reserve,TAM,,15
Olamide Zaccheaus,ATL,2020,2020-12-20,Injured Reserve,TAM,,15
Ricardo Allen,ATL,2020,2020-12-27,Questionable,KAN,Concussion,16
James Carpenter,ATL,2020,2020-12-27,Out,KAN,Groin,16
Marlon Davidson,ATL,2020,2020-12-27,Questionable,KAN,Knee,16
Darqueze Dennard,ATL,2020,2020-12-27,Out,KAN,Quadricep,16
Julio Jones,ATL,2020,2020-12-27,Out,KAN,Hamstring,16
Damontae Kazee,ATL,2020,2020-12-27,Injured Reserve,KAN,,16
Alex Mack,ATL,2020,2020-12-27,Out,KAN,Concussion,16
Jordan Miller,ATL,2020,2020-12-27,Injured Reserve,KAN,,16
Brandon Powell,ATL,2020,2020-12-27,Questionable,KAN,Foot,16
Olamide Zaccheaus,ATL,2020,2020-12-27,Injured Reserve,KAN,,16
Darqueze Dennard,ATL,2020,2021-01-03,Out,TAM,Quadricep,17
Charles Harris,ATL,2020,2021-01-03,Questionable,TAM,Not Injury Related,17
Julio Jones,ATL,2020,2021-01-03,Out,TAM,Hamstring,17
Damontae Kazee,ATL,2020,2021-01-03,Injured Reserve,TAM,,17
Alex Mack,ATL,2020,2021-01-03,C19,TAM,,17
Brandon Powell,ATL,2020,2021-01-03,Out,TAM,Foot,17
Olamide Zaccheaus,ATL,2020,2021-01-03,Injured Reserve,TAM,,17
Jacob Breeland,BAL,2020,2020-09-13,Injured Reserve,CLE,,1
Justice Hill,BAL,2020,2020-09-13,Out,CLE,Thigh,1
Justin Madubuike,BAL,2020,2020-09-13,Out,CLE,Knee,1
Chris Moore,BAL,2020,2020-09-13,Out,CLE,Finger,1
Tyre Phillips,BAL,2020,2020-09-13,Questionable,CLE,Ankle,1
Andre Smith,BAL,2020,2020-09-13,Injured Reserve,CLE,,1
De'Anthony Thomas,BAL,2020,2020-09-13,Injured Reserve,CLE,,1
Antoine Wesley,BAL,2020,2020-09-13,Injured Reserve,CLE,,1
DeAndrew White,BAL,2020,2020-09-13,Injured Reserve,CLE,,1
Jacob Breeland,BAL,2020,2020-09-20,Injured Reserve,HOU,,2
Justice Hill,BAL,2020,2020-09-20,Questionable,HOU,Thigh,2
Justin Madubuike,BAL,2020,2020-09-20,Out,HOU,Knee,2
Chris Moore,BAL,2020,2020-09-20,Out,HOU,Finger,2
Andre Smith,BAL,2020,2020-09-20,Injured Reserve,HOU,,2
Jimmy Smith,BAL,2020,2020-09-20,Questionable,HOU,Hip,2
Ronnie Stanley,BAL,2020,2020-09-20,Questionable,HOU,Hip,2
De'Anthony Thomas,BAL,2020,2020-09-20,Injured Reserve,HOU,,2
Antoine Wesley,BAL,2020,2020-09-20,Injured Reserve,HOU,,2
DeAndrew White,BAL,2020,2020-09-20,Injured Reserve,HOU,,2
Jacob Breeland,BAL,2020,2020-09-28,Injured Reserve,KAN,,3
D.J. Fluker,BAL,2020,2020-09-28,Questionable,KAN,Shoulder,3
Anthony Levine,BAL,2020,2020-09-28,Questionable,KAN,Abdomen,3
Justin Madubuike,BAL,2020,2020-09-28,Questionable,KAN,Knee,3
Chris Moore,BAL,2020,2020-09-28,Questionable,KAN,Finger,3
Andre Smith,BAL,2020,2020-09-28,Injured Reserve,KAN,,3
De'Anthony Thomas,BAL,2020,2020-09-28,Injured Reserve,KAN,,3
Antoine Wesley,BAL,2020,2020-09-28,Injured Reserve,KAN,,3
DeAndrew White,BAL,2020,2020-09-28,Injured Reserve,KAN,,3
Tavon Young,BAL,2020,2020-09-28,Out,KAN,Knee,3
Jacob Breeland,BAL,2020,2020-10-04,Injured Reserve,WAS,,4
L.J. Fort,BAL,2020,2020-10-04,Questionable,WAS,Thigh,4
Justice Hill,BAL,2020,2020-10-04,Questionable,WAS,Thigh,4
Anthony Levine,BAL,2020,2020-10-04,Questionable,WAS,Abdomen,4
Justin Madubuike,BAL,2020,2020-10-04,Questionable,WAS,Knee,4
Chris Moore,BAL,2020,2020-10-04,Questionable,WAS,Finger,4
Andre Smith,BAL,2020,2020-10-04,Injured Reserve,WAS,,4
Jimmy Smith,BAL,2020,2020-10-04,Questionable,WAS,Knee,4
Ronnie Stanley,BAL,2020,2020-10-04,Questionable,WAS,Shoulder,4
De'Anthony Thomas,BAL,2020,2020-10-04,Injured Reserve,WAS,,4
Antoine Wesley,BAL,2020,2020-10-04,Injured Reserve,WAS,,4
DeAndrew White,BAL,2020,2020-10-04,Injured Reserve,WAS,,4
Derek Wolfe,BAL,2020,2020-10-04,Questionable,WAS,Elbow,4
Mark Andrews,BAL,2020,2020-10-11,Questionable,CIN,Thigh,5
Nick Boyle,BAL,2020,2020-10-11,Questionable,CIN,Thigh,5
Jacob Breeland,BAL,2020,2020-10-11,Injured Reserve,CIN,,5
Marquise Brown,BAL,2020,2020-10-11,Questionable,CIN,Knee,5
Lamar Jackson,BAL,2020,2020-10-11,Questionable,CIN,Knee,5
Anthony Levine,BAL,2020,2020-10-11,Questionable,CIN,Abdomen,5
Justin Madubuike,BAL,2020,2020-10-11,Questionable,CIN,Knee,5
Chris Moore,BAL,2020,2020-10-11,Questionable,CIN,Thigh,5
Marcus Peters,BAL,2020,2020-10-11,Questionable,CIN,Thigh,5
Tyre Phillips,BAL,2020,2020-10-11,Doubtful,CIN,Shoulder,5
Andre Smith,BAL,2020,2020-10-11,Injured Reserve,CIN,,5
Jimmy Smith,BAL,2020,2020-10-11,Questionable,CIN,Knee,5
Ronnie Stanley,BAL,2020,2020-10-11,Questionable,CIN,Shoulder,5
De'Anthony Thomas,BAL,2020,2020-10-11,Injured Reserve,CIN,,5
Broderick Washington,BAL,2020,2020-10-11,Questionable,CIN,Illness,5
Antoine Wesley,BAL,2020,2020-10-11,Injured Reserve,CIN,,5
DeAndrew White,BAL,2020,2020-10-11,Injured Reserve,CIN,,5
Derek Wolfe,BAL,2020,2020-10-11,Questionable,CIN,Not Injury Related,5
Miles Boykin,BAL,2020,2020-10-18,Questionable,PHI,Thigh,6
Jacob Breeland,BAL,2020,2020-10-18,Injured Reserve,PHI,,6
Anthony Levine,BAL,2020,2020-10-18,Questionable,PHI,Abdomen,6
Chris Moore,BAL,2020,2020-10-18,Questionable,PHI,Finger,6
Marcus Peters,BAL,2020,2020-10-18,Questionable,PHI,Thigh,6
Tyre Phillips,BAL,2020,2020-10-18,Questionable,PHI,Shoulder,6
Andre Smith,BAL,2020,2020-10-18,Injured Reserve,PHI,,6
Jimmy Smith,BAL,2020,2020-10-18,Questionable,PHI,Knee,6
Ronnie Stanley,BAL,2020,2020-10-18,Questionable,PHI,Shoulder,6
De'Anthony Thomas,BAL,2020,2020-10-18,Injured Reserve,PHI,,6
Antoine Wesley,BAL,2020,2020-10-18,Injured Reserve,PHI,,6
DeAndrew White,BAL,2020,2020-10-18,Injured Reserve,PHI,,6
Brandon Williams,BAL,2020,2020-10-18,C19,PHI,,6
Derek Wolfe,BAL,2020,2020-10-18,Doubtful,PHI,Neck,6
Otaro Alaka,BAL,2020,2020-11-01,Injured Reserve,PIT,,8
Anthony Averett,BAL,2020,2020-11-01,Injured Reserve,PIT,,8
Jacob Breeland,BAL,2020,2020-11-01,Injured Reserve,PIT,,8
Mark Ingram,BAL,2020,2020-11-01,Doubtful,PIT,Ankle,8
Anthony Levine,BAL,2020,2020-11-01,Questionable,PIT,Abdomen,8
Iman Marshall,BAL,2020,2020-11-01,Injured Reserve,PIT,,8
Andre Smith,BAL,2020,2020-11-01,Injured Reserve,PIT,,8
