Player,Pos,Team,Games,Snaps,Snap %,Season,Week
Rex Burkhead,RB,NWE,1,19,0.29,2020,1
Zach Ertz,TE,PHI,1,59,0.87,2020,1
Jordan Reed,TE,SFO,1,10,0.16,2020,1
Tyler Eifert,TE,JAX,1,29,0.58,2020,1
Levine Toilolo,TE,NYG,1,24,0.35,2020,1
Vance McDonald,TE,PIT,1,38,0.58,2020,1
Kyle Juszczyk,RB,SFO,1,36,0.58,2020,1
Luke Willson,TE,SEA,1,1,0.02,2020,1
Latavius Murray,RB,NOR,1,23,0.33,2020,1
Ryan Griffin,TE,NYJ,1,18,0.32,2020,1
Demetrius Harris,TE,CHI,1,26,0.4,2020,1
Jack Doyle,TE,IND,1,57,0.77,2020,1
Teddy Bridgewater,QB,CAR,1,67,1.0,2020,1
Derek Carr,QB,LV,1,63,0.98,2020,1
Logan Thomas,TE,WAS,1,53,0.76,2020,1
Carlos Hyde,RB,SEA,1,22,0.34,2020,1
Sammy Watkins,WR,KAN,1,55,0.79,2020,1
Mike Evans,WR,TAM,1,65,0.93,2020,1
Brandin Cooks,WR,HOU,1,31,0.53,2020,1
Davante Adams,WR,GNB,1,69,0.86,2020,1
Allen Robinson,WR,CHI,1,53,0.82,2020,1
Odell Beckham,WR,CLE,1,56,0.77,2020,1
Jarvis Landry,WR,CLE,1,52,0.71,2020,1
Eric Ebron,TE,PIT,1,40,0.62,2020,1
James White,RB,NWE,1,20,0.31,2020,1
Jimmy Garoppolo,QB,SFO,1,62,1.0,2020,1
Jerick McKinnon,RB,SFO,1,19,0.31,2020,1
John Brown,WR,BUF,1,81,0.93,2020,1
Richard Rodgers,TE,PHI,1,2,0.03,2020,1
Willie Snead,WR,BAL,1,39,0.66,2020,1
Bennie Fowler,WR,NOR,1,7,0.1,2020,1
Dontrelle Inman,WR,WAS,1,37,0.53,2020,1
Keith Smith,RB,ATL,1,13,0.16,2020,1
Adam Thielen,WR,MIN,1,50,0.96,2020,1
Cameron Brate,TE,TAM,1,7,0.1,2020,1
Josh Hill,TE,NOR,1,36,0.52,2020,1
Darren Fells,TE,HOU,1,25,0.42,2020,1
Diontae Spencer,WR,DEN,1,6,0.1,2020,1
Seth Roberts,WR,CAR,1,5,0.07,2020,1
Amari Cooper,WR,DAL,1,68,0.94,2020,1
DeVante Parker,WR,MIA,1,23,0.37,2020,1
Melvin Gordon,RB,DEN,1,37,0.63,2020,1
Todd Gurley,RB,ATL,1,37,0.46,2020,1
Maxx Williams,TE,ARI,1,43,0.52,2020,1
Ameer Abdullah,RB,MIN,1,3,0.06,2020,1
Tevin Coleman,RB,SFO,1,6,0.1,2020,1
Duke Johnson,RB,HOU,1,14,0.24,2020,1
Mike Davis,RB,CAR,1,3,0.04,2020,1
David Johnson,RB,HOU,1,48,0.81,2020,1
Malcolm Brown,RB,LAR,1,44,0.6,2020,1
Jesse James,TE,DET,1,39,0.5,2020,1
Tyler Kroft,TE,BUF,1,4,0.05,2020,1
Nick Boyle,TE,BAL,1,41,0.69,2020,1
MyCole Pruitt,TE,TEN,1,31,0.38,2020,1
Blake Bell,TE,DAL,1,8,0.11,2020,1
Nelson Agholor,WR,LV,1,12,0.19,2020,1
Tyler Lockett,WR,SEA,1,58,0.91,2020,1
Breshad Perriman,WR,NYJ,1,56,1.0,2020,1
Jamison Crowder,WR,NYJ,1,48,0.86,2020,1
Ty Montgomery,RB,NOR,1,4,0.06,2020,1
Stefon Diggs,WR,BUF,1,82,0.94,2020,1
Chris Manhertz,TE,CAR,1,36,0.54,2020,1
C.J. Uzomah,TE,CIN,1,49,0.72,2020,1
DeAndre Carter,WR,HOU,1,13,0.22,2020,1
Darren Waller,TE,LV,1,56,0.88,2020,1
James O'Shaughnessy,TE,JAX,1,21,0.42,2020,1
Chris Conley,WR,JAX,1,16,0.32,2020,1
Michael Burton,RB,NOR,1,17,0.25,2020,1
Damiere Byrd,WR,NWE,1,56,0.86,2020,1
Raheem Mostert,RB,SFO,1,37,0.6,2020,1
Eric Tomlinson,TE,NYG,1,2,0.03,2020,1
Adam Humphries,WR,TEN,1,44,0.54,2020,1
Ezekiel Elliott,RB,DAL,1,63,0.88,2020,1
Jared Goff,QB,LAR,1,73,1.0,2020,1
Derrick Henry,RB,TEN,1,61,0.75,2020,1
Carson Wentz,QB,PHI,1,68,1.0,2020,1
Michael Thomas,WR,NOR,1,55,0.8,2020,1
Tyler Boyd,WR,CIN,1,55,0.81,2020,1
Devontae Booker,RB,LV,1,8,0.13,2020,1
Pharoh Cooper,WR,CAR,1,3,0.04,2020,1
Hunter Henry,TE,LAC,1,59,0.8,2020,1
Sterling Shepard,WR,NYG,1,53,0.78,2020,1
Austin Hooper,TE,CLE,1,56,0.77,2020,1
Jordan Howard,RB,MIA,1,9,0.15,2020,1
Rashard Higgins,WR,CLE,1,16,0.22,2020,1
Tajae Sharpe,WR,MIN,1,7,0.13,2020,1
Dak Prescott,QB,DAL,1,72,1.0,2020,1
Tyler Higbee,TE,LAR,1,65,0.89,2020,1
Will Fuller,WR,HOU,1,47,0.8,2020,1
Kenyan Drake,RB,ARI,1,58,0.71,2020,1
Jacoby Brissett,QB,IND,1,1,0.01,2020,1
Nick Vannett,TE,DEN,1,16,0.27,2020,1
Tyler Ervin,RB,GNB,1,14,0.18,2020,1
Demarcus Robinson,WR,KAN,1,33,0.47,2020,1
Jakeem Grant,WR,MIA,1,33,0.53,2020,1
Robby Anderson,WR,CAR,1,56,0.84,2020,1
Alex Erickson,WR,CIN,1,4,0.06,2020,1
Stephen Anderson,TE,LAC,1,11,0.15,2020,1
Andy Janovich,RB,CLE,1,10,0.14,2020,1
Derek Watt,RB,PIT,1,8,0.12,2020,1
Tyreek Hill,WR,KAN,1,59,0.84,2020,1
Mike Thomas,WR,CIN,1,16,0.24,2020,1
Peyton Barber,RB,WAS,1,29,0.41,2020,1
J.P. Holtz,TE,CHI,1,5,0.08,2020,1
Kalif Raymond,WR,TEN,1,18,0.22,2020,1
Marvin Hall,WR,DET,1,16,0.21,2020,1
Jalen Richard,RB,LV,1,7,0.11,2020,1
C.J. Ham,RB,MIN,1,12,0.23,2020,1
J.D. McKissic,RB,WAS,1,32,0.46,2020,1
Elijhaa Penny,RB,NYG,1,3,0.04,2020,1
Dalvin Cook,RB,MIN,1,30,0.58,2020,1
Mike Williams,WR,LAC,1,58,0.78,2020,1
Leonard Fournette,RB,TAM,1,9,0.13,2020,1
O.J. Howard,TE,TAM,1,37,0.53,2020,1
Mitchell Trubisky,QB,CHI,1,65,1.0,2020,1
Corey Davis,WR,TEN,1,66,0.81,2020,1
John Ross,WR,CIN,1,58,0.85,2020,1
Christian McCaffrey,RB,CAR,1,65,0.97,2020,1
Deshaun Watson,QB,HOU,1,59,1.0,2020,1
David Njoku,TE,CLE,1,17,0.23,2020,1
Chris Godwin,WR,TAM,1,66,0.94,2020,1
Evan Engram,TE,NYG,1,64,0.94,2020,1
Patrick Mahomes,QB,KAN,1,69,0.99,2020,1
Joe Mixon,RB,CIN,1,40,0.59,2020,1
Alvin Kamara,RB,NOR,1,45,0.65,2020,1
Wayne Gallman,RB,NYG,1,3,0.04,2020,1
Jamaal Williams,RB,GNB,1,30,0.38,2020,1
Kareem Hunt,RB,CLE,1,37,0.51,2020,1
JuJu Smith-Schuster,WR,PIT,1,55,0.85,2020,1
Zay Jones,WR,LV,1,9,0.14,2020,1
Isaiah Ford,WR,MIA,1,47,0.76,2020,1
Cooper Kupp,WR,LAR,1,62,0.85,2020,1
Curtis Samuel,WR,CAR,1,51,0.76,2020,1
Josh Reynolds,WR,LAR,1,37,0.51,2020,1
Noah Brown,WR,DAL,1,3,0.04,2020,1
Marlon Mack,RB,IND,1,11,0.15,2020,1
Jeremy McNichols,RB,TEN,1,13,0.16,2020,1
Corey Clement,RB,PHI,1,26,0.38,2020,1
James Conner,RB,PIT,1,15,0.23,2020,1
Brian Hill,RB,ATL,1,21,0.26,2020,1
Tarik Cohen,RB,CHI,1,30,0.46,2020,1
Jake Butt,TE,DEN,1,16,0.27,2020,1
Adam Shaheen,TE,MIA,1,12,0.19,2020,1
Gerald Everett,TE,LAR,1,24,0.33,2020,1
Jonnu Smith,TE,TEN,1,59,0.73,2020,1
Jeremy Sprinkle,TE,WAS,1,28,0.4,2020,1
Austin Ekeler,RB,LAC,1,50,0.68,2020,1
Mack Hollins,WR,MIA,1,3,0.05,2020,1
George Kittle,TE,SFO,1,61,0.98,2020,1
Robert Tonyan,TE,GNB,1,47,0.59,2020,1
Trent Taylor,WR,SFO,1,21,0.34,2020,1
Jacob Hollister,TE,SEA,1,11,0.17,2020,1
Cody Hollister,WR,TEN,1,4,0.05,2020,1
Cethan Carter,TE,CIN,1,1,0.01,2020,1
Tim Patrick,WR,DEN,1,50,0.85,2020,1
Mo Alie-Cox,TE,IND,1,30,0.41,2020,1
Darrell Daniels,TE,ARI,1,14,0.17,2020,1
Isaiah McKenzie,WR,BUF,1,16,0.18,2020,1
Blake Jarwin,TE,DAL,1,25,0.35,2020,1
Jamal Agnew,WR,DET,1,15,0.19,2020,1
Aaron Jones,RB,GNB,1,42,0.53,2020,1
Alex Armah,RB,CAR,1,8,0.12,2020,1
Johnny Mundt,TE,LAR,1,10,0.14,2020,1
Chris Carson,RB,SEA,1,28,0.44,2020,1
David Moore,WR,SEA,1,33,0.52,2020,1
Anthony Firkser,TE,TEN,1,32,0.4,2020,1
C.J. Board,WR,NYG,1,21,0.31,2020,1
JoJo Natson,WR,CLE,1,2,0.03,2020,1
Keelan Cole,WR,JAX,1,35,0.7,2020,1
Zach Pascal,WR,IND,1,46,0.62,2020,1
Matt Breida,RB,MIA,1,14,0.23,2020,1
Kendrick Bourne,WR,SFO,1,57,0.92,2020,1
Taysom Hill,QB,NOR,1,17,0.25,2020,1
Greg Ward,WR,PHI,1,30,0.44,2020,1
Dan Arnold,TE,ARI,1,45,0.55,2020,1
Patrick Ricard,RB,BAL,1,25,0.42,2020,1
Brandon Zylstra,WR,CAR,1,8,0.12,2020,1
Lamar Jackson,QB,BAL,1,53,0.9,2020,1
Sam Darnold,QB,NYJ,1,56,1.0,2020,1
Baker Mayfield,QB,CLE,1,73,1.0,2020,1
Saquon Barkley,RB,NYG,1,59,0.87,2020,1
Ronald Jones,RB,TAM,1,33,0.47,2020,1
Royce Freeman,RB,DEN,1,6,0.1,2020,1
Nick Chubb,RB,CLE,1,35,0.48,2020,1
Kerryon Johnson,RB,DET,1,20,0.26,2020,1
Josh Adams,RB,NYJ,1,13,0.23,2020,1
Ito Smith,RB,ATL,1,20,0.25,2020,1
Myles Gaskin,RB,MIA,1,40,0.65,2020,1
James Washington,WR,PIT,1,37,0.57,2020,1
Anthony Miller,WR,CHI,1,27,0.42,2020,1
Calvin Ridley,WR,ATL,1,69,0.86,2020,1
Michael Gallup,WR,DAL,1,69,0.96,2020,1
Tre'Quan Smith,WR,NOR,1,44,0.64,2020,1
Cedrick Wilson,WR,DAL,1,3,0.04,2020,1
Dante Pettis,WR,SFO,1,45,0.73,2020,1
D.J. Moore,WR,CAR,1,58,0.87,2020,1
Christian Kirk,WR,ARI,1,63,0.77,2020,1
Mark Andrews,TE,BAL,1,42,0.71,2020,1
Dallas Goedert,TE,PHI,1,54,0.79,2020,1
Jaylen Samuels,RB,PIT,1,20,0.31,2020,1
Mike Gesicki,TE,MIA,1,46,0.74,2020,1
Hayden Hurst,TE,ATL,1,63,0.79,2020,1
D.J. Chark,WR,JAX,1,42,0.84,2020,1
Nyheim Hines,RB,IND,1,42,0.57,2020,1
Josh Allen,QB,BUF,1,87,1.0,2020,1
Justin Jackson,RB,LAC,1,11,0.15,2020,1
Allen Lazard,WR,GNB,1,67,0.84,2020,1
Richie James,WR,SFO,1,10,0.16,2020,1
Auden Tate,WR,CIN,1,15,0.22,2020,1
Sony Michel,RB,NWE,1,19,0.29,2020,1
Dalton Schultz,TE,DAL,1,50,0.69,2020,1
Ian Thomas,TE,CAR,1,46,0.69,2020,1
Javon Wims,WR,CHI,1,23,0.35,2020,1
Jordan Akins,TE,HOU,1,48,0.81,2020,1
DaeSean Hamilton,WR,DEN,1,47,0.8,2020,1
Marcus Baugh,TE,WAS,1,27,0.39,2020,1
Chase Edmonds,RB,ARI,1,28,0.34,2020,1
Jordan Wilkins,RB,IND,1,1,0.01,2020,1
Phillip Lindsay,RB,DEN,1,19,0.32,2020,1
Durham Smythe,TE,MIA,1,14,0.23,2020,1
Darrel Williams,RB,KAN,1,23,0.33,2020,1
Noah Fant,TE,DEN,1,43,0.73,2020,1
Marquez Valdes-Scantling,WR,GNB,1,41,0.51,2020,1
Chris Herndon,TE,NYJ,1,40,0.71,2020,1
Ryan Izzo,TE,NWE,1,63,0.97,2020,1
Damion Ratley,WR,NYG,1,18,0.26,2020,1
Tyler Conklin,TE,MIN,1,9,0.17,2020,1
Justin Watson,WR,TAM,1,11,0.16,2020,1
Russell Gage,WR,ATL,1,55,0.69,2020,1
Boston Scott,RB,PHI,1,38,0.56,2020,1
Gus Edwards,RB,BAL,1,15,0.25,2020,1
Byron Pringle,WR,KAN,1,6,0.09,2020,1
Ryan Nall,RB,CHI,1,1,0.02,2020,1
Brandon Powell,WR,ATL,1,2,0.03,2020,1
Tim Boyle,QB,GNB,1,2,0.03,2020,1
Mike Boone,RB,MIN,1,1,0.02,2020,1
Christian Blake,WR,ATL,1,7,0.09,2020,1
Ross Dwelley,TE,SFO,1,7,0.11,2020,1
Trent Sherfield,WR,ARI,1,2,0.02,2020,1
Will Dissly,TE,SEA,1,26,0.41,2020,1
Nick Keizer,TE,KAN,1,30,0.43,2020,1
Jaeden Graham,TE,ATL,1,9,0.11,2020,1
KhaDarel Hodge,WR,CLE,1,40,0.55,2020,1
Dwayne Haskins,QB,WAS,1,70,1.0,2020,1
A.J. Brown,WR,TEN,1,66,0.81,2020,1
D.K. Metcalf,WR,SEA,1,61,0.95,2020,1
N'Keal Harry,WR,NWE,1,51,0.78,2020,1
Drew Lock,QB,DEN,1,59,1.0,2020,1
Marquise Brown,WR,BAL,1,37,0.63,2020,1
Daniel Jones,QB,NYG,1,68,1.0,2020,1
JJ Arcega-Whiteside,WR,PHI,1,28,0.41,2020,1
David Montgomery,RB,CHI,1,29,0.45,2020,1
Josh Jacobs,RB,LV,1,49,0.77,2020,1
Devin Singletary,RB,BUF,1,51,0.59,2020,1
Collin Johnson,WR,JAX,1,9,0.18,2020,1
T.J. Hockenson,TE,DET,1,50,0.64,2020,1
Kaden Smith,TE,NYG,1,29,0.43,2020,1
Patrick Laird,RB,MIA,1,4,0.06,2020,1
Hunter Renfrow,WR,LV,1,31,0.48,2020,1
Foster Moreau,TE,LV,1,12,0.19,2020,1
Andy Isabella,WR,ARI,1,14,0.17,2020,1
Parris Campbell,WR,IND,1,61,0.82,2020,1
Terry McLaurin,WR,WAS,1,65,0.93,2020,1
Drew Sample,TE,CIN,1,24,0.35,2020,1
Gardner Minshew,QB,JAX,1,50,1.0,2020,1
Trevon Wesco,TE,NYJ,1,8,0.14,2020,1
Alec Ingold,RB,LV,1,17,0.27,2020,1
Mecole Hardman,WR,KAN,1,20,0.29,2020,1
Darrell Henderson,RB,LAR,1,5,0.07,2020,1
Jakobi Meyers,WR,NWE,1,8,0.12,2020,1
Kyler Murray,QB,ARI,1,82,1.0,2020,1
Benny Snell,RB,PIT,1,29,0.45,2020,1
Irv Smith,TE,MIN,1,31,0.6,2020,1
Preston Williams,WR,MIA,1,56,0.9,2020,1
Jace Sternberger,TE,GNB,1,12,0.15,2020,1
Diontae Johnson,WR,PIT,1,55,0.85,2020,1
Travis Homer,RB,SEA,1,13,0.2,2020,1
Alexander Mattison,RB,MIN,1,19,0.37,2020,1
Chase Claypool,WR,PIT,1,19,0.29,2020,1
Dawson Knox,TE,BUF,1,57,0.66,2020,1
Bryan Edwards,WR,LV,1,48,0.75,2020,1
Miles Boykin,WR,BAL,1,40,0.68,2020,1
Jakob Johnson,RB,NWE,1,21,0.32,2020,1
Chandler Cox,RB,MIA,1,12,0.19,2020,1
Tony Pollard,RB,DAL,1,10,0.14,2020,1
Darius Slayton,WR,NYG,1,58,0.85,2020,1
Olabisi Johnson,WR,MIN,1,33,0.63,2020,1
Scotty Miller,WR,TAM,1,43,0.61,2020,1
Andrew Beck,TE,DEN,1,6,0.1,2020,1
Stephen Carlson,TE,CLE,1,12,0.16,2020,1
Penny Hart,WR,SEA,1,1,0.02,2020,1
John Lovett,QB,GNB,1,1,0.01,2020,1
Khari Blasingame,RB,TEN,1,10,0.12,2020,1
Malik Taylor,WR,GNB,1,1,0.01,2020,1
Olamide Zaccheaus,WR,ATL,1,11,0.14,2020,1
Deonte Harris,WR,NOR,1,7,0.1,2020,1
Jalen Guyton,WR,LAC,1,47,0.64,2020,1
Steven Sims,WR,WAS,1,58,0.83,2020,1
D'Ernest Johnson,RB,CLE,1,4,0.05,2020,1
Joe Burrow,QB,CIN,1,68,1.0,2020,1
Jerry Jeudy,WR,DEN,1,44,0.75,2020,1
CeeDee Lamb,WR,DAL,1,59,0.82,2020,1
Henry Ruggs,WR,LV,1,42,0.66,2020,1
D'Andre Swift,RB,DET,1,34,0.44,2020,1
Tee Higgins,WR,CIN,1,15,0.22,2020,1
Jonathan Taylor,RB,IND,1,27,0.36,2020,1
Jalen Reagor,WR,PHI,1,40,0.59,2020,1
Laviska Shenault,WR,JAX,1,32,0.64,2020,1
Cole Kmet,TE,CHI,1,21,0.32,2020,1
Justin Jefferson,WR,MIN,1,36,0.69,2020,1
J.K. Dobbins,RB,BAL,1,24,0.41,2020,1
Zack Moss,RB,BUF,1,39,0.45,2020,1
Cam Akers,RB,LAR,1,24,0.33,2020,1
Devin Duvernay,WR,BAL,1,11,0.19,2020,1
Michael Pittman,WR,IND,1,42,0.57,2020,1
Clyde Edwards-Helaire,RB,KAN,1,46,0.66,2020,1
John Hightower,WR,PHI,1,28,0.41,2020,1
K.J. Hill,WR,LAC,1,12,0.16,2020,1
AJ Dillon,RB,GNB,1,5,0.06,2020,1
James Proche,WR,BAL,1,5,0.08,2020,1
Harrison Bryant,TE,CLE,1,31,0.42,2020,1
Quintez Cephus,WR,DET,1,62,0.79,2020,1
Gabriel Davis,WR,BUF,1,43,0.49,2020,1
Adam Trautman,TE,NOR,1,7,0.1,2020,1
Devin Asiasi,TE,NWE,1,10,0.15,2020,1
J.J. Taylor,RB,NWE,1,9,0.14,2020,1
Joshua Kelley,RB,LAC,1,18,0.24,2020,1
Josiah Deguara,TE,GNB,1,24,0.3,2020,1
Joe Reed,WR,LAC,1,3,0.04,2020,1
Van Jefferson,WR,LAR,1,33,0.45,2020,1
Antonio Gibson,RB,WAS,1,18,0.26,2020,1
James Robinson,RB,JAX,1,35,0.7,2020,1
Jason Huntley,RB,PHI,1,1,0.01,2020,1
Charlie Woerner,TE,SFO,1,1,0.02,2020,1
Tyrie Cleveland,WR,DEN,1,5,0.08,2020,1
Ben Ellefson,TE,JAX,1,13,0.26,2020,1
K.J. Osborn,WR,MIN,1,1,0.02,2020,1
Freddie Swain,WR,SEA,1,16,0.25,2020,1
Chris Streveler,QB,ARI,1,1,0.01,2020,1
Darnell Mooney,WR,CHI,1,22,0.34,2020,1
Reggie Gilliam,RB,BUF,1,3,0.03,2020,1
Nathan Cottrell,RB,JAX,1,2,0.04,2020,1
Gabe Nabers,RB,LAC,1,6,0.08,2020,1
Dan Chisena,WR,MIN,1,1,0.02,2020,1
Aaron Rodgers,QB,GNB,1,68,0.93,2020,2
Adrian Peterson,RB,DET,1,15,0.25,2020,2
Ben Roethlisberger,QB,PIT,1,65,0.98,2020,2
Danny Amendola,WR,DET,1,33,0.55,2020,2
DeSean Jackson,WR,PHI,1,55,0.77,2020,2
Drew Brees,QB,NOR,1,60,1.0,2020,2
Frank Gore,RB,NYJ,1,37,0.57,2020,2
Greg Olsen,TE,SEA,1,45,0.7,2020,2
Jared Cook,TE,NOR,1,39,0.65,2020,2
Jason Witten,TE,LV,1,26,0.32,2020,2
Julian Edelman,WR,NWE,1,52,0.72,2020,2
Larry Fitzgerald,WR,ARI,1,61,0.77,2020,2
LeSean McCoy,RB,TAM,1,11,0.18,2020,2
Marcedes Lewis,TE,GNB,1,33,0.45,2020,2
Matt Ryan,QB,ATL,1,75,0.99,2020,2
Matthew Stafford,QB,DET,1,59,0.98,2020,2
Philip Rivers,QB,IND,1,73,0.99,2020,2
Ryan Fitzpatrick,QB,MIA,1,75,1.0,2020,2
Tom Brady,QB,TAM,1,61,1.0,2020,2
Golden Tate,WR,NYG,1,40,0.62,2020,2
Andre Roberts,WR,BUF,1,6,0.1,2020,2
Emmanuel Sanders,WR,NOR,1,47,0.78,2020,2
Jimmy Graham,TE,CHI,1,40,0.62,2020,2
Rob Gronkowski,TE,TAM,1,42,0.69,2020,2
A.J. Green,WR,CIN,1,57,0.62,2020,2
Julio Jones,WR,ATL,1,59,0.78,2020,2
Cam Newton,QB,NWE,1,72,1.0,2020,2
Mark Ingram,RB,BAL,1,27,0.42,2020,2
Randall Cobb,WR,HOU,1,40,0.68,2020,2
Kyle Rudolph,TE,MIN,1,38,0.7,2020,2
Andy Dalton,QB,DAL,1,2,0.03,2020,2
Luke Stocker,TE,ATL,1,29,0.38,2020,2
Anthony Sherman,RB,KAN,1,7,0.09,2020,2
Dion Lewis,RB,NYG,1,57,0.88,2020,2
Virgil Green,TE,LAC,1,35,0.42,2020,2
Bruce Miller,TE,JAX,1,14,0.18,2020,2
Ryan Tannehill,QB,TEN,1,62,0.98,2020,2
Kirk Cousins,QB,MIN,1,54,1.0,2020,2
Russell Wilson,QB,SEA,1,63,0.98,2020,2
Mohamed Sanu,WR,SFO,1,13,0.21,2020,2
T.Y. Hilton,WR,IND,1,42,0.57,2020,2
Marvin Jones,WR,DET,1,53,0.88,2020,2
Cole Beasley,WR,BUF,1,41,0.66,2020,2
Chris Hogan,WR,NYJ,1,59,0.91,2020,2
Travis Kelce,TE,KAN,1,74,0.96,2020,2
DeAndre Hopkins,WR,ARI,1,75,0.95,2020,2
Robert Woods,WR,LAR,1,59,0.84,2020,2
Kenny Stills,WR,HOU,1,28,0.47,2020,2
Cordarrelle Patterson,WR,CHI,1,14,0.22,2020,2
Keenan Allen,WR,LAC,1,81,0.96,2020,2
Giovani Bernard,RB,CIN,1,42,0.46,2020,2
Chris Thompson,RB,JAX,1,31,0.41,2020,2
Rex Burkhead,RB,NWE,1,51,0.71,2020,2
Zach Ertz,TE,PHI,1,67,0.94,2020,2
Jordan Reed,TE,SFO,1,28,0.46,2020,2
Tyler Eifert,TE,JAX,1,45,0.59,2020,2
Levine Toilolo,TE,NYG,1,11,0.17,2020,2
Vance McDonald,TE,PIT,1,36,0.55,2020,2
Kyle Juszczyk,RB,SFO,1,29,0.48,2020,2
Latavius Murray,RB,NOR,1,16,0.27,2020,2
Ryan Griffin,TE,NYJ,1,27,0.42,2020,2
Demetrius Harris,TE,CHI,1,36,0.55,2020,2
Teddy Bridgewater,QB,CAR,1,73,1.0,2020,2
Derek Carr,QB,LV,1,80,0.99,2020,2
Logan Thomas,TE,WAS,1,60,0.91,2020,2
Carlos Hyde,RB,SEA,1,15,0.23,2020,2
Sammy Watkins,WR,KAN,1,45,0.58,2020,2
Mike Evans,WR,TAM,1,53,0.87,2020,2
Brandin Cooks,WR,HOU,1,53,0.9,2020,2
Davante Adams,WR,GNB,1,38,0.52,2020,2
Allen Robinson,WR,CHI,1,53,0.82,2020,2
Odell Beckham,WR,CLE,1,39,0.67,2020,2
Jarvis Landry,WR,CLE,1,35,0.6,2020,2
Eric Ebron,TE,PIT,1,50,0.76,2020,2
Jimmy Garoppolo,QB,SFO,1,32,0.52,2020,2
Jerick McKinnon,RB,SFO,1,13,0.21,2020,2
John Brown,WR,BUF,1,56,0.9,2020,2
Willie Snead,WR,BAL,1,41,0.63,2020,2
Bennie Fowler,WR,NOR,1,4,0.07,2020,2
Dontrelle Inman,WR,WAS,1,45,0.68,2020,2
Keith Smith,RB,ATL,1,12,0.16,2020,2
Senorise Perry,RB,TEN,1,2,0.03,2020,2
Adam Thielen,WR,MIN,1,48,0.89,2020,2
Cameron Brate,TE,TAM,1,4,0.07,2020,2
Josh Hill,TE,NOR,1,22,0.37,2020,2
Darren Fells,TE,HOU,1,24,0.41,2020,2
Diontae Spencer,WR,DEN,1,3,0.04,2020,2
Seth Roberts,WR,CAR,1,19,0.26,2020,2
Amari Cooper,WR,DAL,1,63,0.9,2020,2
DeVante Parker,WR,MIA,1,66,0.88,2020,2
Melvin Gordon,RB,DEN,1,61,0.79,2020,2
Todd Gurley,RB,ATL,1,48,0.63,2020,2
