Player,Team,Season,Date,Status,Opp,Injury,Week
Jared Veldheer,ARI,2016,2016-11-20,Injured Reserve,MIN,Tricep,11
Justin Bethel,ARI,2016,2016-11-27,Questionable,ATL,foot,12
Elie Bouka,ARI,2016,2016-11-27,Injured Reserve,ATL,Hamstring,12
Tyvon Branch,ARI,2016,2016-11-27,Injured Reserve,ATL,Groin,12
Jaron Brown,ARI,2016,2016-11-27,Injured Reserve,ATL,Knee,12
C.B. Bryant,ARI,2016,2016-11-27,Questionable,ATL,groin,12
Durell Eskridge,ARI,2016,2016-11-27,Injured Reserve,ATL,Arm,12
Alani Fua,ARI,2016,2016-11-27,Injured Reserve,ATL,Knee,12
Brittan Golden,ARI,2016,2016-11-27,Questionable,ATL,groin,12
Mike Jenkins,ARI,2016,2016-11-27,Injured Reserve,ATL,Knee,12
Chris Johnson,ARI,2016,2016-11-27,Injured Reserve,ATL,Groin,12
Lamar Louis,ARI,2016,2016-11-27,Injured Reserve,ATL,Knee,12
Gabe Martin,ARI,2016,2016-11-27,Injured Reserve,ATL,Hamstring,12
Tyrann Mathieu,ARI,2016,2016-11-27,Questionable,ATL,shoulder,12
Evan Mathis,ARI,2016,2016-11-27,Injured Reserve,ATL,Ankle,12
Ifeanyi Momah,ARI,2016,2016-11-27,Injured Reserve,ATL,Wrist,12
Troy Niklas,ARI,2016,2016-11-27,Injured Reserve,ATL,Wrist,12
Tristan Okpalaugo,ARI,2016,2016-11-27,Injured Reserve,ATL,Hamstring,12
Carson Palmer,ARI,2016,2016-11-27,day-to-day,ATL,concussion,12
Corey Peters,ARI,2016,2016-11-27,Questionable,ATL,foot,12
Ed Stinson,ARI,2016,2016-11-27,Questionable,ATL,Hip,12
Jared Veldheer,ARI,2016,2016-11-27,Injured Reserve,ATL,Tricep,12
Elie Bouka,ARI,2016,2016-12-04,Injured Reserve,WAS,Hamstring,13
Jaron Brown,ARI,2016,2016-12-04,Injured Reserve,WAS,Knee,13
John Brown,ARI,2016,2016-12-04,Questionable,WAS,illness,13
Durell Eskridge,ARI,2016,2016-12-04,Injured Reserve,WAS,Arm,13
Alani Fua,ARI,2016,2016-12-04,Injured Reserve,WAS,Knee,13
Mike Jenkins,ARI,2016,2016-12-04,Injured Reserve,WAS,Knee,13
Chris Johnson,ARI,2016,2016-12-04,Injured Reserve,WAS,Groin,13
Lamar Louis,ARI,2016,2016-12-04,Injured Reserve,WAS,Knee,13
Gabe Martin,ARI,2016,2016-12-04,Injured Reserve,WAS,Hamstring,13
Tyrann Mathieu,ARI,2016,2016-12-04,Doubtful,WAS,shoulder,13
Evan Mathis,ARI,2016,2016-12-04,Injured Reserve,WAS,Ankle,13
Ifeanyi Momah,ARI,2016,2016-12-04,Injured Reserve,WAS,Wrist,13
Troy Niklas,ARI,2016,2016-12-04,Injured Reserve,WAS,Wrist,13
Tristan Okpalaugo,ARI,2016,2016-12-04,Injured Reserve,WAS,Hamstring,13
Carson Palmer,ARI,2016,2016-12-04,day-to-day,WAS,concussion,13
Jared Veldheer,ARI,2016,2016-12-04,Injured Reserve,WAS,Tricep,13
Elie Bouka,ARI,2016,2016-12-11,Injured Reserve,MIA,Hamstring,14
Jaron Brown,ARI,2016,2016-12-11,Injured Reserve,MIA,Knee,14
John Brown,ARI,2016,2016-12-11,Questionable,MIA,illness,14
Durell Eskridge,ARI,2016,2016-12-11,Injured Reserve,MIA,Arm,14
Alani Fua,ARI,2016,2016-12-11,Injured Reserve,MIA,Knee,14
Markus Golden,ARI,2016,2016-12-11,Questionable,MIA,hamstring,14
Mike Jenkins,ARI,2016,2016-12-11,Injured Reserve,MIA,Knee,14
Chris Johnson,ARI,2016,2016-12-11,Injured Reserve,MIA,Groin,14
Lamar Louis,ARI,2016,2016-12-11,Injured Reserve,MIA,Knee,14
Gabe Martin,ARI,2016,2016-12-11,Injured Reserve,MIA,Hamstring,14
Tyrann Mathieu,ARI,2016,2016-12-11,Out,MIA,shoulder,14
Evan Mathis,ARI,2016,2016-12-11,Injured Reserve,MIA,Ankle,14
Ifeanyi Momah,ARI,2016,2016-12-11,Injured Reserve,MIA,Wrist,14
Troy Niklas,ARI,2016,2016-12-11,Injured Reserve,MIA,Wrist,14
Robert Nkemdiche,ARI,2016,2016-12-11,Questionable,MIA,elbow,14
Tristan Okpalaugo,ARI,2016,2016-12-11,Injured Reserve,MIA,Hamstring,14
Carson Palmer,ARI,2016,2016-12-11,day-to-day,MIA,concussion,14
Jared Veldheer,ARI,2016,2016-12-11,Injured Reserve,MIA,Tricep,14
Elie Bouka,ARI,2016,2016-12-18,Injured Reserve,NOR,Hamstring,15
Tyvon Branch,ARI,2016,2016-12-18,Injured Reserve,NOR,Groin,15
Jaron Brown,ARI,2016,2016-12-18,Injured Reserve,NOR,Knee,15
John Brown,ARI,2016,2016-12-18,Questionable,NOR,illness,15
Deone Bucannon,ARI,2016,2016-12-18,Injured Reserve,NOR,Ankle,15
Durell Eskridge,ARI,2016,2016-12-18,Injured Reserve,NOR,Arm,15
Alani Fua,ARI,2016,2016-12-18,Injured Reserve,NOR,Knee,15
Jermaine Gresham,ARI,2016,2016-12-18,Questionable,NOR,knee,15
D.J. Humphries,ARI,2016,2016-12-18,Out,NOR,concussion,15
Mike Jenkins,ARI,2016,2016-12-18,Injured Reserve,NOR,Knee,15
Ulrick John,ARI,2016,2016-12-18,Injured Reserve,NOR,Shoulder,15
Chris Johnson,ARI,2016,2016-12-18,Injured Reserve,NOR,Groin,15
Lamar Louis,ARI,2016,2016-12-18,Injured Reserve,NOR,Knee,15
Gabe Martin,ARI,2016,2016-12-18,Injured Reserve,NOR,Hamstring,15
Evan Mathis,ARI,2016,2016-12-18,Injured Reserve,NOR,Ankle,15
Ifeanyi Momah,ARI,2016,2016-12-18,Injured Reserve,NOR,Wrist,15
Troy Niklas,ARI,2016,2016-12-18,Injured Reserve,NOR,Wrist,15
Tristan Okpalaugo,ARI,2016,2016-12-18,Injured Reserve,NOR,Hamstring,15
