"('Unnamed: 0_level_0', 'Unnamed: 0_level_1', 'Rk')","('Unnamed: 1_level_0', 'Unnamed: 1_level_1', 'G#')","('Unnamed: 2_level_0', 'Unnamed: 2_level_1', 'Date')","('Unnamed: 3_level_0', 'Unnamed: 3_level_1', 'Tm')","('Unnamed: 4_level_0', 'Unnamed: 4_level_1', 'Unnamed: 4_level_2')","('Unnamed: 5_level_0', 'Unnamed: 5_level_1', 'Opp')","('Unnamed: 6_level_0', 'Unnamed: 6_level_1', 'Result')","('Unnamed: 7_level_0', 'Unnamed: 7_level_1', 'Pos')","('Snap Counts', 'Off.', 'Num')","('Snap Counts', 'Off.', 'Pct')","('Snap Counts', 'Def.', 'Num')","('Snap Counts', 'Def.', 'Pct')","('Snap Counts', 'ST', 'Num')","('Snap Counts', 'ST', 'Pct')","('Unnamed: 14_level_0', 'Fantasy', 'FantPt')","('Unnamed: 15_level_0', 'Fantasy', 'DKPt')","('Unnamed: 16_level_0', 'Fantasy', 'FDPt')",Player_Address,Season,"('Inside 20', 'Rushing', 'Att')","('Inside 20', 'Rushing', 'Yds')","('Inside 20', 'Rushing', 'TD')","('Inside 10', 'Rushing', 'Att')","('Inside 10', 'Rushing', 'Yds')","('Inside 10', 'Rushing', 'TD')","('Unnamed: 20_level_0', 'Fantasy', 'FantPt')","('Unnamed: 21_level_0', 'Fantasy', 'DKPt')","('Unnamed: 22_level_0', 'Fantasy', 'FDPt')","('Inside 20', 'Receiving', 'Tgt')","('Inside 20', 'Receiving', 'Rec')","('Inside 20', 'Receiving', 'Yds')","('Inside 20', 'Receiving', 'TD')","('Inside 10', 'Receiving', 'Tgt')","('Inside 10', 'Receiving', 'Rec')","('Inside 10', 'Receiving', 'Yds')","('Inside 10', 'Receiving', 'TD')","('Unnamed: 28_level_0', 'Fantasy', 'FantPt')","('Unnamed: 29_level_0', 'Fantasy', 'DKPt')","('Unnamed: 30_level_0', 'Fantasy', 'FDPt')","('Unnamed: 22_level_0', 'Fantasy', 'FantPt')","('Unnamed: 23_level_0', 'Fantasy', 'DKPt')","('Unnamed: 24_level_0', 'Fantasy', 'FDPt')","('Inside 20', 'Passing', 'Cmp')","('Inside 20', 'Passing', 'Att')","('Inside 20', 'Passing', 'Yds')","('Inside 20', 'Passing', 'TD')","('Inside 10', 'Passing', 'Cmp')","('Inside 10', 'Passing', 'Att')","('Inside 10', 'Passing', 'Yds')","('Inside 10', 'Passing', 'TD')","('Unnamed: 18_level_0', 'Fantasy', 'FantPt')","('Unnamed: 19_level_0', 'Fantasy', 'DKPt')","('Unnamed: 20_level_0', 'Fantasy', 'FDPt')","('Unnamed: 24_level_0', 'Fantasy', 'FantPt')","('Unnamed: 25_level_0', 'Fantasy', 'DKPt')","('Unnamed: 26_level_0', 'Fantasy', 'FDPt')","('Unnamed: 30_level_0', 'Fantasy', 'FantPt')","('Unnamed: 31_level_0', 'Fantasy', 'DKPt')","('Unnamed: 32_level_0', 'Fantasy', 'FDPt')","('Unnamed: 36_level_0', 'Fantasy', 'FantPt')","('Unnamed: 37_level_0', 'Fantasy', 'DKPt')","('Unnamed: 38_level_0', 'Fantasy', 'FDPt')","('Unnamed: 32_level_0', 'Fantasy', 'FantPt')","('Unnamed: 33_level_0', 'Fantasy', 'DKPt')","('Unnamed: 34_level_0', 'Fantasy', 'FDPt')"
14.0,14.0,2018-12-16,MIN,,MIA,W 41-17,WR,0.0,0.0%,0.0,0.0%,17.0,53.1%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,2018-12-23,MIN,@,DET,W 27-9,WR,6.0,9.8%,0.0,0.0%,14.0,48.3%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,16.0,2018-12-30,MIN,,CHI,L 10-24,WR,3.0,5.3%,0.0,0.0%,17.0,77.3%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,2018-09-10,LAR,@,OAK,W 33-13,K,0.0,0.0%,0.0,0.0%,16.0,53.3%,17.0,,17.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,7.0,2018-10-21,LAR,@,SFO,W 39-10,K,0.0,0.0%,0.0,0.0%,15.0,50.0%,13.0,,13.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,8.0,2018-10-28,LAR,,GNB,W 29-27,K,0.0,0.0%,0.0,0.0%,9.0,26.5%,7.0,,8.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,9.0,2018-11-04,LAR,@,NOR,L 35-45,K,0.0,0.0%,0.0,0.0%,13.0,41.9%,11.0,,11.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,10.0,2018-11-11,LAR,,SEA,W 36-31,K,0.0,0.0%,0.0,0.0%,14.0,46.7%,12.0,,12.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,11.0,2018-11-19,LAR,,KAN,W 54-51,K,0.0,0.0%,0.0,0.0%,19.0,44.2%,12.0,,12.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,12.0,2018-12-02,LAR,@,DET,W 30-16,K,0.0,0.0%,0.0,0.0%,13.0,41.9%,12.0,,14.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,13.0,2018-12-09,LAR,@,CHI,L 6-15,K,0.0,0.0%,0.0,0.0%,6.0,25.0%,8.0,,8.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,14.0,2018-12-16,LAR,,PHI,L 23-30,K,0.0,0.0%,0.0,0.0%,10.0,32.3%,11.0,,12.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,15.0,2018-12-23,LAR,@,ARI,W 31-9,K,0.0,0.0%,0.0,0.0%,12.0,46.2%,7.0,,7.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,16.0,2018-12-30,LAR,,SFO,W 48-32,K,0.0,0.0%,0.0,0.0%,16.0,51.6%,14.0,,14.0,/players/Z/ZuerGr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,6.0,2018-10-14,KAN,@,NWE,L 40-43,OLB,0.0,0.0%,8.0,10.3%,19.0,52.8%,,,,/players/Z/ZombFr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,7.0,2018-10-21,KAN,,CIN,W 45-10,OLB,0.0,0.0%,16.0,28.1%,19.0,70.4%,,,,/players/Z/ZombFr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,8.0,2018-10-28,KAN,,DEN,W 30-23,OLB,0.0,0.0%,2.0,2.7%,18.0,62.1%,,,,/players/Z/ZombFr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,11.0,2018-11-19,KAN,@,LAR,L 51-54,LB,0.0,0.0%,0.0,0.0%,26.0,60.5%,,,,/players/Z/ZombFr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,12.0,2018-12-02,KAN,@,OAK,W 40-33,LB,0.0,0.0%,0.0,0.0%,25.0,78.1%,,,,/players/Z/ZombFr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,13.0,2018-12-09,KAN,,BAL,W 27-24,LB,0.0,0.0%,0.0,0.0%,22.0,75.9%,,,,/players/Z/ZombFr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,14.0,2018-12-13,KAN,,LAC,L 28-29,LB,0.0,0.0%,0.0,0.0%,19.0,82.6%,,,,/players/Z/ZombFr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,15.0,2018-12-23,KAN,@,SEA,L 31-38,LB,0.0,0.0%,0.0,0.0%,28.0,84.8%,,,,/players/Z/ZombFr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,16.0,2018-12-30,KAN,,OAK,W 35-3,LB,0.0,0.0%,3.0,4.5%,14.0,73.7%,,,,/players/Z/ZombFr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,3.0,2018-09-23,ATL,,NOR,L 37-43,DT,0.0,0.0%,9.0,11.4%,0.0,0.0%,,,,/players/Z/ZimmJu00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.0,2018-09-16,CLE,@,NOR,L 18-21,DT,0.0,0.0%,9.0,13.6%,0.0,0.0%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,3.0,2018-09-20,CLE,,NYJ,W 21-17,DT,0.0,0.0%,6.0,9.5%,2.0,6.7%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,4.0,2018-09-30,CLE,@,OAK,L 42-45,DL,0.0,0.0%,5.0,5.4%,7.0,16.3%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,5.0,2018-10-07,CLE,,BAL,W 12-9,DL,0.0,0.0%,2.0,2.3%,0.0,0.0%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,6.0,2018-10-14,CLE,,LAC,L 14-38,DL,0.0,0.0%,2.0,3.3%,0.0,0.0%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,7.0,2018-10-21,CLE,@,TAM,L 23-26,DL,0.0,0.0%,6.0,6.3%,0.0,0.0%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,8.0,2018-10-28,CLE,@,PIT,L 18-33,DL,0.0,0.0%,9.0,12.7%,0.0,0.0%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,9.0,2018-11-04,CLE,,KAN,L 21-37,DL,0.0,0.0%,8.0,12.7%,6.0,26.1%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,10.0,2018-11-11,CLE,,ATL,W 28-16,DL,0.0,0.0%,25.0,33.3%,2.0,9.1%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,11.0,2018-11-25,CLE,@,CIN,W 35-20,DL,0.0,0.0%,17.0,23.0%,8.0,32.0%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,12.0,2018-12-02,CLE,@,HOU,L 13-29,DL,0.0,0.0%,21.0,27.6%,9.0,36.0%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,13.0,2018-12-09,CLE,,CAR,W 26-20,DL,0.0,0.0%,13.0,17.6%,7.0,25.0%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,14.0,2018-12-15,CLE,@,DEN,W 17-16,DL,0.0,0.0%,21.0,28.8%,11.0,47.8%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,15.0,2018-12-23,CLE,,CIN,W 26-18,DL,0.0,0.0%,3.0,6.4%,6.0,23.1%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,16.0,2018-12-30,CLE,@,BAL,L 24-26,DL,0.0,0.0%,11.0,14.3%,13.0,41.9%,,,,/players/Z/ZettAn00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,9.0,2018-11-11,DET,@,CHI,L 22-34,RB,2.0,2.6%,0.0,0.0%,19.0,70.4%,,,,/players/Z/ZennZa00,2018,,,,,,,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,10.0,2018-11-18,DET,,CAR,W 20-19,RB,3.0,4.6%,0.0,0.0%,18.0,66.7%,,,,/players/Z/ZennZa00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,11.0,2018-11-22,DET,,CHI,L 16-23,RB,4.0,6.1%,0.0,0.0%,18.0,75.0%,,,,/players/Z/ZennZa00,2018,,,,,,,1.3,2.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,12.0,2018-12-02,DET,,LAR,L 16-30,RB,3.0,4.2%,0.0,0.0%,20.0,64.5%,,,,/players/Z/ZennZa00,2018,1.0,7.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,13.0,2018-12-09,DET,@,ARI,W 17-3,RB,16.0,26.7%,0.0,0.0%,17.0,70.8%,,,,/players/Z/ZennZa00,2018,2.0,8.0,1.0,2.0,8.0,1.0,11.4,11.4,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,14.0,2018-12-16,DET,@,BUF,L 13-14,RB,26.0,45.6%,0.0,0.0%,17.0,70.8%,,,,/players/Z/ZennZa00,2018,3.0,10.0,1.0,3.0,10.0,1.0,10.5,13.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,15.0,2018-12-23,DET,,MIN,L 9-27,RB,27.0,36.0%,0.0,0.0%,19.0,65.5%,,,,/players/Z/ZennZa00,2018,,,,,,,6.7,8.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,16.0,2018-12-30,DET,@,GNB,W 31-0,RB,37.0,50.7%,0.0,0.0%,9.0,37.5%,,,,/players/Z/ZennZa00,2018,5.0,28.0,1.0,1.0,6.0,0.0,18.3,19.3,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,2018-09-09,CLE,,PIT,T 21-21,RG,89.0,100.0%,0.0,0.0%,4.0,11.1%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,2018-09-16,CLE,@,NOR,L 18-21,RG,62.0,100.0%,0.0,0.0%,6.0,22.2%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3.0,2018-09-20,CLE,,NYJ,W 21-17,RG,77.0,100.0%,0.0,0.0%,3.0,10.0%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,4.0,2018-09-30,CLE,@,OAK,L 42-45,RG,81.0,100.0%,0.0,0.0%,4.0,9.3%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,5.0,2018-10-07,CLE,,BAL,W 12-9,RG,80.0,100.0%,0.0,0.0%,4.0,11.8%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,6.0,2018-10-14,CLE,,LAC,L 14-38,RG,74.0,100.0%,0.0,0.0%,2.0,6.9%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,7.0,2018-10-21,CLE,@,TAM,L 23-26,RG,68.0,100.0%,0.0,0.0%,3.0,9.1%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,8.0,2018-10-28,CLE,@,PIT,L 18-33,RG,64.0,100.0%,0.0,0.0%,4.0,13.3%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,9.0,2018-11-04,CLE,,KAN,L 21-37,RG,75.0,100.0%,0.0,0.0%,1.0,4.3%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,10.0,2018-11-11,CLE,,ATL,W 28-16,RG,53.0,100.0%,0.0,0.0%,4.0,18.2%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,11.0,2018-11-25,CLE,@,CIN,W 35-20,RG,64.0,100.0%,0.0,0.0%,5.0,20.0%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,12.0,2018-12-02,CLE,@,HOU,L 13-29,RG,57.0,100.0%,0.0,0.0%,1.0,4.0%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,13.0,2018-12-09,CLE,,CAR,W 26-20,RG,52.0,100.0%,0.0,0.0%,6.0,21.4%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,14.0,2018-12-15,CLE,@,DEN,W 17-16,RG,67.0,100.0%,0.0,0.0%,3.0,13.0%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,2018-12-23,CLE,,CIN,W 26-18,RG,69.0,100.0%,0.0,0.0%,5.0,19.2%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,16.0,2018-12-30,CLE,@,BAL,L 24-26,RG,59.0,100.0%,0.0,0.0%,5.0,16.1%,,,,/players/Z/ZeitKe00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,2018-09-27,LAR,,MIN,W 38-31,OLB,0.0,0.0%,2.0,2.7%,0.0,0.0%,,,,/players/Y/YounTr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,7.0,2018-10-21,LAR,@,SFO,W 39-10,OLB,0.0,0.0%,10.0,16.9%,0.0,0.0%,,,,/players/Y/YounTr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,2018-09-09,BAL,,BUF,W 47-3,CB,0.0,0.0%,49.0,76.6%,12.0,35.3%,,,,/players/Y/YounTa01,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,2018-09-13,BAL,@,CIN,L 23-34,CB,0.0,0.0%,43.0,56.6%,15.0,50.0%,,,,/players/Y/YounTa01,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3.0,2018-09-23,BAL,,DEN,W 27-14,CB,0.0,0.0%,52.0,76.5%,3.0,10.7%,,,,/players/Y/YounTa01,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,4.0,2018-09-30,BAL,@,PIT,W 26-14,DB,0.0,0.0%,57.0,91.9%,9.0,31.0%,,,,/players/Y/YounTa01,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
