"('Unnamed: 0_level_0', 'Unnamed: 0_level_1', 'Rk')","('Unnamed: 1_level_0', 'Unnamed: 1_level_1', 'G#')","('Unnamed: 2_level_0', 'Unnamed: 2_level_1', 'Date')","('Unnamed: 3_level_0', 'Unnamed: 3_level_1', 'Tm')","('Unnamed: 4_level_0', 'Unnamed: 4_level_1', 'Unnamed: 4_level_2')","('Unnamed: 5_level_0', 'Unnamed: 5_level_1', 'Opp')","('Unnamed: 6_level_0', 'Unnamed: 6_level_1', 'Result')","('Unnamed: 7_level_0', 'Unnamed: 7_level_1', 'Pos')","('Inside 20', 'Receiving', 'Tgt')","('Inside 20', 'Receiving', 'Rec')","('Inside 20', 'Receiving', 'Yds')","('Inside 20', 'Receiving', 'TD')","('Snap Counts', 'Off.', 'Num')","('Snap Counts', 'Off.', 'Pct')","('Snap Counts', 'Def.', 'Num')","('Snap Counts', 'Def.', 'Pct')","('Snap Counts', 'ST', 'Num')","('Snap Counts', 'ST', 'Pct')","('Unnamed: 18_level_0', 'Fantasy', 'FantPt')","('Unnamed: 19_level_0', 'Fantasy', 'DKPt')","('Unnamed: 20_level_0', 'Fantasy', 'FDPt')",Player_Address,Season,"('Unnamed: 14_level_0', 'Fantasy', 'FantPt')","('Unnamed: 15_level_0', 'Fantasy', 'DKPt')","('Unnamed: 16_level_0', 'Fantasy', 'FDPt')","('Inside 20', 'Rushing', 'Att')","('Inside 20', 'Rushing', 'Yds')","('Inside 20', 'Rushing', 'TD')","('Inside 10', 'Rushing', 'Att')","('Inside 10', 'Rushing', 'Yds')","('Inside 10', 'Rushing', 'TD')","('Unnamed: 20_level_0', 'Fantasy', 'FantPt')","('Unnamed: 21_level_0', 'Fantasy', 'DKPt')","('Unnamed: 22_level_0', 'Fantasy', 'FDPt')","('Unnamed: 24_level_0', 'Fantasy', 'FantPt')","('Unnamed: 25_level_0', 'Fantasy', 'DKPt')","('Unnamed: 26_level_0', 'Fantasy', 'FDPt')","('Inside 10', 'Receiving', 'Tgt')","('Inside 10', 'Receiving', 'Rec')","('Inside 10', 'Receiving', 'Yds')","('Inside 10', 'Receiving', 'TD')","('Unnamed: 22_level_0', 'Fantasy', 'FantPt')","('Unnamed: 23_level_0', 'Fantasy', 'DKPt')","('Unnamed: 24_level_0', 'Fantasy', 'FDPt')","('Unnamed: 28_level_0', 'Fantasy', 'FantPt')","('Unnamed: 29_level_0', 'Fantasy', 'DKPt')","('Unnamed: 30_level_0', 'Fantasy', 'FDPt')","('Inside 20', 'Passing', 'Cmp')","('Inside 20', 'Passing', 'Att')","('Inside 20', 'Passing', 'Yds')","('Inside 20', 'Passing', 'TD')","('Inside 10', 'Passing', 'Cmp')","('Inside 10', 'Passing', 'Att')","('Inside 10', 'Passing', 'Yds')","('Inside 10', 'Passing', 'TD')","('Unnamed: 36_level_0', 'Fantasy', 'FantPt')","('Unnamed: 37_level_0', 'Fantasy', 'DKPt')","('Unnamed: 38_level_0', 'Fantasy', 'FDPt')","('Unnamed: 30_level_0', 'Fantasy', 'FantPt')","('Unnamed: 31_level_0', 'Fantasy', 'DKPt')","('Unnamed: 32_level_0', 'Fantasy', 'FDPt')","('Unnamed: 32_level_0', 'Fantasy', 'FantPt')","('Unnamed: 33_level_0', 'Fantasy', 'DKPt')","('Unnamed: 34_level_0', 'Fantasy', 'FDPt')"
11.0,11.0,2019-11-24,NYG,@,CHI,L 14-19,G,,,,,57.0,95.0%,0.0,0.0%,4.0,14.8%,,,,/players/Z/ZeitKe00,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,12.0,2019-12-01,NYG,,GNB,L 13-31,G,,,,,66.0,100.0%,0.0,0.0%,3.0,13.6%,,,,/players/Z/ZeitKe00,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,13.0,2019-12-09,NYG,@,PHI,L 17-23,G,,,,,46.0,88.5%,0.0,0.0%,3.0,9.1%,,,,/players/Z/ZeitKe00,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,15.0,2019-12-22,NYG,@,WAS,W 41-35,G,,,,,70.0,100.0%,0.0,0.0%,6.0,17.6%,,,,/players/Z/ZeitKe00,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,16.0,2019-12-29,NYG,,PHI,L 17-34,G,,,,,74.0,100.0%,0.0,0.0%,3.0,8.8%,,,,/players/Z/ZeitKe00,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,6.0,2019-10-13,ATL,@,ARI,L 33-34,WR,,,,,3.0,4.5%,0.0,0.0%,14.0,43.8%,,,,/players/Z/ZaccOl01,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,8.0,2019-10-27,ATL,,SEA,L 20-27,WR,,,,,2.0,2.6%,0.0,0.0%,2.0,8.0%,,,,/players/Z/ZaccOl01,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,9.0,2019-11-10,ATL,@,NOR,W 26-9,WR,,,,,6.0,7.9%,0.0,0.0%,17.0,65.4%,,,,/players/Z/ZaccOl01,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,10.0,2019-11-17,ATL,@,CAR,W 29-3,WR,,,,,7.0,10.8%,0.0,0.0%,15.0,65.2%,,,,/players/Z/ZaccOl01,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,11.0,2019-11-24,ATL,,TAM,L 22-35,WR,,,,,7.0,8.2%,0.0,0.0%,21.0,63.6%,,,,/players/Z/ZaccOl01,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,12.0,2019-11-28,ATL,,NOR,L 18-26,WR,,,,,7.0,7.7%,0.0,0.0%,20.0,66.7%,,,,/players/Z/ZaccOl01,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,13.0,2019-12-08,ATL,,CAR,W 40-20,WR,,,,,21.0,30.4%,0.0,0.0%,13.0,39.4%,,,,/players/Z/ZaccOl01,2019,15.3,16.3,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,14.0,2019-12-15,ATL,@,SFO,W 29-22,WR,,,,,5.0,7.5%,0.0,0.0%,21.0,70.0%,,,,/players/Z/ZaccOl01,2019,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,15.0,2019-12-22,ATL,,JAX,W 24-12,WR,,,,,15.0,20.0%,0.0,0.0%,11.0,44.0%,,,,/players/Z/ZaccOl01,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,16.0,2019-12-29,ATL,@,TAM,W 28-22,WR,,,,,14.0,15.7%,0.0,0.0%,17.0,63.0%,,,,/players/Z/ZaccOl01,2019,2.2,4.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,5.0,2019-10-13,SFO,@,LAR,W 20-7,T,,,,,0.0,0.0%,0.0,0.0%,6.0,26.1%,,,,/players/Y/YounSa21,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
