Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Eric Weddle ,S,LAR,25,63,68,74,73,77,46,80,bye,73,76,77,38,66,70,57,68
Brandon Mebane ,DT,LAC,33,30,30,19,34,37,0,0,0,34,34,bye,26,35,34,35,27
Zak DeOssie ,LB,NYG,0,0,0,0,0,0,0,0,0,1,bye,0,0,0,0,0,0
Lorenzo Alexander ,LB,BUF,26,24,23,37,42,bye,69,31,27,32,26,24,37,41,20,36,1
Tramon Williams Sr. ,CB,GB,71,21,45,48,64,29,37,53,69,52,bye,33,43,58,63,30,45
Calais Campbell ,DE,JAC,55,54,54,45,55,51,55,49,60,bye,52,38,59,38,64,54,34
Dominique Rodgers-Cromartie ,CB,WAS,8,54,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0
Aqib Talib ,CB,Multi,65,58,66,74,71,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Carr ,CB,BAL,29,57,62,65,56,59,69,bye,48,33,53,34,28,34,34,40,49
Orlando Scandrick ,CB,PHI,0,0,0,0,34,13,36,0,0,bye,0,0,0,0,0,0,0
Wesley Woodyard ,LB,TEN,13,6,0,21,19,57,56,10,40,63,bye,19,13,2,0,0,5
Cameron Wake ,LB,TEN,23,16,14,26,0,0,22,32,12,14,bye,36,0,0,0,0,0
Malcolm Jenkins ,S,PHI,64,63,61,79,58,71,69,59,44,bye,74,61,71,52,53,62,74
Clay Matthews ,LB,LAR,45,35,45,48,46,0,0,0,bye,57,62,53,32,43,48,48,52
Patrick Chung ,S,NE,47,31,47,76,0,8,0,54,27,bye,0,55,53,76,46,54,68
Jason McCourty ,CB,NE,61,50,33,57,46,38,45,42,45,bye,49,0,0,4,0,4,0
Michael Bennett ,DE,Multi,37,25,19,24,14,11,0,0,42,44,43,49,38,48,58,52,55
Ndamukong Suh ,DE,TB,52,67,49,57,53,49,bye,48,60,53,50,60,51,51,47,57,68
Gerald McCoy ,DT,CAR,40,43,48,46,53,45,bye,35,38,43,46,51,37,48,45,35,43
Joe Haden ,CB,PIT,69,78,78,66,78,41,bye,57,70,75,68,57,66,58,65,61,68
Carlos Dunlap ,DE,CIN,47,59,63,52,56,0,0,38,bye,30,60,63,63,47,52,67,43
Brandon Graham ,DE,PHI,46,48,52,60,40,55,49,44,34,bye,65,48,57,47,43,44,45
Everson Griffen ,DE,MIN,61,65,41,65,59,53,72,35,54,69,68,bye,43,55,48,59,0
Earl Thomas ,S,BAL,46,57,68,65,56,59,71,bye,67,51,58,52,55,72,60,57,0
Jason Pierre-Paul ,DE,TB,0,0,0,0,0,0,bye,42,71,61,64,65,59,53,48,54,69
Patrick Robinson ,CB,NO,0,0,1,5,3,0,1,0,bye,0,39,9,0,0,0,48,64
Devin McCourty ,S,NE,66,49,41,79,50,44,46,62,66,bye,72,63,55,77,55,54,67
Jerry Hughes ,DE,BUF,49,39,36,46,37,bye,43,43,38,50,55,36,59,38,44,44,7
Kareem Jackson ,S,DEN,54,60,53,0,70,66,58,64,75,bye,62,74,62,76,68,0,0
Morgan Burnett ,S,CLE,59,44,0,0,26,19,bye,69,48,68,35,0,0,0,0,0,0
Sean Lee ,LB,DAL,16,14,14,29,31,35,45,bye,60,43,23,46,57,58,43,69,55
Geno Atkins ,DT,CIN,42,48,58,46,53,60,51,41,bye,35,56,57,58,36,60,72,43
Tyson Alualu ,DT,PIT,29,19,35,19,14,25,bye,22,35,20,28,21,25,24,39,37,42
Linval Joseph ,DT,MIN,38,54,36,54,43,38,53,29,44,0,0,bye,53,37,27,45,0
Corey Peters ,DT,ARI,50,54,53,47,47,47,51,52,49,55,54,bye,50,43,49,45,60
Al Woods ,DT,SEA,40,35,33,23,32,43,30,28,39,39,bye,33,16,38,21,0,0
Reshad Jones ,S,MIA,32,0,0,66,bye,44,0,0,0,0,47,0,0,0,0,0,0
Kurt Coleman ,S,BUF,0,0,0,0,5,bye,0,0,0,4,0,0,1,2,0,1,57
Sherrick McManis ,CB,CHI,2,0,0,4,3,bye,1,0,7,6,2,1,0,0,0,0,0
Kyle Love ,DT,CAR,29,23,30,18,27,29,bye,30,27,23,0,21,37,29,23,31,36
Darian Stewart ,S,TB,60,2,0,5,0,5,bye,1,0,0,0,0,0,0,34,25,36
Andrew Sendejo ,S,Multi,36,18,22,64,16,20,24,23,11,0,58,0,0,6,12,0,75
Nick Bellore ,LB,SEA,3,4,1,0,5,3,4,3,1,1,bye,3,0,0,0,1,0
Mario Addison ,DE,CAR,48,45,46,51,58,60,bye,39,0,54,52,50,51,47,48,35,45
Chris Harris Jr. ,CB,DEN,54,60,52,82,70,66,58,64,75,bye,62,74,62,75,68,50,72
Clinton McDonald ,DT,ARI,24,18,11,4,12,16,6,16,15,0,0,bye,0,0,0,0,0
Tramaine Brock ,CB,Multi,69,72,50,60,41,66,63,34,21,0,0,0,57,50,63,46,53
Marcus Sherels ,CB,Multi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Josh Bynes ,LB,BAL,0,0,0,0,42,36,53,bye,25,44,26,19,27,40,29,24,29
Melvin Ingram III ,DE,LAC,60,49,55,8,0,0,0,79,45,55,59,bye,56,56,45,59,42
Chandler Jones ,LB,ARI,81,74,54,57,61,66,62,69,63,77,71,bye,75,59,66,52,82
Whitney Mercilus ,LB,HOU,60,61,71,65,70,51,69,54,55,bye,63,61,87,52,60,66,7
Vinny Curry ,DE,PHI,22,17,26,26,18,19,25,26,14,bye,14,22,20,39,37,24,44
Dontari Poe ,DT,CAR,34,31,36,37,51,35,bye,38,39,41,45,15,0,0,0,0,0
Fletcher Cox ,DT,PHI,42,46,45,60,45,51,51,46,37,bye,66,46,56,49,50,54,55
Michael Brockers ,DT,LAR,48,50,52,57,59,61,29,47,bye,59,52,70,28,40,47,39,28
Bruce Irvin ,DE,CAR,0,0,0,25,53,52,bye,41,48,53,49,50,55,53,47,38,44
Lavonte David ,LB,TB,63,75,62,88,69,66,bye,59,74,67,67,82,68,63,64,66,89
Zach Brown ,LB,PHI,28,48,50,54,31,57,0,0,0,bye,0,0,0,0,0,0,0
Vontaze Burfict ,LB,OAK,54,71,50,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Kuechly ,LB,CAR,76,60,75,67,82,80,bye,62,72,64,61,63,64,67,67,64,39
Dont'a Hightower ,LB,NE,46,37,35,0,50,24,42,39,53,bye,66,47,49,67,53,49,66
Bobby Wagner ,LB,SEA,75,56,56,63,70,68,58,76,76,82,bye,74,54,68,58,69,50
Morris Claiborne ,CB,KC,0,0,0,0,24,33,24,27,27,7,32,bye,24,0,0,0,0
Dre Kirkpatrick ,CB,CIN,47,70,73,54,75,16,0,0,bye,0,0,0,0,0,0,0,0
Janoris Jenkins ,CB,Multi,68,68,75,47,67,79,62,62,69,55,0,73,63,87,0,27,71
Mark Barron ,LB,PIT,48,78,79,64,31,0,bye,38,52,69,47,54,51,42,24,41,32
Harrison Smith ,S,MIN,74,71,51,70,68,61,75,42,59,71,60,bye,75,65,50,77,0
Stephon Gilmore ,CB,NE,62,45,47,76,49,50,44,62,64,bye,72,63,55,77,66,52,68
Casey Hayward ,CB,LAC,63,60,59,52,60,59,57,78,50,56,65,bye,56,55,62,61,51
Derek Wolfe ,DE,DEN,47,51,9,46,42,44,45,44,53,bye,45,57,40,0,0,0,0
Mychal Kendricks ,LB,SEA,67,38,41,53,38,58,50,48,52,58,bye,49,26,0,0,43,27
Tavon Wilson ,S,DET,15,11,9,64,bye,55,18,61,66,55,66,58,64,71,69,70,88
Trumaine Johnson ,CB,NYJ,66,3,8,bye,65,82,78,12,0,0,0,0,0,0,0,0,0
Olivier Vernon ,DE,CLE,54,45,60,48,54,73,bye,69,43,0,0,0,10,0,0,0,53
Demario Davis ,LB,NO,64,66,82,53,54,58,44,49,bye,76,67,74,88,64,47,62,36
Tyrone Crawford ,DT,DAL,30,18,0,0,23,19,0,bye,0,0,0,0,0,0,0,0,0
Akiem Hicks ,DE,CHI,47,66,35,0,8,bye,0,0,0,0,0,0,0,0,36,0,0
Nigel Bradham ,LB,PHI,64,63,60,79,54,28,0,0,0,bye,0,61,68,52,52,62,74
Kyle Wilber ,LB,OAK,0,0,19,2,0,0,2,3,2,15,0,0,0,0,0,5,18
Coty Sensabaugh ,CB,Multi,0,0,0,0,0,0,2,8,7,0,0,0,0,0,0,63,72
Mike Daniels ,DT,DET,30,28,7,0,bye,0,0,0,0,21,29,9,14,52,14,0,0
Malik Jackson ,DT,PHI,32,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0
Tahir Whitehead ,LB,OAK,44,62,58,71,56,0,58,79,69,76,60,63,65,61,34,37,49
Najee Goode ,LB,JAC,48,0,42,0,17,63,3,0,60,bye,63,0,0,0,0,0,0
Josh Norman ,CB,WAS,74,69,63,74,77,75,0,43,62,bye,56,0,4,0,6,0,0
Jack Crawford ,DE,ATL,23,39,43,19,15,17,46,17,bye,24,44,23,13,36,30,23,21
Justin Bethel ,CB,Multi,3,0,0,0,0,11,0,0,0,0,4,0,0,1,0,0,0
Danny Trevathan ,LB,CHI,61,82,66,56,72,bye,76,45,84,17,0,0,0,0,0,0,0
Nate Stupar ,LB,NYG,0,0,0,2,34,0,0,0,0,0,bye,0,0,0,0,0,0
Steve McLendon ,DT,NYJ,34,26,24,bye,36,32,41,32,25,27,26,22,30,22,37,27,25
Anthony Levine Sr. ,CB,BAL,13,6,16,18,15,24,22,bye,8,3,7,5,0,0,4,6,20
Albert McClellan ,LB,NYJ,0,0,0,bye,0,28,0,0,0,0,0,0,0,0,0,0,0
L.J. Fort ,LB,Multi,0,0,0,0,0,26,55,0,18,16,31,8,20,16,17,25,23
Julian Stanford ,LB,BUF,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,57
Tashaun Gipson Sr. ,S,HOU,66,64,74,67,73,55,9,0,0,bye,64,67,86,59,65,73,48
Johnson Bademosi ,CB,Multi,0,0,17,13,0,0,0,0,0,0,0,0,1,0,0,0,0
Craig Robertson ,LB,NO,0,0,0,1,0,0,20,0,bye,0,0,0,49,64,20,0,35
Rodney McLeod ,S,PHI,64,63,61,79,57,70,69,59,44,bye,74,60,71,52,53,62,74
Damontre Moore ,DE,SF,0,0,0,bye,0,0,0,0,0,0,21,34,0,0,0,0,0
Alex Okafor ,DE,KC,37,55,55,31,0,62,51,34,0,0,0,bye,39,53,5,0,0
Dion Jordan ,DE,OAK,0,0,0,0,0,0,0,0,0,0,14,10,28,32,32,31,26
William Gholston ,DE,TB,46,31,22,37,43,39,bye,35,27,20,24,23,17,24,31,29,45
Ezekiel Ansah ,DE,SEA,0,0,18,39,44,27,0,35,40,13,bye,37,26,0,0,37,22
Cornellius Carradine ,LB,MIA,0,30,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,0
John Simon ,LB,NE,31,21,29,54,11,24,20,22,41,bye,29,35,33,36,25,34,35
Margus Hunt ,DE,IND,35,28,36,19,15,bye,18,28,27,37,21,25,23,33,28,35,44
Abry Jones ,DT,JAC,39,41,34,24,31,40,32,34,36,bye,36,38,34,27,46,41,26
Star Lotulelei ,DT,BUF,30,28,21,26,27,bye,29,41,28,48,30,27,35,39,30,39,4
Johnathan Hankins ,DT,OAK,45,57,46,40,29,0,36,61,36,47,41,50,42,37,32,30,41
Akeem Spence ,DT,Multi,0,21,34,39,20,38,46,15,14,0,20,12,17,32,21,25,16
Sheldon Richardson ,DE,CLE,49,37,46,42,47,60,bye,50,37,53,47,41,51,63,48,56,48
Sylvester Williams ,DT,LAC,0,0,0,0,0,0,0,29,7,14,2,bye,0,12,0,0,0
John Jenkins ,DT,MIA,47,32,17,13,bye,20,38,40,28,26,29,54,21,21,32,32,28
Manti Te'o ,LB,NO,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,12,22,0
Alec Ogletree ,LB,NYG,68,70,29,0,0,80,64,62,69,65,bye,73,64,88,71,0,47
Barkevious Mingo ,LB,HOU,0,0,0,0,1,0,0,0,7,bye,4,1,18,5,0,8,30
Jon Bostic ,LB,WAS,65,55,63,71,77,58,64,67,62,bye,60,63,66,56,70,66,68
Kiko Alonso ,LB,NO,0,4,10,11,10,17,38,20,bye,34,45,45,29,0,0,0,22
Kevin Minter ,LB,TB,0,69,56,78,61,1,bye,1,0,0,0,3,2,0,2,0,0
Desmond Trufant ,CB,ATL,53,71,65,62,67,0,0,0,bye,0,69,61,49,24,0,0,0
Tyrann Mathieu ,S,KC,57,62,82,76,81,89,65,67,70,50,76,bye,49,66,59,54,77
Xavier Rhodes ,CB,MIN,62,71,47,63,62,51,57,29,54,69,78,bye,60,29,14,48,0
Logan Ryan ,CB,TEN,67,70,54,79,64,60,63,81,71,82,bye,85,70,62,63,70,58
Jordan Poyer ,S,BUF,71,68,60,63,55,bye,72,73,53,68,72,50,78,60,60,73,10
Jamar Taylor ,CB,Multi,0,19,15,18,32,12,8,31,33,26,0,0,0,0,0,0,20
Eric Reid ,S,CAR,76,60,75,65,83,79,bye,66,72,64,65,60,64,69,67,62,66
Kenny Vaccaro ,S,TEN,67,70,54,74,64,60,63,81,71,82,bye,85,70,31,63,70,58
Tony Jefferson ,S,BAL,45,57,68,67,44,0,0,bye,0,0,0,0,0,0,0,0,0
Shawn Williams ,S,CIN,50,70,70,58,58,39,80,60,bye,44,68,72,72,54,65,89,54
Kawann Short ,DT,CAR,35,41,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0
D.J. Hayden ,CB,JAC,58,46,53,34,51,36,63,42,0,bye,51,15,34,36,36,36,54
Johnathan Cyprien ,S,Multi,1,1,1,12,24,0,0,0,0,0,0,0,0,0,0,0,0
Darius Slay ,CB,DET,87,63,42,0,bye,72,18,0,68,54,72,58,62,71,65,64,62
Jamie Collins Sr. ,LB,NE,46,36,38,79,40,44,43,59,59,bye,60,52,32,67,52,52,55
D.J. Swearinger Sr. ,S,Multi,84,77,60,61,0,0,0,0,0,0,38,35,47,50,0,0,33
Blidi Wreh-Wilson ,CB,ATL,0,9,3,1,0,0,34,56,bye,53,5,6,0,42,33,49,44
Kayvon Webster ,CB,WAS,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,49,49
Duron Harmon ,S,NE,40,48,22,22,47,45,49,39,38,bye,70,44,27,63,27,30,46
Brandon Williams ,DT,BAL,25,28,45,0,40,27,40,bye,36,57,35,33,40,46,32,44,0
B.W. Webb ,CB,CIN,44,30,0,39,74,56,78,60,bye,42,41,57,69,48,57,88,54
A.J. Klein ,LB,NO,48,53,83,55,51,57,32,39,bye,65,28,42,33,0,50,62,55
Micah Hyde ,S,BUF,71,68,60,63,56,bye,71,73,49,65,71,49,75,58,59,72,10
Stacy McGee ,DT,CAR,0,0,0,0,0,0,bye,0,0,0,0,0,17,0,14,32,30
Vince Williams ,LB,PIT,22,10,0,0,51,38,bye,31,27,11,32,9,25,30,44,23,43
Nick Williams ,DE,CHI,12,30,36,37,42,bye,44,17,45,35,39,28,38,35,29,36,28
Kemal Ishmael ,S,ATL,14,0,37,39,46,69,37,18,bye,7,0,0,0,11,4,0,0
Lerentee McCray ,LB,JAC,10,22,10,3,0,4,5,4,3,bye,0,0,0,0,0,0,0
LaRoy Reynolds ,LB,CIN,0,0,8,6,4,14,1,0,bye,7,0,3,0,1,0,0,0
Benson Mayowa ,DE,OAK,23,17,16,0,30,0,20,26,25,32,16,9,16,13,23,23,14
Damion Square ,DT,LAC,21,22,20,15,15,31,45,58,25,34,28,bye,18,17,24,17,12
Damon Harrison Sr. ,DT,DET,26,33,37,23,bye,40,31,31,28,25,48,36,0,44,41,45,39
Jahleel Addae ,S,HOU,19,25,32,15,34,12,66,55,66,bye,44,67,3,8,20,23,31
Nickell Robey-Coleman ,CB,LAR,41,41,56,44,21,30,45,70,bye,45,67,16,52,50,33,29,68
Daren Bates ,LB,TEN,5,1,1,2,0,0,0,0,0,0,bye,0,0,0,0,0,5
A.J. Bouye ,CB,JAC,68,0,78,55,63,66,70,58,69,bye,66,53,74,60,75,75,0
Brynden Trawick ,S,BAL,3,0,0,0,0,0,0,bye,0,0,0,0,0,1,0,6,1
Wes Horton ,DE,Multi,0,0,0,0,0,0,0,0,0,18,17,0,0,20,23,20,20
Bradley McDougald ,S,SEA,75,56,52,63,70,68,0,11,76,82,bye,74,54,68,72,69,50
Chris Banjo ,S,ARI,0,0,0,0,0,0,0,0,0,3,1,bye,0,15,1,11,11
Rashaan Melvin ,CB,DET,86,65,73,68,bye,74,55,74,41,56,71,0,0,0,68,59,80
Cody Davis ,S,JAC,0,0,1,0,0,3,12,10,9,bye,3,0,0,0,0,18,11
Jeff Heath ,S,DAL,61,59,62,70,72,60,51,bye,32,9,0,67,0,0,47,70,59
Jadeveon Clowney ,DE,SEA,46,38,35,42,54,47,37,58,63,68,bye,0,43,40,0,0,33
Stephon Tuitt ,DE,PIT,46,55,52,52,68,5,bye,0,0,0,0,0,0,0,0,0,0
Trent Murphy ,DE,BUF,56,42,35,39,34,bye,49,43,35,53,34,31,47,38,38,52,48
Dee Ford ,DE,SF,40,24,16,bye,17,21,15,20,26,23,20,0,0,4,0,0,0
Aaron Lynch ,LB,CHI,8,11,16,17,12,bye,12,15,19,22,8,16,22,21,15,20,10
Tim Jernigan ,DE,PHI,24,24,0,0,0,0,0,0,16,bye,29,30,41,23,29,32,26
Daniel McCullers ,DT,PIT,9,9,20,4,8,12,bye,3,2,3,14,3,4,4,15,4,17
Anthony Barr ,LB,MIN,68,71,0,70,68,60,75,42,59,71,79,bye,75,65,55,70,0
Khalil Mack ,LB,CHI,55,71,61,48,61,bye,64,43,75,72,46,52,66,58,52,56,45
Kyle Van Noy ,LB,NE,0,41,50,79,42,46,46,55,65,bye,67,54,40,59,49,54,67
Christian Jones ,LB,DET,64,58,38,50,bye,43,56,49,54,40,52,28,28,51,0,0,0
Jeremiah Attaochu ,LB,DEN,0,0,0,0,0,8,9,9,11,bye,11,40,37,57,44,37,59
C.J. Mosley ,LB,NYJ,46,0,0,bye,0,0,68,0,0,0,0,0,0,0,0,0,0
Bradley Roby ,CB,HOU,66,64,74,67,73,40,0,0,0,bye,0,0,85,45,68,73,0
Darqueze Dennard ,CB,CIN,0,0,0,0,0,0,69,0,bye,17,64,65,69,41,48,80,41
Aaron Colvin ,CB,Multi,57,0,0,0,0,0,0,0,0,0,9,0,0,0,13,70,74
Hasean Clinton-Dix ,S,CHI,57,82,77,60,72,bye,74,45,83,82,54,60,74,73,59,66,49
Lamarcus Joyner ,S,OAK,54,69,23,75,56,0,42,74,57,69,0,0,56,28,37,31,36
Aaron Donald ,DT,LAR,55,50,63,65,61,70,37,75,bye,67,69,62,37,54,58,51,52
Kyle Fuller ,CB,CHI,61,81,77,60,71,bye,76,45,84,82,54,60,74,72,59,66,48
Jason Verrett ,CB,SF,0,0,4,bye,0,0,0,0,0,0,0,0,0,0,0,0,0
Deone Bucannon ,LB,Multi,3,1,0,4,0,0,0,11,27,24,0,25,17,20,34,54,25
Jimmie Ward ,CB,SF,0,0,0,bye,46,52,45,54,56,72,67,67,64,72,67,70,73
Demarcus Lawrence ,DE,DAL,31,44,49,38,45,43,43,bye,45,45,43,49,43,51,45,42,12
Christian Kirksey ,LB,CLE,59,53,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0
Preston Brown ,LB,Multi,39,60,58,46,61,54,48,30,0,16,0,0,0,17,0,0,0
Kareem Martin ,LB,NYG,10,0,0,0,0,0,0,0,0,0,bye,0,0,14,8,8,10
Phillip Gaines ,CB,Multi,0,0,1,6,0,55,71,0,0,0,0,0,0,0,0,0,0
Jaylen Watkins ,CB,LAC,15,16,15,14,12,8,10,14,49,58,64,bye,0,12,12,0,0
Bashaud Breeland ,CB,KC,58,62,80,76,81,66,42,40,43,43,62,bye,40,66,59,54,40
Justin Ellis ,DT,Multi,0,0,0,0,0,0,0,0,0,0,22,11,10,0,0,0,18
Cassius Marsh ,DE,ARI,13,22,25,20,13,33,24,3,29,29,28,bye,45,14,49,34,47
Ross Cockrell ,CB,CAR,11,0,75,67,82,80,bye,52,58,57,0,0,41,38,49,64,59
Maurice Alexander ,S,BUF,0,0,0,0,5,bye,47,0,0,0,0,0,0,0,0,0,0
DaQuan Jones ,DT,TEN,26,38,36,36,44,36,38,42,61,64,bye,51,60,34,35,46,31
Anthony Hitchens ,LB,KC,58,49,67,63,11,0,33,54,59,36,51,bye,45,53,33,37,51
Walt Aikens ,S,MIA,18,3,39,2,bye,5,0,0,0,0,0,0,8,0,0,0,28
Pierre Desir ,CB,IND,63,28,60,20,58,bye,63,0,0,0,0,58,59,78,57,70,69
Tre Boston ,S,CAR,76,60,75,67,83,80,bye,65,72,64,65,63,64,69,67,64,69
Dontae Johnson ,CB,Multi,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0
Kevin Pierre-Louis ,LB,CHI,0,0,0,23,0,bye,0,0,0,3,0,0,0,46,47,54,40
Nevin Lawson ,CB,OAK,0,0,0,0,0,0,0,23,23,4,54,43,19,9,56,57,13
Brent Urban ,DE,Multi,11,0,14,15,0,22,0,0,36,21,19,10,20,14,21,28,15
Ricardo Allen ,S,ATL,47,77,63,62,70,69,75,60,bye,66,69,56,46,56,50,49,35
Caraun Reid ,DT,ARI,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,39,41,56
Chris Smith ,DE,CLE,9,25,0,24,16,12,bye,0,4,10,28,16,0,0,0,0,0
Devon Kennard ,LB,DET,80,62,64,66,bye,62,69,64,61,39,60,53,51,66,45,64,30
Antone Exum Jr. ,S,SF,0,15,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,0
Bennett Jackson Jr. ,CB,Multi,0,0,0,0,0,0,1,0,0,22,4,0,0,0,0,0,0
T.J. Carrie ,CB,CLE,13,36,64,69,75,81,bye,7,21,51,61,48,39,58,27,28,0
Shamar Stephen ,DT,MIN,40,50,30,50,36,32,39,27,38,41,50,bye,52,24,31,38,0
Beau Allen ,DT,TB,21,9,10,13,17,18,bye,13,7,14,15,16,14,12,0,0,0
Shelby Harris ,DE,DEN,40,41,43,48,39,36,31,32,47,bye,34,18,33,46,58,39,51
Corey Nelson ,LB,DEN,46,33,6,21,0,0,0,0,0,bye,0,0,0,0,0,0,0
Terrance Mitchell ,CB,CLE,18,0,64,69,76,81,bye,0,0,0,0,7,6,0,9,0,0
Deon Lacey ,LB,MIA,0,0,0,0,bye,0,0,1,0,0,0,0,1,0,0,0,1
Kenny Ladler ,S,WAS,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,70
Michael Thomas ,S,NYG,12,14,17,24,12,31,34,13,3,3,bye,6,7,27,9,21,72
Kerry Hyder Jr. ,DT,DAL,44,34,32,36,26,22,34,bye,23,24,17,19,20,24,34,19,31
Rontez Miles ,S,NYJ,1,9,3,bye,2,4,0,0,0,0,0,0,0,0,0,0,0
Malcolm Butler ,CB,TEN,68,70,54,79,64,59,62,81,42,0,bye,0,0,0,0,0,0
K'Waun Williams ,CB,SF,23,49,43,bye,33,27,30,45,37,58,40,46,20,53,0,42,56
Terrence Brooks ,S,NE,15,30,3,16,19,24,39,11,21,bye,35,6,5,14,20,16,0
Jordan Dangerfield ,S,PIT,0,0,0,0,1,0,bye,0,0,0,2,0,0,0,0,3,0
Josh Mauro ,DT,OAK,27,38,39,24,26,0,31,5,0,0,18,13,0,21,13,12,15
Zach Kerr ,DT,ARI,0,0,0,0,14,19,12,22,22,28,44,bye,39,38,24,25,41
Brandon Copeland ,LB,NYJ,0,0,0,bye,0,7,31,29,69,70,15,17,9,16,28,24,22
Shaquil Barrett ,LB,TB,54,60,57,72,61,52,bye,34,73,64,62,59,45,51,45,54,44
Neiko Thorpe ,CB,SEA,0,0,0,0,0,2,1,13,1,5,bye,0,0,0,0,0,0
Denico Autry ,DT,IND,50,47,45,45,46,bye,46,46,36,48,46,41,36,48,40,0,0
Kerry Wynn ,DE,CIN,9,2,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0
Will Compton ,LB,Multi,0,0,0,0,0,0,0,0,12,5,6,20,8,16,57,61,60
