,Player,Team,Year,09/08vs. TAM,09/15vs. CIN,09/22vs. PIT,10/07vs. CLE,10/13vs. LAR,10/20vs. WAS,10/27vs. CAR,10/31vs. ARI,11/11vs. SEA,11/17vs. ARI,11/24vs. GNB,12/01vs. BAL,12/08vs. NOR,12/15vs. ATL,12/21vs. LAR,12/29vs. SEA,01/11vs. MIN,01/19vs. GNB,02/02vs. KAN
28,Shawn Poindexter,sfo,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
29,Weston Richburg,sfo,2019,Questionable: Knee,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
30,Deebo Samuel,sfo,2019,,,,,,Out: Groin,,,,,Questionable: Shoulder,,,,,,,,
31,Emmanuel Sanders ,sfo,2019,,,,,,,,,,Questionable: Ribs,Questionable: Ribs,,,,,,,,
32,Richard Sherman,sfo,2019,,,,,,,,,,,,,,Out: Hamstring,,,,,
33,Joe Staley ,sfo,2019,,,Out: Fibula,Out: Fibula,Out: Fibula,Out: Fibula,Doubtful: Fibula,Doubtful: Fibula,Questionable: Fibula,Out: Finger,Out: Finger,Questionable: Finger,Questionable: Finger,,,,,,
34,Kentavius Street,sfo,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
35,Jaquiski Tartt,sfo,2019,,,Questionable: Toe,,,,,,,,,,Out: Ribs,Out: Ribs,Out: Ribs,Doubtful: Ribs,,,
36,Jullian Taylor,sfo,2019,,,,,,,,,,,,,Out: Elbow,Out: Elbow,Out: Elbow,Out: Elbow,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
37,Trent Taylor,sfo,2019,Out: Foot,Out: Foot,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
38,Levine Toilolo,sfo,2019,,,,,,,Questionable: Groin,Questionable: Groin,,,,,,,,,,,
39,Jason Verrett,sfo,2019,Questionable: Ankle,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
40,Jimmie Ward,sfo,2019,Out: Hand,Questionable: Hand,Questionable: Hand,,,,,,,,,,,,,,,,
41,Leonard Wester ,sfo,2019,,,,,,,,,,,,,,,,,,reserve/future: ,reserve/future: 
42,K'Waun Williams,sfo,2019,Questionable: Knee,,,,,,,,,,,,,Out: Concussion,,,,,
43,Nick Williams,sfo,2019,Injured Reserve: ,,,,,,,,,,,,,,,,,,
44,Ahkello Witherspoon,sfo,2019,,,,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Questionable: Foot,Questionable: Foot,,,,,,,,,
