,Player,Team,Year,09/10vs. PHI,09/17vs. LAR,09/24vs. OAK,10/02vs. KAN,10/15vs. SFO,10/23vs. PHI,10/29vs. DAL,11/05vs. SEA,11/12vs. MIN,11/19vs. NOR,11/23vs. NYG,11/30vs. DAL,12/10vs. LAC,12/17vs. ARI,12/24vs. DEN,12/31vs. NYG
39,Josh Norman,was,2017,,,Questionable: Shoulder,,Out: Rib,Out: Rib,Questionable: Rib,,,,,,,,,
40,Ty Nsekhe,was,2017,,,,Out: CoreMuscle,Out: CoreMuscle,Out: CoreMuscle,Out: CoreMuscle,Doubtful: CoreMuscle,Questionable: CoreMuscle,Questionable: CoreMuscle,Questionable: CoreMuscle,Questionable: CoreMuscle,,,,
41,Niles Paul,was,2017,,,,,,,,Out: Concussion,Questionable: Concussion,Questionable: Concussion,,,,,,
42,Samaje Perine,was,2017,,,,,,,,,,,Questionable: Finger,,,,Questionable: Groin,
43,Terrelle Pryor,was,2017,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
44,Brian Quick,was,2017,,,,,,,,,Questionable: Concussion,Questionable: Concussion,,,,,,
45,Jordan Reed,was,2017,,,Questionable: Rib,Questionable: Rib,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
46,Chase Roullier,was,2017,,,,,,,,,,,Out: Hand,Out: Hand,Questionable: Hand,Questionable: Hand,,
47,Brandon Scherff,was,2017,,,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,
48,Preston Smith,was,2017,,,,,,,Questionable: Groin,,,,,,,,,
49,Martrell Spaight,was,2017,,,,,,,,Questionable: Shoulder,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,Questionable: Illness
50,D.J. Swearinger,was,2017,,,,Questionable: Hamstring,,,,,,,,,,,,
51,Phil Taylor,was,2017,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
52,Chris Thompson,was,2017,,,,,,,,,,,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
53,Kendal Thompson,was,2017,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
54,Trent Williams,was,2017,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,Doubtful: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Injured Reserve: Knee,Out: Knee,Injured Reserve: Knee
