,Player,Team,Year,09/11vs. NOR,09/17vs. PIT,09/24vs. TAM,10/01vs. DET,10/09vs. CHI,10/15vs. GNB,10/22vs. BAL,10/29vs. CLE,11/12vs. WAS,11/19vs. LAR,11/23vs. DET,12/03vs. ATL,12/10vs. CAR,12/17vs. CIN,12/23vs. GNB,12/31vs. CHI,01/14vs. NOR,01/21vs. PHI
22,Riley Reiff,min,2017,,,,,,,Questionable: Ankle,Questionable: Knee,,,,,,Doubtful: Ankle,Questionable: Ankle,,,
23,Mike Remmers,min,2017,,,,,,,,,Out: Concussion,Out: Concussion,Questionable: Concussion,Out: Back,Out: Back,,,,,
24,Xavier Rhodes,min,2017,,Questionable: Hip,,,,,,,,,,,,,,,,
25,Brian Robison,min,2017,,,,,,,,,,Questionable: Back,Questionable: Back,,,,,,,
26,Kyle Rudolph ,min,2017,,,,,,,,,,,,,,Doubtful: Ankle,,,,
27,Bishop Sankey,min,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
28,Andrew Sendejo,min,2017,,,,,,Questionable: Groin,,,,Out: Groin,Questionable: Groin,,,,Questionable: Ankle,,,Questionable: Concussion
29,Jeremiah Sirles,min,2017,,,,,,,,Out: Knee,Out: Knee,,,,,,,,,
30,Shamar Stephen,min,2017,,,,,,,,,,,,,,,,Out: Ankle,,Out: Knee
31,Adam Thielen,min,2017,,,,,,,,,,,,,,,,,,Questionable: Back
32,Stephen Weatherly,min,2017,,,,,,,,Out: Knee,Questionable: Knee,,,,,,,,,
