,Player,Team,Year,09/09vs. TAM,09/16vs. CLE,09/23vs. ATL,09/30vs. NYG,10/08vs. WAS,10/21vs. BAL,10/28vs. MIN,11/04vs. LAR,11/11vs. CIN,11/18vs. PHI,11/22vs. ATL,11/29vs. DAL,12/09vs. TAM,12/17vs. CAR,12/23vs. PIT,12/30vs. CAR,01/13vs. PHI,01/20vs. LAR
12,Rickey Jefferson,nor,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
13,Keith Kirkwood,nor,2018,,,,,,,,,,,,,,,,,,Out: Calf
14,Daniel Lasco,nor,2018,,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
15,Josh LeRibeus,nor,2018,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
16,Tommylee Lewis,nor,2018,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee,,,,,,
17,Mitchell Loewen,nor,2018,,,,,,,Out: Neck,,,,,,,,,,,
18,Cameron Meredith,nor,2018,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
19,Michael Ola,nor,2018,,,,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
20,Andrus Peat,nor,2018,Questionable: Quadricep,,Questionable: Ankle,,,Out: Concussion,,,,,,,,,,,,
21,Sheldon Rankins,nor,2018,,,,,,,,,,,,,,,,,,Injured Reserve: Achilles
22,Patrick Robinson,nor,2018,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
23,Tre'Quan Smith,nor,2018,,,,,,,,,,,Questionable: Foot,,,,,,,
24,Taylor Stallworth,nor,2018,,,,,,Out: Ankle,,,,,,,,,,,,
25,Manti Te'o,nor,2018,,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,,,,,,
26,John Theus,nor,2018,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness
27,Cameron Tom,nor,2018,,,,,Questionable: Knee,,,,,,,,,,,,,
28,Shane Vereen,nor,2018,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand
29,Larry Warford ,nor,2018,,,,,,Questionable: Back,,,,,,,,,,Out: Knee,,
30,Ben Watson,nor,2018,,,,,,,,,,,,,,,,,,Questionable: Illness
