,Player ,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
36,Jarran Reed,Questionable: Shoulder,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,
37,Paul Richardson ,,,,,,,,,Questionable: Groin,,,,,,,
38,Sheldon Richardson ,,,,,,,,Questionable: Oblique,Questionable: Oblique,,,,,,,
39,Justin Senior,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
40,DeShawn Shead,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,
41,Richard Sherman,Questionable: Thigh,Questionable: Hamstring,,,,,,,Questionable: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
42,Marcus Smith,,,,,,Questionable: Ankle,Questionable: Ankle,,Out: Concussion,,,,,,,
43,Earl Thomas,,,,,,,,Out: Hamstring,Doubtful: Hamstring,,,Questionable: Heel,,,,
44,Neiko Thorpe,,,Out: Ankle,Questionable: Ankle,,,,,,,,,,,,
45,Nick Vannett,,,,,,,,,,,,,,,Questionable: Shoulder,Questionable: Back
46,Bobby Wagner,,,,,,,,Questionable: Hamstring,,,Questionable: Hamstring,Questionable: Hamstring,,Questionable: Hamstring,,Questionable: Hamstring
47,Michael Wilhoite,Doubtful: Calf,,,,Questionable: Hamstring,,,,,Out: Calf,Questionable: Calf,,,,,
48,Luke Willson,,,,,,,,,,,,,,,,Questionable: Ankle
49,K.J. Wright,,,,,,,,,,,,,,Doubtful: Concussion,,
,Player ,09/09vs. DEN,09/17vs. CHI,09/23vs. DAL,09/30vs. ARI,10/07vs. LAR,10/14vs. OAK,10/28vs. DET,11/04vs. LAC,11/11vs. LAR,11/15vs. GNB,11/25vs. CAR,12/02vs. SFO,12/10vs. MIN,12/16vs. SFO,12/23vs. KAN,12/30vs. ARI,01/05vs. DAL
0,Maurice Alexander,,,,,,,,,,Questionable: Elbow,,,,Out: Concussion,,,
1,Ricky Ali'ifua,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
2,Doug Baldwin ,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,Questionable: Groin,,Questionable: Hip,Questionable: Hip,,,
3,Emmanuel Beal,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
4,Justin Britt,,,Questionable: Shoulder,,,,,,,,,,,,,,
5,Chris Carson,,,,Questionable: Hip,,,,Questionable: Hip,Questionable: Hip,,,,,,,,
6,Kam Chancellor ,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
7,Frank Clark ,,,,,Questionable: Illness,,,,,,,,,,,,
8,Amara Darboh,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
9,Austin Davis ,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
10,Ed Dickson,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,,,,,,,,,,,
11,Will Dissly,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
12,Tre Flowers,,Doubtful: Hamstring,,,,,,,,,,,,,,,
13,D.J. Fluker,Out: Hamstring,Doubtful: Hamstring,,,,,,,Questionable: Calf,,,,Doubtful: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,Questionable: Hamstring,
