,Player ,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
24,Roquan Smith,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
25,Danny Trevathan,,,,,,,,,,Out: Elbow,Out: Elbow,Out: Elbow,Out: Elbow,Out: Elbow,Injured Reserve: ,Injured Reserve: 
26,Mitchell Trubisky ,,,,,Out: left Shoulder,Questionable: left Shoulder,,,,,,,,,,
27,Javon Wims,,,,,,,,,,,,,,Questionable: Knee,,
,Player ,09/10vs. BAL,09/14vs. HOU,09/24vs. GNB,10/01vs. CLE,10/08vs. BUF,10/22vs. PIT,10/29vs. IND,11/05vs. JAX,11/12vs. TEN,11/19vs. DEN,11/26vs. CLE,12/04vs. PIT,12/10vs. CHI,12/17vs. MIN,12/24vs. DET,12/31vs. BAL
0,Geno Atkins,,,,,,,,,,,,,Questionable: Toe,,,
1,Tyler Boyd,,,,,,Out: Knee,Out: Knee,Out: Knee,,,,,,,,
2,Randy Bullock,,,,,,,,Questionable: Back,Questionable: Back,,,,,,,
3,Vontaze Burfict,,,,,,,,,,,,,Out: Concussion,Out: Concussion,,Doubtful: Shoulder
4,Tra Carson,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
5,Cody Core,,,,,,,Out: Concussion,,,,,,,,,
6,Darqueze Dennard ,,,,,,,,,,,Questionable: Knee,,Questionable: Knee,,,
7,Jeff Driskel,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb
8,Tyler Eifert,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
9,Jordan Evans,,,,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,,
10,Jake Fisher,,,,,,,,,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart
11,Ryan Hewitt,,,,,Out: Knee,Out: Knee,Out: Knee,,,,,,,,,
12,Jeremy Hill,,,,,,,,,Out: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
13,Trey Hopkins,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,,,,,
14,George Iloka,,,,,,,,,,,,,,,Questionable: Shoulder,
15,William Jackson III,,,,,,,,,,Questionable: Toe,,,,,,Questionable: Knee
16,Michael Johnson,,Out: Concussion,Questionable: Concussion,,,,,Questionable: Back,,,,Questionable: Back,,,,
17,T.J. Johnson,,,,,,,,,,,,,,Doubtful: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
18,Adam Jones,,,,,,Doubtful: Back,,,,Out: Concussion,,,Out: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
19,Dre Kirkpatrick,,,,,,,,,,,,,Out: Concussion,Out: Concussion,,
20,Jake Kumerow,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
21,Brandon LaFell,,,,,,,,,,Questionable: Knee,,,,,,
22,Kevin Minter,,,,,,,Out: Elbow,Out: Elbow,Out: Elbow,Out: Elbow,,,,Out: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
23,Joe Mixon,,,,,,,,,,,,,Out: Concussion,Questionable: Concussion,,Questionable: Ankle
24,Cedric Ogbuehi,,,,,,,,,,,,,,,Out: Shoulder,Out: Shoulder
25,Cedric Peerman,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
26,Vincent Rey,,,,,,,,,,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,
27,John Ross ,,Questionable: Knee,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
28,KeiVarae Russell,,,Questionable: Hamstring,,,,,,,,,,,,,
29,Mason Schreck,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
30,Pat Sims,,,,,,,,,Out: Calf,Out: Calf,,,,,,
31,Andre Smith,,,,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee
32,Derron Smith,,,Questionable: Ankle,Doubtful: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,,,,
33,C.J. Uzomah,Out: Ankle,Questionable: Ankle,,,,,,,,,,,,,,
34,Nick Vigil,,,,,,,,,,,,Injured Reserve: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Injured Reserve: Ankle
35,Shawn Williams,Out: Elbow,Questionable: Elbow,,,,,,,Doubtful: Hamstring,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,
36,Brandon Wilson,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,,,Questionable: Ankle,,,
,Player ,09/09vs. IND,09/13vs. BAL,09/23vs. CAR,09/30vs. ATL,10/07vs. MIA,10/14vs. PIT,10/21vs. KAN,10/28vs. TAM,11/11vs. NOR,11/18vs. BAL,11/25vs. CLE,12/02vs. DEN,12/09vs. LAC,12/16vs. OAK,12/23vs. CLE,12/30vs. PIT
0,Matt Barkley,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
1,Brandon Bell,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,Injured Reserve: Undisclosed,,,,
2,Giovani Bernard,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,
3,Tyler Boyd,,,,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee
4,Preston Brown,,Questionable: Ankle,Questionable: Ankle,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
5,Vontaze Burfict,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,,,,Out: Hip,Out: Hip,Questionable: Hip,,,Out: Concussion,Out: Concussion,Questionable: Concussion,Out: Concussion
6,Tra Carson,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,Injured Reserve: Hamstring,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
7,Cethan Carter ,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
8,Cody Core,Doubtful: Back,Doubtful: Back,,,,,,,,,,,,,,
9,Andy Dalton,,,,,,,,,,,,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb
10,Darqueze Dennard ,,,,,,,Out: Sternoclavicular,Out: Sternoclavicular,Out: Sternoclavicular,,,,,,,
11,Tyler Eifert,,,,,Out: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
12,Jordan Evans,,,,,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle
13,Jake Fisher,,,,,,,,,,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
14,Ryan Glasgow,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
15,Cordy Glenn,,,,,,,,,,,Questionable: Back,Doubtful: Back,Out: Back,Questionable: Back,,
16,A.J. Green,,,,,,,,,Out: Toe,Doubtful: Toe,Questionable: Toe,,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe
17,Davontae Harris,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee,,
18,Trayvon Henderson,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm
19,Ryan Hewitt,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,Injured Reserve: Undisclosed,,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,,,
20,William Jackson III,,,,,,Questionable: Knee,,,,,,,,,,
21,Malik Jefferson,,,,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot
22,Michael Johnson,,,Questionable: Knee,,,,,,,,,,,Questionable: Concussion,,
23,Dre Kirkpatrick,,,,,,,,,,Questionable: Concussion,Questionable: Shoulder,,Out: Ankle,Questionable: Ankle,,Injured Reserve: Shoulder
24,Tyler Kroft,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Out: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
25,Carl Lawson,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
26,Javarius Leamon,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal
27,Josh Malone,,,,,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,
28,Tony McRae,,,,,,,,,,,,Out: Concussion,Out: Concussion,Questionable: Concussion,Out: Hamstring,Out: Hamstring
29,Joe Mixon,,,Out: Knee,Out: Knee,,,,,,,,,,,,
30,Cedric Ogbuehi,,,,,,Questionable: Wrist,,,,,,,,,,
31,Billy Price,,,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Doubtful: Foot,,,,,,,,
32,Alex Redmond,,,,,,,,,Doubtful: Hamstring,,,,,,,
33,John Ross ,,,,,Out: Groin,Questionable: Groin,,Out: Groin,,Questionable: Groin,,,,,,
34,KeiVarae Russell,,,,,,,,,,,,,,Doubtful: Finger,,
35,Mason Schreck,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
36,Rod Taylor,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
37,Josh Tupou,,,,,,,,,,,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
38,Nick Vigil,,,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Out: Knee,,,,,
39,Adolphus Washington,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
40,Christian Westerman ,Injured Reserve: Virus,Injured Reserve: Virus,,,,,,,,,,,,,,
41,Shawn Williams,,,,,,,Questionable: Concussion,,,,,,,,,
,Player ,09/08vs. SEA,09/15vs. SFO,09/22vs. BUF,09/30vs. PIT,10/06vs. ARI,10/13vs. BAL,10/20vs. JAX,10/27vs. LAR,11/10vs. BAL,11/17vs. OAK,11/24vs. PIT,12/01vs. NYJ,12/08vs. CLE,12/15vs. NWE,12/22vs. MIA,12/29vs. CLE
0,Rodney Anderson,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
1,Geno Atkins,,,,,,,,,,Questionable: Ankle,,,,,,
2,Cethan Carter ,,,,,,,,,,,,Out: Concussion,,,,
3,Darqueze Dennard ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Out: Hamstring,,,,,,Questionable: Illness,,
4,Jeff Driskel,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
5,O'Shea Dugas,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
6,Carlos Dunlap,,,,,,Out: Knee,Doubtful: Knee,,,,,,,,,
7,Clayton Fejedelem,,Questionable: Ankle,,,,,,,,,,,,,,
8,Ryan Glasgow,,,Out: Thigh,Out: Thigh,,Out: Thigh,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
9,Cordy Glenn,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Not Injury Related,Out: Concussion,Questionable: Concussion,,,,,,,
10,A.J. Green,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Injured Reserve: 
11,Bobby Hart ,,,,,,,,,,Questionable: Shoulder,,,,,,
12,Sam Hubbard,,,,,,,,,,,,,Out: Knee,,,
13,William Jackson III,,,,,,,Out: Shoulder,,,,,,,,,Injured Reserve: 
14,Michael Jordan,,,Questionable: Knee,,,,,,,,,,,,,
15,Dre Kirkpatrick,,,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,Carl Lawson,,,Doubtful: Hamstring,Doubtful: Hamstring,,,Out: Hamstring,Out: Hamstring,,,,,,,,
17,John Miller,,,,,,,Out: Groin,Questionable: Groin,,,,,,,Out: Concussion,
18,Joe Mixon,,Questionable: Ankle,,,,,,,,,,,,,,
19,Stanley Morgan Jr.,,,,,,,,,,,Questionable: Illness,,,,,Doubtful: Concussion
20,Darius Phillips,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,: ,,,,
21,Alex Redmond,,,,,,,,,Out: Knee,Out: Knee,,Out: Elbow,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
22,John Ross ,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,: ,: ,: ,,,
23,Drew Sample,,,,,,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
24,Niles Scott,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
25,Andre Smith,,,Questionable: Groin,,,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,,
26,Auden Tate,Doubtful: Knee,,,,,,,,,,Questionable: Concussion,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
27,Nick Vigil,,,,,,,,,,,,Questionable: Ankle,,,,
28,B.W. Webb,,,Out: Forearm,,,,,,,,,,,,,
29,Jonah Williams,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: 
30,Shawn Williams,,,,,,Questionable: Thigh,,,,,,,,,,
31,Trayveon Williams,Out: Foot,Questionable: Foot,,,,,,,,,,,,,,
32,Brandon Wilson,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
33,Renell Wren,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
34,Kerry Wynn,,,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
,Player ,09/10vs. PIT,09/17vs. BAL,09/24vs. IND,10/01vs. CIN,10/08vs. NYJ,10/15vs. HOU,10/22vs. TEN,10/29vs. MIN,11/12vs. DET,11/19vs. JAX,11/26vs. CIN,12/03vs. LAC,12/10vs. GNB,12/17vs. BAL,12/24vs. CHI,12/31vs. PIT
0,Dominique Alexander,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
1,Chris Barker,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
2,Briean Boddy-Calhoun,,,,,,,,,,,,,Questionable: Knee,Doubtful: Knee,Questionable: Knee,Questionable: Knee
3,Kenny Britt,,,,,Doubtful: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,
4,James Burgess,,,,,,Doubtful: Knee,Out: Knee,,,,,,,,,
5,Ibraheim Campbell,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,
6,Tank Carder,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
7,Sammie Coates,,,Doubtful: Hamstring,Questionable: Hamstring,,,Questionable: Hamstring,,,,Out: Knee,Out: Knee,Questionable: Knee,,,
8,Corey Coleman,,,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,,,,,,,
9,Shon Coleman,,,,,,Questionable: Knee,,,,Questionable: Concussion,,,,,,
10,Trevon Coley,,,,,,,,Questionable: Neck,,,,,,,,
11,Jamie Collins,,,Out: Concussion,Out: Concussion,Doubtful: Concussion,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
12,Seth Devalve,,,,,,,,,,,,,Questionable: Hip,,,
13,Myles Garrett ,,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,,,Out: Concussion,,,,,,,,
14,Matt Hazel,,,,,,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,
15,Darius Hillary,,,,,,,,,,,,,,Questionable: Knee,,
16,Tyrone Holmes,,,,,,,,,,,,,Questionable: Knee,,,
17,Darius Jackson,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
18,Roderick Johnson,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
19,Derrick Kindred,,,,,,,,,,,,,,,Injured Reserve: Wrist,Injured Reserve: Wrist
20,Jordan Leslie,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
21,Matt McCants,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
22,Jason McCourty,,,,,,,Questionable: Ankle,Doubtful: Ankle,,,,,,,,
23,T.Y. McGill,,Out: Back,Questionable: Back,,,,,,,,,,,,,
24,Jamie Meder,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
25,Emmanuel Ogbah,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
26,Jabrill Peppers ,,,,,,,Questionable: Toe,Questionable: Toe,,,,,Doubtful: Knee,,,
27,Reggie Porter,,,,,,,,,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
28,Ed Reynolds,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
29,Danny Shelton,Questionable: Knee,,,Questionable: Calf,,,,,,,,,Questionable: Chest,,,
