,Player,Team,Year,09/10vs. ARI,09/18vs. NYG,09/24vs. ATL,10/01vs. MIN,10/08vs. CAR,10/15vs. NOR,10/29vs. PIT,11/06vs. GNB,11/12vs. CLE,11/19vs. CHI,11/23vs. MIN,12/03vs. BAL,12/10vs. TAM,12/16vs. CHI,12/24vs. CIN,12/31vs. GNB
11,Jarrad Davis,det,2017,,,Out: Concussion,Questionable: Concussion,Questionable: Neck,,,,,,,,,,,
12,Taylor Decker,det,2017,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,,,,,,,,
13,Kenny Golladay,det,2017,,,,Questionable: Hamstring,Out: Hamstring,Questionable: Hamstring,Out: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,,,,,,,
14,Jordan Hill,det,2017,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep
15,Kerry Hyder,det,2017,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
16,Mike James ,det,2017,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
17,T.J. Jones,det,2017,,,,,,,,,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder
18,Zac Kerin,det,2017,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
19,Cyrus Kouandjio,det,2017,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,,
20,T.J. Lang,det,2017,,,,,Questionable: Back,Questionable: Back,,,Out: Concussion,,,Questionable: Foot,Questionable: Foot,Questionable: Foot,Doubtful: Foot,
21,DeMarcus Lawrence,det,2017,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,Injured Reserve: Undisclosed,,Injured Reserve: Undisclosed,,,,Injured Reserve: Undisclosed,,Injured Reserve: Undisclosed,,
22,Des Lawrence,det,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
23,Nevin Lawson,det,2017,,,,,,,,,,,,,,,,Out: Concussion
24,Tim Lelito,det,2017,,,,,,,,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh
25,Sam Martin ,det,2017,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,,,,,,,Questionable: rightFoot,,,
26,Brian Mihalik,det,2017,,,,,,,,,,,,,,,Questionable: Illness,
27,Rolan Milligan,det,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
28,Haloti Ngata,det,2017,,,,,Questionable: Shoulder,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep
29,Kasey Redfern,det,2017,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
30,Jalen Reeves-Maybin,det,2017,,,,,,,,,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,
31,Corey Robinson,det,2017,Questionable: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,,,,Questionable: Foot,,,
32,Greg Robinson,det,2017,,,,,,,Out: Ankle,Out: Ankle,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
33,Ryan Spadola,det,2017,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
34,Matthew Stafford,det,2017,,,,,,Questionable: Ankle,,,,,,,Questionable: rightHand,,,
35,Travis Swanson,det,2017,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,Out: Knee,Questionable: Knee,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
36,Golden Tate,det,2017,,,,,,,Questionable: Shoulder,,,,,,,,,
37,Brandon Thomas,det,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
38,Ricky Wagner,det,2017,,,,,Questionable: Ankle,Questionable: Shoulder,,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle,
39,Cornelius Washington,det,2017,,,,,,Injured Reserve: Undisclosed,,,,,,,Questionable: Shoulder,,,
40,Dwayne Washington,det,2017,,,Out: Quadricep,Out: Quadricep,Out: Quadricep,Questionable: Quadricep,,,,Out: Hip,Out: Hip,,,,,
41,Tahir Whitehead,det,2017,,,,,Questionable: Pectoral,,,,,,,,,,,
42,Tavon Wilson,det,2017,,,Out: Shoulder,Questionable: Shoulder,,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
43,Paul Worrilow ,det,2017,,,,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,,
44,Anthony Zettel,det,2017,,,,,,,,,,,,,,,,Questionable: Groin
