"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Mike Evans","WR","TB","bye","55","47","59","68","64","63","62","52","0","55","61","66","58","50","51","70","881","58.7"
"Carson Wentz","QB","PHI","69","72","76","79","67","62","65","61","55","bye","64","67","75","69","0","0","0","881","67.8"
"Jermaine Kearse","WR","NYJ","55","50","45","67","47","61","51","53","56","66","bye","58","74","44","47","56","49","879","54.9"
"Travis Kelce","TE","KC","67","51","53","71","39","52","58","58","54","bye","74","56","42","69","61","68","0","873","58.2"
"Ed Dickson","TE","CAR","40","56","59","62","66","82","72","65","66","70","bye","62","56","34","32","21","29","872","54.5"
"Brandon LaFell","WR","CIN","57","57","57","56","61","bye","46","51","38","48","38","45","57","52","48","74","75","860","53.8"
"A.J. Green","WR","CIN","55","62","56","55","57","bye","45","53","15","49","48","56","62","45","42","79","75","854","53.4"
"Doug Baldwin","WR","SEA","43","81","51","46","49","bye","50","49","70","49","62","53","43","59","46","46","56","853","53.3"
"Michael Thomas","WR","NO","58","58","46","69","bye","59","60","47","49","56","57","44","48","45","62","40","53","851","53.2"
"Tyrell Williams","WR","LAC","54","52","71","50","66","44","43","46","bye","43","61","60","51","51","53","56","49","850","53.1"
"Devin Funchess","WR","CAR","45","57","50","58","41","69","56","43","48","56","bye","59","47","45","60","54","53","841","52.6"
"Tyler Kroft","TE","CIN","12","29","60","53","62","bye","50","52","39","51","47","60","59","45","44","84","78","825","51.6"
"Josh McCown","QB","NYJ","58","57","63","70","53","76","56","61","67","69","bye","70","91","29","0","0","0","820","63.1"
"Jaron Brown","WR","ARI","55","50","76","82","36","34","32","bye","40","52","31","55","46","55","65","52","58","819","51.2"
"Paul Richardson Jr.","WR","SEA","41","39","62","50","47","bye","49","56","68","33","61","57","52","58","45","48","51","817","51.1"
"Nelson Agholor","WR","PHI","41","55","45","61","47","48","47","36","39","bye","47","65","66","78","48","58","30","811","50.7"
"Robby Anderson","WR","NYJ","57","43","49","55","39","58","45","54","50","56","bye","57","62","34","57","60","33","809","50.6"
"Jordy Nelson","WR","GB","76","7","67","51","49","60","51","bye","49","64","63","52","50","70","69","27","0","805","53.7"
"Vernon Davis","TE","WAS","27","55","56","35","bye","48","29","48","47","64","62","65","54","42","47","65","55","799","49.9"
"Zay Jones","WR","BUF","66","49","55","44","66","bye","55","55","40","0","53","57","65","41","44","53","50","793","52.9"
"Jared Cook","TE","OAK","47","45","41","48","34","46","67","46","53","0","54","59","50","54","55","51","41","791","49.4"
"Jameis Winston","QB","TB","bye","65","53","64","72","15","72","67","29","0","0","0","76","71","59","64","83","790","60.8"
"Golden Tate","WR","DET","63","43","63","52","55","46","bye","44","35","36","48","52","51","56","47","50","48","789","49.3"
"Austin Hooper","TE","ATL","47","41","49","60","bye","52","52","50","50","55","39","45","34","50","53","54","58","789","49.3"
"Todd Gurley II","RB","LAR","48","44","61","55","56","48","55","bye","40","53","54","69","55","45","43","62","0","788","52.5"
"Carlos Hyde","RB","SF","44","40","58","58","33","56","51","45","56","46","bye","64","51","41","51","43","45","782","48.9"
"Stefon Diggs","WR","MIN","58","60","52","48","49","0","0","65","bye","51","53","67","48","70","44","52","62","779","55.6"
"Davante Adams","WR","GB","67","71","67","40","56","65","48","bye","56","54","65","48","49","64","27","0","0","777","55.5"
"Evan Engram","TE","NYG","47","43","57","67","57","38","47","bye","58","52","58","51","53","63","73","13","0","777","51.8"
"Zach Ertz","TE","PHI","60","60","75","60","57","49","53","64","0","bye","60","65","45","0","59","55","14","776","55.4"
"Tyreek Hill","WR","KC","50","47","39","58","46","42","40","53","48","bye","64","48","42","69","63","67","0","776","51.7"
"Sammy Watkins","WR","LAR","38","45","42","60","59","47","67","bye","33","51","49","65","58","45","51","64","0","774","51.6"
"Marquise Goodwin","WR","SF","50","43","57","9","55","62","39","43","67","48","bye","54","58","52","63","47","21","768","48.0"
"Julio Jones","WR","ATL","48","48","58","16","bye","45","50","59","43","43","50","47","42","54","53","56","54","766","47.9"
"Jay Cutler","QB","MIA","bye","68","63","52","58","67","37","0","67","56","24","0","64","73","74","56","3","762","54.4"
"Mohamed Sanu","WR","ATL","48","48","57","31","bye","0","51","60","43","48","47","51","46","54","51","59","61","755","50.3"
"Lamar Miller","RB","HOU","64","49","50","57","56","44","bye","62","52","41","52","47","65","49","28","19","17","752","47.0"
"Josh Doctson","WR","WAS","20","29","36","17","bye","19","54","47","56","69","60","71","60","46","50","67","51","752","47.0"
"Jermaine Gresham","TE","ARI","55","0","55","73","40","59","31","bye","69","72","45","50","33","49","0","67","52","750","53.6"
"Rishard Matthews","WR","TEN","53","48","62","34","50","53","57","bye","42","79","53","0","0","46","57","64","51","749","53.5"
"Seth Roberts","WR","OAK","55","34","45","50","50","42","72","0","36","0","59","57","46","55","63","51","34","749","49.9"
"Keelan Cole Sr.","WR","JAC","19","44","37","46","27","41","41","bye","49","69","45","57","48","40","51","75","60","749","46.8"
"Melvin Gordon III","RB","LAC","44","48","33","42","65","58","40","33","bye","47","37","42","53","47","53","52","54","748","46.8"
"Christian McCaffrey","RB","CAR","47","44","41","48","37","61","53","38","53","42","bye","49","40","43","49","49","52","746","46.6"
"Randall Cobb","WR","GB","63","54","0","34","47","53","37","bye","49","38","49","38","41","57","67","61","55","743","49.5"
"Delanie Walker","TE","TEN","53","56","50","31","46","44","38","bye","32","67","47","43","35","50","55","61","34","742","46.4"
"Marqise Lee","WR","JAC","53","58","49","57","33","55","47","bye","66","72","63","58","57","58","11","0","0","737","52.6"
"Cooper Kupp","WR","LAR","39","30","38","49","63","35","63","bye","39","56","55","61","51","45","49","63","0","736","49.1"
"Torrey Smith","WR","PHI","49","62","58","57","42","35","41","32","31","bye","42","41","58","68","50","54","15","735","45.9"
"Eric Decker","WR","TEN","60","44","61","34","49","58","66","bye","23","33","21","48","48","44","54","49","41","733","45.8"
"Tyler Higbee","TE","LAR","53","41","59","47","48","45","54","bye","50","54","44","48","38","35","49","53","12","730","45.6"
"Jimmy Graham","TE","SEA","40","54","48","46","42","bye","48","49","57","44","48","47","42","38","44","40","42","729","45.6"
"Mitchell Trubisky","QB","CHI","0","0","0","0","61","80","38","67","bye","60","63","55","37","76","69","62","56","724","60.3"
"LeSean McCoy","RB","BUF","54","40","43","43","54","bye","57","50","55","24","42","48","41","50","40","50","29","720","45.0"
"Mike Wallace","WR","BAL","47","48","50","52","34","70","5","0","59","bye","41","50","47","40","48","58","65","714","47.6"
"Amari Cooper","WR","OAK","61","48","44","53","55","55","78","63","58","0","67","28","0","14","0","43","42","709","50.6"
"JuJu Smith-Schuster","WR","PIT","25","39","51","54","66","43","31","51","bye","54","66","0","54","0","65","51","56","706","50.4"
"Benjamin Watson","TE","BAL","40","50","40","43","59","51","52","32","69","bye","26","41","30","33","41","48","45","700","43.8"
"Nick Boyle","TE","BAL","45","42","40","49","44","44","47","55","0","bye","43","47","43","41","50","49","56","695","46.3"
"Roger Lewis","WR","NYG","44","16","12","14","45","48","50","bye","47","54","52","48","51","75","80","59","0","695","46.3"
"Tyler Lockett","WR","SEA","26","61","66","50","38","bye","40","39","55","44","47","46","29","39","40","35","36","691","43.2"
"Terrance Williams","WR","DAL","38","49","33","47","55","bye","41","41","54","45","40","32","46","35","41","56","34","687","42.9"
"Sterling Shepard","WR","NYG","57","56","69","67","23","0","0","bye","63","66","0","0","61","77","84","64","0","687","62.5"
"Martavis Bryant","WR","PIT","50","48","45","48","62","33","36","0","bye","38","45","58","40","70","35","43","33","684","45.6"
"Adam Humphries","WR","TB","bye","41","39","43","52","48","52","39","34","46","33","43","42","38","38","35","58","681","42.6"
"Trevor Siemian","QB","DEN","68","77","70","64","bye","74","64","73","0","0","0","26","72","70","18","0","0","676","61.5"
"DeVante Parker","WR","MIA","bye","63","58","47","3","0","0","0","54","50","57","56","56","61","63","44","63","675","51.9"
"Jamison Crowder","WR","WAS","49","38","48","36","bye","53","58","56","0","60","41","37","49","41","36","29","39","670","44.7"
"Kareem Hunt","RB","KC","39","39","37","50","55","42","45","46","31","bye","50","38","40","51","43","54","5","665","41.6"
"Rashard Higgins","WR","CLE","0","54","52","53","37","45","48","39","bye","44","38","50","36","28","51","43","45","663","44.2"
"Deonte Thompson","WR","Multi","44","36","46","53","7","0","21","23","52","39","32","55","55","57","44","61","36","661","41.3"
"Austin Seferian-Jenkins","TE","NYJ","0","0","48","54","44","58","42","55","44","58","bye","59","58","35","55","42","0","652","50.2"
"Brandon Coleman","WR","NO","48","58","46","54","bye","26","54","49","31","29","51","27","33","32","52","39","22","651","40.7"
"DeMarco Murray","RB","TEN","47","37","48","23","49","39","43","bye","37","67","52","31","32","47","48","47","0","647","43.1"
"Robert Woods","WR","LAR","43","45","60","59","64","51","69","bye","45","52","45","0","0","0","51","61","0","645","53.8"
"Julius Thomas","TE","MIA","bye","65","37","39","36","54","39","36","49","42","51","47","42","43","59","0","0","639","45.6"
"Emmanuel Sanders","WR","DEN","53","69","62","48","bye","50","0","0","29","55","77","50","57","47","39","0","0","636","53.0"
"Brett Hundley","QB","GB","0","0","0","3","0","58","55","bye","59","66","68","55","55","76","0","67","61","623","56.6"
"C.J. Anderson","RB","DEN","47","56","49","44","bye","38","38","35","23","24","30","19","40","41","54","42","37","617","38.6"
"Ted Ginn Jr.","WR","NO","42","43","34","45","bye","37","39","36","36","50","53","41","39","35","0","47","37","614","40.9"
"Donte Moncrief","WR","IND","45","53","58","43","53","42","52","56","50","51","bye","60","50","0","0","0","0","613","51.1"
"Ryan Grant","WR","WAS","37","30","34","22","bye","40","26","40","59","9","53","49","53","30","44","42","44","612","38.3"
"DeSean Jackson","WR","TB","bye","36","43","45","52","53","52","50","39","54","40","44","49","30","22","0","0","609","43.5"
"O.J. Howard","TE","TB","bye","46","34","42","41","45","51","39","37","50","46","53","55","56","13","0","0","608","43.4"
"Hunter Henry","TE","LAC","23","33","41","36","59","54","47","35","bye","45","44","52","50","42","38","0","0","599","42.8"
"Michael Crabtree","WR","OAK","48","35","31","0","36","49","72","55","51","0","57","5","0","54","59","29","17","598","42.7"
"Kelvin Benjamin","WR","Multi","43","44","7","57","50","69","61","47","0","41","4","0","0","41","37","52","45","598","42.7"
"Chris Hogan","WR","NE","73","65","58","68","74","63","60","75","bye","0","0","0","0","55","0","0","0","591","65.7"
"George Kittle","TE","SF","54","43","37","75","40","66","31","41","33","0","bye","25","27","20","28","35","36","591","39.4"
"Bruce Ellington","WR","HOU","45","0","70","66","55","45","bye","57","63","43","68","62","16","0","0","0","0","590","53.6"
"Ezekiel Elliott","RB","DAL","60","63","43","64","64","bye","50","58","62","0","0","0","0","0","0","66","59","589","58.9"
"Kamar Aiken","WR","IND","26","63","5","51","67","51","43","47","49","0","bye","7","21","42","34","50","31","587","39.1"
"Josh Hill","TE","NO","25","26","37","9","bye","48","41","40","28","43","31","38","43","33","44","52","48","586","36.6"
"Demarcus Robinson","WR","KC","5","2","9","4","12","49","61","51","56","bye","72","51","29","44","37","42","61","585","36.6"
"Cameron Brate","TE","TB","bye","38","26","35","49","44","38","40","34","33","41","34","32","25","27","43","43","582","36.4"
"Kendall Wright","WR","CHI","39","55","35","37","33","25","8","38","bye","46","39","42","20","47","46","32","38","580","36.3"
"Dion Sims","TE","CHI","48","30","51","38","47","69","29","40","bye","0","0","20","25","49","42","44","48","580","41.4"
"Charles Clay","TE","BUF","65","45","52","48","13","bye","0","0","0","29","35","45","44","58","47","51","44","576","44.3"
"Jordan Howard","RB","CHI","38","31","41","35","34","54","34","48","bye","29","31","23","22","44","33","43","36","576","36.0"
"Bennie Fowler III","WR","DEN","38","23","48","34","bye","61","53","40","25","18","24","17","19","22","39","56","58","575","35.9"
"Ricardo Louis","WR","CLE","16","32","57","56","58","52","65","53","bye","60","33","45","14","4","9","9","11","574","35.9"
"Cole Beasley","WR","DAL","52","57","25","31","37","bye","34","27","44","40","32","42","37","29","41","44","0","572","38.1"
"Mark Ingram II","RB","NO","26","36","29","46","bye","47","42","31","36","37","28","29","36","42","40","31","33","569","35.6"
"Danny Amendola","WR","NE","32","0","31","36","55","29","38","32","bye","27","35","39","32","50","37","40","55","568","37.9"
"Travis Benjamin","WR","LAC","39","39","44","37","47","21","22","35","bye","41","21","44","38","33","36","31","38","566","35.4"
"Duke Johnson Jr.","RB","CLE","50","39","40","36","40","30","36","22","bye","48","27","38","34","25","42","29","30","566","35.4"
"Leonard Fournette","RB","JAC","39","40","37","39","39","41","0","bye","0","45","52","28","51","50","0","49","52","562","43.2"
"Garrett Celek","TE","SF","14","15","35","21","32","30","18","26","55","56","bye","48","53","61","46","17","34","561","35.1"
"Frank Gore","RB","IND","19","32","41","35","39","23","22","36","40","34","bye","41","22","54","28","46","43","555","34.7"
"Jonnu Smith","TE","TEN","23","37","48","22","36","43","49","bye","30","47","38","34","35","28","16","25","41","552","34.5"
"Devonta Freeman","RB","ATL","36","39","41","49","bye","42","41","40","41","2","0","0","39","51","50","42","38","551","39.4"
"Darren Fells","TE","DET","33","41","29","51","35","46","bye","45","44","27","30","27","31","30","24","26","31","550","34.4"
"Eric Ebron","TE","DET","51","39","45","31","34","41","bye","34","34","34","28","29","29","42","27","27","24","549","34.3"
"Nick O'Leary","TE","BUF","43","20","34","32","59","bye","54","54","58","19","34","29","0","32","26","22","31","547","36.5"
"Taylor Gabriel","WR","ATL","31","26","36","61","bye","48","35","31","38","27","34","42","28","31","32","32","9","541","33.8"
"Rhett Ellison","TE","NYG","19","22","21","31","49","35","28","bye","40","26","46","28","32","39","26","41","55","538","33.6"
"Allen Hurns","WR","JAC","51","59","44","60","39","56","50","bye","71","60","0","0","0","0","0","0","47","537","53.7"
"J.J. Nelson","WR","ARI","30","50","52","25","32","12","28","bye","27","29","29","40","50","40","57","10","26","537","33.6"
"Isaiah Crowell","RB","CLE","52","32","41","22","36","32","39","33","bye","36","24","32","32","36","22","31","36","536","33.5"
"Albert Wilson","WR","KC","39","34","27","43","32","0","33","16","0","bye","0","46","42","66","62","68","28","536","41.2"
"Virgil Green","TE","DEN","44","46","37","42","bye","35","28","31","21","30","41","30","21","44","36","26","21","533","33.3"
"Seth DeValve","TE","CLE","31","31","43","33","36","36","37","32","bye","42","33","24","36","25","29","28","35","531","33.2"
"Jerick McKinnon","RB","MIN","11","22","14","10","47","44","35","54","bye","31","45","34","36","42","33","25","44","527","32.9"
"Will Fuller V","WR","HOU","0","0","0","67","59","54","bye","62","71","32","0","0","0","67","54","52","5","523","52.3"
"Anthony Fasano","TE","MIA","bye","16","29","18","44","47","45","36","32","19","28","17","41","42","25","34","46","519","32.4"
"Corey Davis","WR","TEN","42","23","0","0","0","0","0","bye","39","80","54","42","43","46","54","54","42","519","47.2"
"Jeremy Maclin","WR","BAL","48","43","36","47","46","0","0","37","61","bye","44","49","46","50","5","0","0","512","42.7"
"Jordan Matthews","WR","BUF","67","50","50","39","0","bye","55","48","71","36","0","41","51","0","0","0","0","508","50.8"
"Jay Ajayi","RB","Multi","0","64","33","32","46","48","51","46","17","0","13","22","31","43","34","27","0","507","36.2"
"Laquon Treadwell","WR","MIN","36","50","31","25","42","44","55","31","bye","24","16","21","19","32","24","27","23","500","31.3"
"David Njoku","TE","CLE","29","34","30","33","35","26","28","24","bye","46","21","41","34","34","31","30","24","500","31.3"
"Trent Taylor","WR","SF","24","22","37","47","35","44","46","39","15","0","bye","47","31","31","34","25","15","492","32.8"
"John Brown","WR","ARI","63","0","0","53","48","47","43","bye","46","68","41","0","0","0","0","40","42","491","49.1"
"Giovani Bernard","RB","CIN","29","33","13","21","22","bye","23","14","11","20","20","15","44","46","46","71","54","482","30.1"
"Demetrius Harris","TE","KC","25","24","22","40","55","18","31","41","20","bye","19","16","20","28","27","35","61","482","30.1"
"Russell Shepard","WR","CAR","20","34","38","35","38","52","37","30","38","42","bye","30","32","23","22","0","8","479","31.9"
"Dwayne Allen","TE","NE","27","46","17","9","50","6","20","20","bye","20","25","38","37","56","24","44","36","475","29.7"
"Kenyan Drake","RB","MIA","bye","1","20","9","2","1","0","12","37","25","38","39","53","66","71","53","48","475","29.7"
"Kenny Golladay","WR","DET","44","33","45","0","0","0","bye","0","0","11","35","40","48","58","50","58","51","473","43.0"
"Theo Riddick","RB","DET","22","26","34","18","30","35","bye","30","25","17","30","26","40","48","33","37","18","469","29.3"
"Lance Kendricks","TE","GB","21","13","19","17","18","6","14","bye","29","46","39","29","30","49","22","58","58","468","29.3"
"Alvin Kamara","RB","NO","31","17","17","26","bye","31","37","31","26","29","46","32","37","6","32","37","31","466","29.1"
"Brent Celek","TE","PHI","26","17","20","34","26","24","31","30","55","bye","23","30","23","48","23","20","35","465","29.1"
"Javorius Allen","RB","BAL","33","43","34","40","47","47","41","31","35","bye","10","15","13","13","24","15","23","464","29.0"
"Deshaun Watson","QB","HOU","48","66","71","78","64","66","bye","71","0","0","0","0","0","0","0","0","0","464","66.3"
"Marshawn Lynch","RB","OAK","31","23","16","23","27","30","10","0","38","0","21","47","32","28","50","43","41","460","30.7"
"Carson Palmer","QB","ARI","75","66","81","86","60","65","26","bye","0","0","0","0","0","0","0","0","0","459","65.6"
"Dontrelle Inman","WR","Multi","0","13","14","9","3","0","0","0","0","57","53","51","35","67","48","59","46","455","37.9"
"Corey Coleman","WR","CLE","53","38","0","0","0","0","0","0","bye","0","51","63","51","39","50","52","52","449","49.9"
"Chester Rogers","WR","IND","0","0","0","0","0","7","34","26","15","42","bye","41","54","66","53","58","51","447","40.6"
"Chris Godwin","WR","TB","bye","29","11","9","17","14","22","14","18","69","22","19","17","40","33","54","58","446","27.9"
"Jamaal Williams","RB","GB","6","10","4","12","2","0","0","bye","9","35","60","45","48","50","42","62","56","441","27.6"
"Aldrick Robinson","WR","SF","10","11","27","73","22","15","30","30","62","31","bye","22","18","26","4","18","39","438","27.4"
"Josh Bellamy","WR","CHI","33","59","19","36","7","2","3","2","bye","40","25","0","30","48","53","40","40","437","29.1"
"Stephen Anderson","TE","HOU","57","0","31","11","16","22","bye","11","39","35","13","7","68","48","30","25","22","435","29.0"
"Cordarrelle Patterson","WR","OAK","23","27","26","33","19","17","18","57","6","0","25","37","34","26","44","13","25","430","26.9"
"Pierre Garcon","WR","SF","50","39","66","74","63","60","45","32","0","0","bye","0","0","0","0","0","0","429","53.6"
"Braxton Miller","WR","HOU","63","63","37","0","0","7","bye","3","0","20","61","54","30","0","0","33","55","426","38.7"
"Tevin Coleman","RB","ATL","24","22","28","28","bye","18","19","29","19","44","42","44","20","24","0","23","41","425","28.3"
"Levine Toilolo","TE","ATL","29","28","35","30","bye","15","19","31","28","30","31","28","24","43","39","12","0","422","28.1"
"Latavius Murray","RB","MIN","3","6","8","19","22","33","31","31","bye","30","33","40","30","32","32","39","31","420","26.3"
"Tom Savage","QB","HOU","31","0","0","6","0","0","bye","0","71","68","70","68","81","25","0","0","0","420","52.5"
"Michael Hoomanawanui","TE","NO","18","22","28","43","bye","41","43","24","38","47","24","26","31","25","9","0","0","419","29.9"
"Aaron Rodgers","QB","GB","82","76","70","52","60","8","0","bye","0","0","0","0","0","0","69","0","0","417","59.6"
"Troy Niklas","TE","ARI","19","30","19","22","19","35","17","bye","44","15","17","27","25","19","76","0","30","414","27.6"
"Ben Koyack","TE","JAC","27","19","35","27","25","19","28","bye","37","29","44","14","30","16","34","23","6","413","25.8"
"Martellus Bennett","TE","Multi","67","63","67","43","49","50","49","0","0","7","17","0","0","0","0","0","0","412","45.8"
"Eric Tomlinson","TE","NYJ","13","0","0","29","20","35","34","27","45","20","bye","29","43","17","30","37","32","411","29.4"
"Derrick Henry","RB","TEN","18","30","30","18","11","39","30","bye","19","28","16","32","24","13","15","22","63","408","25.5"
"Dion Lewis","RB","NE","6","14","12","14","18","29","26","30","bye","21","26","28","26","18","34","51","52","405","25.3"
"Jonathan Stewart","RB","CAR","29","26","26","28","40","27","28","28","20","24","bye","27","22","26","29","23","0","403","26.9"
"TJ Jones","WR","DET","19","17","15","46","40","58","bye","52","50","29","29","15","9","10","13","0","0","402","28.7"
"Bilal Powell","RB","NYJ","30","18","28","46","17","0","21","29","15","33","bye","23","37","23","24","27","30","401","26.7"
"Kyle Juszczyk","RB","SF","19","17","25","24","35","0","0","20","17","38","bye","16","40","36","32","37","39","395","28.2"
"Tavarres King","WR","NYG","0","0","0","0","0","46","59","bye","35","53","65","55","37","0","43","0","0","393","49.1"
"Kenny Britt","WR","Multi","52","42","52","46","0","0","55","0","0","55","20","18","12","0","2","9","29","392","32.7"
"David Morgan","TE","MIN","18","7","30","18","12","16","17","36","bye","27","40","33","1","0","48","42","47","392","26.1"
"C.J. Beathard","QB","SF","0","0","0","1","0","54","66","66","74","61","bye","68","0","0","0","0","0","390","55.7"
"Eli Rogers","WR","PIT","39","37","21","0","0","13","11","19","bye","18","25","55","17","53","25","27","26","386","27.6"
"Breshad Perriman","WR","BAL","42","42","35","49","38","20","0","49","35","bye","0","16","0","0","29","30","0","385","35.0"
"Joe Mixon","RB","CIN","22","16","34","31","36","bye","22","35","28","31","35","46","17","0","0","6","25","384","27.4"
"James White","RB","NE","43","30","31","43","35","29","23","20","bye","11","17","18","28","35","20","0","0","383","27.4"
"Brian Hoyer","QB","Multi","57","49","79","83","72","18","0","0","0","9","3","0","2","0","0","4","6","382","34.7"
"Justin Hardy","WR","ATL","15","19","15","58","bye","42","9","9","20","21","17","25","11","22","21","20","57","381","23.8"
"Charles Sims","RB","TB","bye","21","26","22","32","27","24","19","18","22","23","26","19","20","26","23","32","380","23.8"
"Dede Westbrook","WR","JAC","0","0","0","0","0","0","0","bye","0","0","34","45","54","50","55","83","59","380","54.3"
"Alex Collins","RB","BAL","0","8","10","17","16","22","16","32","29","bye","38","31","33","29","30","39","29","379","25.3"
"Terrelle Pryor","WR","WAS","53","52","57","43","bye","61","30","19","35","28","0","0","0","0","0","0","0","378","42.0"
"Luke Willson","TE","SEA","17","37","25","22","26","bye","31","19","24","24","33","5","20","20","19","27","29","378","23.6"
"Cody Latimer","WR","DEN","11","14","11","0","bye","0","0","38","49","47","49","36","48","31","44","0","0","378","34.4"
"Ameer Abdullah","RB","DET","35","29","29","33","22","37","bye","32","33","31","29","29","0","0","8","11","20","378","27.0"
"Phillip Dorsett II","WR","NE","18","32","7","9","20","11","8","8","bye","49","28","43","48","0","25","26","45","377","25.1"
"Chris Moore","WR","BAL","0","0","7","0","0","34","58","17","31","bye","33","23","32","24","43","44","30","376","28.9"
"Matt Forte","RB","NYJ","35","27","23","0","0","44","28","29","32","0","bye","29","35","26","26","26","0","360","30.0"
"Tarik Cohen","RB","CHI","28","40","28","18","17","26","7","18","bye","13","31","19","16","37","25","18","19","360","22.5"
