Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time
12,ATL,2017,11/20/2017,8:30,5:30,@,SEA,11,10,Mon,W 34-31,,279,58,4.8103,69,5.2174,1,30:21:00,3:18
18,ATL,2019,9/22/2019,1:00,1:00,@,IND,3,3,Sun,L 24-27,,397,54,7.3519,62,6.1129,1,28:37:00,2:59
19,ATL,2017,12/3/2017,1:00,1:00,,MIN,13,12,Sun,L 9-14,,275,51,5.3922,63,4.9524,,25:58:00,2:44
11,ATL,2018,12/2/2018,1:00,1:00,,BAL,13,12,Sun,L 16-26,,131,45,2.9111,77,4.7532,1,20:21,3:09
34,ATL,2019,11/24/2019,1:00,1:00,,TAM,12,11,Sun,L 22-35,,337,80,4.2125,62,7.1935,2,31:38:00,3:22
77,ATL,2018,12/30/2018,1:00,1:00,@,TAM,17,16,Sun,W 34-32,,489,76,6.4342,56,7.7321,1,34:46:00,3:08
93,ATL,2019,9/29/2019,1:00,1:00,,TEN,4,4,Sun,L 10-24,,422,75,5.6267,61,5.9836,1,30:41:00,2:57
19,BAL,2018,10/7/2018,1:00,1:00,@,CLE,5,5,Sun,L 9-12,OT,410,84,4.881,76,5.4737,2,33:42:00,3:36
19,BAL,2018,11/18/2018,1:00,1:00,,CIN,11,10,Sun,W 24-21,,403,75,5.3733,54,4.7222,1,38:09:00,3:05
17,BAL,2017,11/19/2017,1:00,12:00,@,GNB,11,10,Sun,W 23-0,,219,57,3.8421,67,3.9552,1,30:03:00,3:01
9,BAL,2019,11/10/2019,1:00,1:00,@,CIN,10,9,Sun,W 49-13,,379,46,8.2391,72,4.2639,1,23:49,2:50
32,BAL,2018,9/13/2018,8:20,8:20,@,CIN,2,2,Thu,L 23-34,,425,81,5.2469,70,5.3286,3,28:10:00,3:26
60,BAL,2019,9/22/2019,1:00,12:00,@,KAN,3,3,Sun,L 28-33,,452,78,5.7949,63,7.9841,,32:44:00,3:12
74,BAL,2017,11/5/2017,1:00,12:00,@,TEN,9,9,Sun,L 20-23,,341,77,4.4286,52,4.9423,2,32:22:00,3:07
75,BAL,2018,12/2/2018,1:00,1:00,@,ATL,13,12,Sun,W 26-16,,366,77,4.7532,45,2.9111,1,39:39:00,3:09
76,BAL,2019,10/13/2019,1:00,1:00,,CIN,6,6,Sun,W 23-17,,497,77,6.4545,55,4.5455,1,39:42:00,3:12
14,BUF,2017,9/10/2017,1:00,1:00,,NYJ,1,1,Sun,W 21-12,,408,72,5.6667,55,3.8909,1,33:04:00,2:54
14,BUF,2017,12/17/2017,1:00,1:00,,MIA,15,14,Sun,W 24-16,,328,61,5.377,73,4.7808,,27:35:00,3:05
15,BUF,2018,9/9/2018,1:00,1:00,@,BAL,1,1,Sun,L 3-47,,153,61,2.5082,74,4.9865,2,24:46:00,3:21
16,BUF,2019,11/3/2019,1:00,1:00,,WAS,9,8,Sun,W 24-9,,268,61,4.3934,49,4.9592,,31:47:00,2:40
17,BUF,2019,12/29/2019,1:00,1:00,,NYJ,17,16,Sun,L 6-13,,309,61,5.0656,65,4.1692,3,28:39:00,3:01
13,BUF,2018,10/14/2018,1:00,12:00,@,HOU,6,6,Sun,L 13-20,,229,58,3.9483,57,3.7895,3,33:00:00,2:55
14,BUF,2019,10/27/2019,1:00,1:00,,PHI,8,7,Sun,L 13-31,,253,58,4.3621,68,5.4559,1,24:03:00,3:01
19,BUF,2018,11/25/2018,1:00,1:00,,JAX,12,11,Sun,W 24-21,,327,54,6.0556,65,5.1231,,27:18:00,3:22
20,BUF,2017,9/17/2017,1:00,1:00,@,CAR,2,2,Sun,L 3-9,,176,51,3.451,66,3.8636,,21:07,2:49
21,BUF,2019,10/20/2019,1:00,1:00,,MIA,7,6,Sun,W 31-21,,305,51,5.9804,66,5.7727,,26:29:00,3:00
12,BUF,2017,11/12/2017,1:00,1:00,,NOR,10,9,Sun,L 10-47,,198,45,4.4,73,6.6027,1,18:37,2:57
27,BUF,2018,11/4/2018,1:00,1:00,,CHI,9,9,Sun,L 9-41,,264,81,3.2593,46,4.1304,4,34:03:00,3:10
16,CAR,2018,12/23/2018,1:00,1:00,,ATL,16,15,Sun,L 10-24,,436,84,5.1905,48,8.8958,4,37:29:00,3:00
15,CAR,2019,12/15/2019,1:00,1:00,,SEA,15,14,Sun,L 24-30,,414,72,5.75,63,6.7937,3,28:42:00,3:06
11,CAR,2018,9/16/2018,1:00,1:00,@,ATL,2,2,Sun,L 24-31,,439,65,6.7538,60,7.3667,1,30:18:00,3:08
12,CAR,2018,12/2/2018,1:00,1:00,@,TAM,13,12,Sun,L 17-24,,444,65,6.8308,59,5.339,4,30:06:00,3:02
13,CAR,2019,9/29/2019,1:00,12:00,@,HOU,4,4,Sun,W 16-10,,297,65,4.5692,62,4.2581,3,30:38:00,3:06
18,CAR,2018,9/9/2018,4:25,4:25,,DAL,1,1,Sun,W 16-8,,293,61,4.8033,57,4.0702,1,30:36:00,3:02
19,CAR,2019,10/6/2019,1:00,1:00,,JAX,5,5,Sun,W 34-27,,445,61,7.2951,77,6.5844,,27:36:00,3:28
15,CAR,2018,10/21/2018,1:00,1:00,@,PHI,7,6,Sun,W 21-17,,371,58,6.3966,65,5.2615,,24:43:00,2:55
