,Player,Team,Year,09/08vs. LAC,09/15vs. TEN,09/22vs. ATL,09/29vs. OAK,10/06vs. KAN,10/20vs. HOU,10/27vs. DEN,11/03vs. PIT,11/10vs. MIA,11/17vs. JAX,11/21vs. HOU,12/01vs. TEN,12/08vs. TAM,12/16vs. NOR,12/22vs. CAR,12/29vs. JAX
13,T.Y. Hilton,clt,2019,,,Questionable: Quadricep,Doubtful: Quadricep,Questionable: Quadricep,,,Out: Calf,Out: Calf,Out: Calf,Questionable: Calf,Out: Calf,Out: Calf,Questionable: Calf,,
14,Malik Hooker ,clt,2019,,,,Out: Knee,Out: Knee,Doubtful: Knee,,Questionable: Knee,,,,,Questionable: Foot,,Questionable: Hand,
15,Justin Houston,clt,2019,,,,,,Questionable: Calf,,Questionable: Calf,,,,,,,,
16,Steve Ishmael,clt,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
17,Iseoluwapo Jegede,clt,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
18,Isaiah Johnson,clt,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
19,Marcus Johnson,clt,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
20,Darius Leonard,clt,2019,,,Out: Concussion,Out: Concussion,Out: Concussion,,,,,,,,,,,
21,Tyquan Lewis,clt,2019,,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,,,
22,Marlon Mack,clt,2019,,,Questionable: Calf,,Questionable: Ankle,,,,,,Out: Hand,Out: Hand,,,,
23,Rolan Milligan,clt,2019,,,,,Questionable: Knee,,,,,,,,,,Injured Reserve: ,Injured Reserve: 
24,Kenny Moore,clt,2019,,,,,,Out: Knee,Questionable: Knee,,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle
25,Al-Quadin Muhammad,clt,2019,,,,Questionable: Neck,,,,,,,,,,,,Questionable: Groin
26,Kai Nacua,clt,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
27,Quenton Nelson,clt,2019,,,,,,Questionable: Hip,,,,,,,,,,
28,Javon Patterson,clt,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
29,Chester Rogers,clt,2019,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
30,Jabaal Sheard,clt,2019,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,,,,,
31,Shakial Taylor ,clt,2019,Injured Reserve: ,,,,,,,,,,Out: Ankle,,,,,
32,Ahmad Thomas,clt,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
33,Kemoko Turay,clt,2019,Questionable: Neck,Doubtful: Neck,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
34,Adam Vinatieri,clt,2019,,,,,,,,,,,,,Out: left Knee,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
35,Anthony Walker,clt,2019,,,,,Questionable: Shoulder,,,,,,,,,,,
36,Spencer Ware,clt,2019,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,,,,,,,,,,,,,
37,Jordan Wilkins,clt,2019,Questionable: Ankle,,,,,,,,,Questionable: Ankle,,,,,,Out: Ankle
38,Jonathan Williams,clt,2019,Out: Rib,Out: Rib,Questionable: Rib,,,,,,,,,,,,,
39,Khari Willis,clt,2019,,,,,,,,,,,Out: Concussion,Questionable: Concussion,,,,Doubtful: Shoulder
40,Quincy Wilson,clt,2019,,,,,,,,,Questionable: Shoulder,,,,,,Out: Shoulder,Out: Shoulder
41,Rock Ya-Sin,clt,2019,,,,,Questionable: Hip,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,
