,Player,Team,Year,09/10vs. DAL,09/18vs. DET,09/24vs. PHI,10/01vs. TAM,10/08vs. LAC,10/15vs. DEN,10/22vs. SEA,11/05vs. LAR,11/12vs. SFO,11/19vs. KAN,11/23vs. WAS,12/03vs. OAK,12/10vs. DAL,12/17vs. PHI,12/24vs. ARI,12/31vs. WAS
12,Shaun Draughn,nyg,2017,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
13,Evan Engram ,nyg,2017,,,,,,,,,,,,,,,,Out: Rib
14,Ereck Flowers,nyg,2017,,,,,,,,,,,,,,,,Questionable: Groin
15,D.J. Fluker,nyg,2017,,Questionable: Shin,,,,,,,,,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe
16,Adam Gettis,nyg,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
17,B.J. Goodson,nyg,2017,,Questionable: Shin,Out: Shin,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,,Out: Ankle,,Injured Reserve: Ankle,Injured Reserve: Ankle
18,Curtis Grant,nyg,2017,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
19,Dwayne Harris,nyg,2017,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
20,Nigel Harris,nyg,2017,,,,,,,,,Injured Reserve: Ribs,Injured Reserve: Ribs,Injured Reserve: Ribs,Injured Reserve: Ribs,Injured Reserve: Ribs,Injured Reserve: Ribs,Injured Reserve: Ribs,
21,Damon Harrison,nyg,2017,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Elbow,,,,
22,Bobby Hart ,nyg,2017,,,Out: Ankle,,,,,,,,,,,,,Questionable: Ankle
23,Mark Herzlich,nyg,2017,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger,Injured Reserve: Stinger
24,Duke Ihenacho,nyg,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
25,Janoris Jenkins ,nyg,2017,,,Questionable: Ankle,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
26,John Jerry,nyg,2017,,,,,Questionable: Hamstring,,,,,,,,,,,
27,Keeon Johnson,nyg,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
28,Brett Jones,nyg,2017,,,,Questionable: Hip,,,,,,,,,,,,
29,Devon Kennard,nyg,2017,,,,,,,,,Out: Quadricep,Questionable: Quadricep,,,,,,
30,Tavarres King,nyg,2017,,,,,,,,,,,,,,,Injured Reserve: Concussion,Out: Concussion
31,Roger Lewis,nyg,2017,,,,,,,,,,,,,,Questionable: Ankle,,
32,Brandon Marshall,nyg,2017,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
33,Avery Moss,nyg,2017,,,,,Questionable: Shoulder,,,,,,,,,,,
34,Calvin Munson,nyg,2017,,,,,,,Out: Quadricep,,Questionable: Quadricep,,Doubtful: Quadricep,,,,,
35,Kevin Norwood,nyg,2017,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
36,Romeo Okwara,nyg,2017,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,
37,Paul Perkins ,nyg,2017,,,,,Out: Ribs,Out: Ribs,Out: Ribs,,,,,,,,,
38,Jason Pierre-Paul,nyg,2017,,,,,Questionable: Shoulder,,,,,,,,Questionable: Finger,,Questionable: Finger,Questionable: Finger
39,Darius Powe,nyg,2017,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
40,Justin Pugh,nyg,2017,,,,,,,,Out: Back,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
41,Weston Richburg,nyg,2017,,,,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
42,Keenan Robinson,nyg,2017,Out: Concussion,Out: Concussion,,,,,,,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
43,Travis Rudolph,nyg,2017,,,,,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,
44,Evan Schwan,nyg,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
45,Sterling Shepard,nyg,2017,,,,,,Out: Ankle,Questionable: Ankle,,,,Questionable: Illness,,Questionable: Hamstring,,,Out: Neck
46,Kelvin Sheppard,nyg,2017,,,,,,,,,,Doubtful: Groin,Questionable: Groin,,,,,
47,Deontae Skinner,nyg,2017,,,,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
48,J.T. Thomas,nyg,2017,,,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
49,Mykkele Thompson ,nyg,2017,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
50,Andrew Turzilli,nyg,2017,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
51,Olivier Vernon,nyg,2017,,,,Questionable: Ankle,Questionable: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,,Questionable: Shoulder,,,,,
52,Chad Wheeler,nyg,2017,,,,,,,,,,,,,Questionable: Concussion,,,
53,Ishaq Williams,nyg,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
54,Kerry Wynn,nyg,2017,,,,,,,,Out: Knee,Questionable: Knee,,,,,,,
