,Player,Team,Year,09/10vs. LAR,09/17vs. ARI,09/24vs. CLE,10/01vs. SEA,10/08vs. SFO,10/16vs. TEN,10/22vs. JAX,10/29vs. CIN,11/05vs. HOU,11/12vs. PIT,11/26vs. TEN,12/03vs. JAX,12/10vs. BUF,12/14vs. DEN,12/23vs. BAL,12/31vs. HOU
10,Vontae Davis ,clt,2017,Out: Groin,Out: Groin,Doubtful: Groin,,,,,,,,,,,,,
11,Pierre Desir,clt,2017,,,,,,,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
12,Jack Doyle,clt,2017,,,,,Out: Concussion,,,,,,,,,,,
13,Matthias Farley,clt,2017,,,,Questionable: Quadricep,,,,,,,,,,,,
14,Clayton Geathers,clt,2017,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,,,,,Injured Reserve: Neck,
15,Denzelle Good,clt,2017,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,,Questionable: Illness,,Out: Knee,Out: Knee
16,T.J. Green,clt,2017,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,
17,Nate Hairston,clt,2017,,,,,Out: Quadricep,,,,,,,,,Out: Concussion,,
18,Johnathan Hankins,clt,2017,,,,,,,,,,,,,,,,Out: Ankle
19,T.Y. Hilton,clt,2017,,,,,,,,,,Questionable: Groin,,,,,,
20,Krishawn Hogan,clt,2017,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
21,Malik Hooker ,clt,2017,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
22,Margus Hunt,clt,2017,,,,,,,,,,,Questionable: Illness,,,,,
23,Edwin Jackson,clt,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
24,Matt Jones,clt,2017,,,,,Doubtful: Knee,,,,Out: Ankle,,,,,,,
25,Kyle Kalis,clt,2017,,,,,,,,,,,Questionable: Knee,,,,,
26,Ryan Kelly,clt,2017,Out: Foot,Out: Foot,Out: Foot,Out: Foot,,,Questionable: Knee,Questionable: Knee,,,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
27,Kendall Langford,clt,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
