,Player,Team,Year,09/07vs. KAN,09/17vs. NOR,09/24vs. HOU,10/01vs. CAR,10/05vs. TAM,10/15vs. NYJ,10/22vs. ATL,10/29vs. LAC,11/12vs. DEN,11/19vs. OAK,11/26vs. MIA,12/03vs. BUF,12/11vs. MIA,12/17vs. PIT,12/24vs. BUF,12/31vs. NYJ,01/13vs. TEN,01/21vs. JAX,02/04vs. PHI
26,Chris Hogan ,nwe,2017,,,Questionable: Knee,,,,,,Out: Shoulder,Out: Shoulder,Out: Shoulder,Out: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,
27,Jacob Hollister,nwe,2017,,,,,,,Questionable: Chest,,,,,,,,,,,,
28,Andrew Jelks,nwe,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
29,Cyrus Jones,nwe,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
30,Jonathan Jones,nwe,2017,,,,,,,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot
31,Brandon King,nwe,2017,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,
32,Harvey Langi,nwe,2017,,,,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
33,Eric Lee,nwe,2017,,,,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,
34,Matt Lengel,nwe,2017,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
35,Dion Lewis,nwe,2017,,,,,,,,,,,,,Questionable: Illness,,,,,,
36,Cassius Marsh,nwe,2017,,,,,,,,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,,,,,,,
37,Shea McClellin ,nwe,2017,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
38,Devin McCourty,nwe,2017,,Questionable: Groin,,,,,,,,,,,,,,Questionable: Shoulder,,,
39,Malcolm Mitchell ,nwe,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
40,Trevor Reilly,nwe,2017,,,,,,,,,,,,Questionable: Concussion,,,,,,,
41,Derek Rivers,nwe,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
42,Elandon Roberts,nwe,2017,,,Questionable: Thumb,,Questionable: Ankle,,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,,
43,Eric Rowe,nwe,2017,,,Questionable: Groin,Questionable: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin,,,,,,
44,Matthew Slater,nwe,2017,Questionable: Hamstring,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,
45,Vincent Valentine,nwe,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
46,Kyle Van Noy,nwe,2017,,,,,,,,,,,,Questionable: Calf,Out: Calf,Questionable: Calf,Questionable: Calf,Questionable: Calf,,,
47,LaAdrian Waddle ,nwe,2017,,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,Questionable: Knee,
48,James White ,nwe,2017,,,,,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,
