,Player,Team,Year,09/08vs. CIN,09/15vs. PIT,09/22vs. NOR,09/29vs. ARI,10/03vs. LAR,10/13vs. CLE,10/20vs. BAL,10/27vs. ATL,11/03vs. TAM,11/11vs. SFO,11/24vs. PHI,12/02vs. MIN,12/08vs. LAR,12/15vs. CAR,12/22vs. ARI,12/29vs. SFO,01/05vs. PHI,01/12vs. GNB
20,Poona Ford,sea,2019,,Doubtful: Calf,,,,,,,,,,,,,,,,
21,Shaquill Griffin ,sea,2019,,,,,,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,,
22,Phil Haynes,sea,2019,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Questionable: Ankle,,,,,,,,
23,Lano Hill,sea,2019,,,,,,,Doubtful: Elbow,Out: Elbow,Doubtful: Elbow,Questionable: Elbow,,,,,,,,
24,Joey Hunt,sea,2019,Out: Ankle,Out: Ankle,,,,,,,,,,,,,,,,
25,Germain Ifedi,sea,2019,,,,,,,,Questionable: Knee,,,,,,,,,,
26,Mike Iupati,sea,2019,Questionable: Foot,,,,,,,,,,,,,,,,Questionable: Neck,Doubtful: Neck
27,Quinton Jefferson,sea,2019,,,,Questionable: Hip,,,Questionable: Oblique,Out: Oblique,Doubtful: Oblique,,,,,,,,,Questionable: Ankle
28,Justin Johnson,sea,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
29,Nazair Jones,sea,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
30,Mychal Kendricks,sea,2019,,,,,,,,,,,,Questionable: Hamstring,Doubtful: Hamstring,Out: Hamstring,Questionable: Hamstring,,Out: Knee,Injured Reserve: 
31,Demetrius Knox,sea,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
32,Bradley McDougald,sea,2019,,,,,,,Questionable: Back,Questionable: Back,,,,,,,,,,
33,David Moore,sea,2019,Out: Shoulder,Out: Shoulder,,,,,,,,,,,,,,,,
34,Rashaad Penny,sea,2019,,,Questionable: Hamstring,Questionable: Hamstring,,Questionable: Hamstring,,,,,,,,Out: Knee,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
35,Ethan Pocic,sea,2019,,,Doubtful: Neck,Doubtful: Back,Questionable: Back,Out: Back,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,Questionable: Core,Injured Reserve: ,Injured Reserve: 
36,C.J. Prosise,sea,2019,,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
37,Jarran Reed,sea,2019,,,,,,,,,,,,Questionable: Ankle,,,,,,
38,Kalan Reed,sea,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
39,Jordan Simmons,sea,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
40,Tedric Thompson,sea,2019,,Doubtful: Hamstring,Questionable: Hamstring,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
41,Neiko Thorpe,sea,2019,,Doubtful: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,,,,,,,Questionable: Groin,Doubtful: Groin,Out: Core,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
42,Malik Turner,sea,2019,,,,,,,,,,,,,,,,Out: Concussion,Out: Concussion,
43,Luke Willson,sea,2019,,,,,,,,,,,Doubtful: Hamstring,Questionable: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,,Questionable: Hip,,
44,Al Woods,sea,2019,,,,,,,,,,,,Questionable: Ankle,,,,,,
