Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Dwayne Harris ,WR,OAK,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrod Taylor ,QB,LAC,1,0,0,7,1,0,0,0,0,0,0,bye,1,19,0,2,0
Virgil Green ,TE,LAC,26,57,27,0,54,23,11,13,24,21,24,bye,22,25,23,12,17
Robert Griffin III ,QB,BAL,23,0,0,0,0,0,0,bye,0,12,9,16,0,2,9,0,68
Ryan Tannehill ,QB,TEN,2,0,0,0,0,28,62,59,72,50,bye,53,59,61,68,62,61
Nick Foles ,QB,JAC,11,0,0,0,0,0,0,0,0,bye,62,85,27,0,0,0,0
Kirk Cousins ,QB,MIN,53,65,60,60,67,70,73,72,70,72,62,bye,54,72,62,54,0
Russell Wilson ,QB,SEA,51,78,83,62,73,81,71,60,74,73,bye,61,75,66,67,57,75
Alshon Jeffery ,WR,PHI,59,6,0,50,61,61,56,52,66,bye,0,0,62,20,0,0,0
Mohamed Sanu ,WR,Multi,62,52,49,62,61,46,47,37,67,0,41,0,19,39,56,70,50
T.Y. Hilton ,WR,IND,56,63,35,0,67,bye,67,60,0,0,0,25,0,0,29,38,38
Jarius Wright ,WR,CAR,39,51,30,47,49,31,bye,39,36,44,58,38,51,59,43,40,38
Travis Benjamin ,WR,LAC,30,43,42,0,40,34,0,0,0,0,0,bye,0,0,0,0,0
Marvin Jones Jr. ,WR,DET,68,55,50,74,bye,45,72,55,61,75,54,67,71,71,0,0,0
Rhett Ellison ,TE,NYG,22,33,22,40,29,50,28,30,36,34,bye,0,0,0,0,0,0
Alfred Morris ,RB,Multi,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Brandon Bolden ,RB,NE,1,0,21,5,11,11,18,3,0,bye,10,7,1,2,1,3,0
Alex Tanney ,QB,NYG,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,2,0,0
Derek Carrier ,TE,OAK,0,9,10,7,5,0,21,6,10,12,18,7,9,8,23,18,14
Case Keenum ,QB,WAS,64,59,77,17,0,59,45,28,0,bye,0,1,0,0,0,35,62
Josh Gordon ,WR,Multi,55,57,67,56,66,25,0,0,0,27,0,20,27,37,25,0,0
Cole Beasley ,WR,BUF,45,35,45,67,41,bye,30,46,28,46,64,60,59,72,45,46,0
Chris Hogan ,WR,CAR,5,3,17,8,0,0,bye,0,0,0,0,0,0,0,6,52,63
Jamize Olawale ,RB,DAL,16,8,9,6,2,5,10,bye,6,5,11,7,5,11,10,4,3
Garrett Celek ,TE,SF,0,0,0,bye,0,0,0,0,0,10,23,15,6,6,0,0,0
Josh Bellamy ,WR,NYJ,6,41,0,bye,11,3,0,2,0,0,0,0,0,0,0,0,0
Travis Kelce ,TE,KC,50,64,63,66,56,53,55,59,57,78,64,bye,59,76,62,61,48
Marquise Goodwin ,WR,SF,48,35,53,bye,46,47,7,0,0,10,23,0,0,0,0,0,0
Russell Shepard ,WR,NYG,8,39,26,0,0,0,0,0,0,0,bye,0,0,0,0,0,0
DeAndre Hopkins ,WR,HOU,63,60,57,65,68,87,63,76,68,bye,56,58,46,76,63,65,0
Robert Woods ,WR,LAR,72,66,62,86,65,52,58,59,bye,75,0,34,67,67,74,70,78
Kenny Stills ,WR,HOU,27,24,32,11,0,0,59,76,58,bye,59,36,37,73,39,56,0
Cordarrelle Patterson ,WR,CHI,20,15,9,7,2,bye,15,15,8,14,2,12,27,11,38,6,2
Keenan Allen ,WR,LAC,52,59,67,56,69,60,59,31,62,64,70,bye,59,40,58,53,72
Tavon Austin ,WR,DAL,25,0,0,11,16,76,13,bye,11,14,29,13,19,21,26,16,14
Spencer Ware ,RB,Multi,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,24,0
Giovani Bernard ,RB,CIN,47,27,25,21,26,32,33,31,bye,18,30,21,12,29,22,51,18
Le'Veon Bell ,RB,NYJ,71,57,50,bye,51,50,56,49,61,48,39,36,61,0,51,56,46
Chris Thompson ,RB,WAS,41,27,40,26,31,13,0,0,0,bye,0,0,23,24,18,38,30
Rex Burkhead ,RB,NE,32,17,56,12,0,0,0,13,25,bye,21,14,4,18,20,19,13
Kenjon Barner ,RB,ATL,0,0,3,0,0,0,4,5,bye,10,14,13,6,0,3,2,5
Mike Glennon ,QB,OAK,0,0,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0
Matt Barkley ,QB,BUF,0,0,0,21,0,bye,0,0,0,0,0,0,0,0,0,0,57
Zach Ertz ,TE,PHI,61,80,74,47,56,51,48,66,65,bye,64,64,51,78,68,59,0
Tyler Eifert ,TE,CIN,37,18,28,28,18,29,33,57,bye,23,20,22,24,34,36,57,27
Levine Toilolo ,TE,SF,11,33,10,bye,17,37,10,7,19,12,1,0,0,0,11,8,15
Vance McDonald ,TE,PIT,48,51,15,0,35,39,bye,57,50,71,69,61,48,31,0,65,44
Kyle Juszczyk ,RB,SF,31,37,50,bye,34,0,0,0,0,39,39,23,25,27,25,24,34
Luke Willson ,TE,SEA,0,0,0,15,42,56,34,43,17,14,bye,0,0,0,0,22,0
Latavius Murray ,RB,NO,18,22,12,17,23,28,64,61,bye,16,27,24,13,24,22,25,37
Ryan Griffin ,TE,NYJ,67,57,46,bye,56,50,50,55,62,42,59,55,60,3,0,0,0
Ryan Griffin ,QB,TB,0,0,0,0,0,0,bye,0,0,0,0,0,0,6,4,0,0
Demetrius Harris ,TE,CLE,11,50,61,45,25,18,bye,13,51,33,41,50,40,0,42,36,32
C.J. Anderson ,RB,DET,24,12,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,0
Jaron Brown ,WR,SEA,40,57,61,35,22,44,42,17,17,0,bye,0,8,9,11,7,3
Zach Line ,RB,NO,10,21,11,7,19,13,27,32,bye,8,21,0,0,0,20,26,0
James Develin ,RB,NE,32,26,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0
Jack Doyle ,TE,IND,43,49,46,56,59,bye,56,46,54,42,42,46,66,49,46,61,37
Patrick DiMarco ,RB,BUF,31,13,9,14,9,bye,9,6,14,11,4,4,9,1,25,6,2
Teddy Bridgewater ,QB,NO,0,54,55,68,64,63,74,5,bye,0,0,0,0,0,6,0,11
Blake Bortles ,QB,LAR,0,0,0,0,0,0,3,0,bye,1,0,0,7,0,0,0,0
AJ McCarron ,QB,HOU,0,0,0,0,0,0,0,0,0,bye,4,0,0,0,0,0,65
Derek Carr ,QB,OAK,55,62,59,64,72,0,59,55,70,58,68,42,59,62,75,63,73
Logan Thomas ,TE,DET,7,6,17,23,bye,18,12,7,19,18,22,27,19,40,42,31,28
Carlos Hyde ,RB,HOU,23,39,31,33,44,56,25,43,38,bye,21,29,21,40,42,39,5
De'Anthony Thomas ,WR,Multi,0,4,1,0,7,8,0,0,0,0,0,0,0,1,0,0,2
Devonta Freeman ,RB,ATL,36,40,54,49,40,48,31,60,bye,30,0,0,60,45,53,58,54
Sammy Watkins ,WR,KC,65,69,65,67,2,0,0,51,53,63,55,bye,40,70,52,51,37
Mike Evans ,WR,TB,59,55,67,67,55,73,bye,74,65,73,64,59,62,18,0,0,0
Marqise Lee ,WR,JAC,12,0,15,25,18,20,0,21,0,bye,0,0,0,0,0,0,0
Brandin Cooks ,WR,LAR,70,65,57,79,46,51,59,3,bye,0,0,40,61,26,53,41,49
Davante Adams ,WR,GB,59,68,49,55,0,0,0,0,42,50,bye,59,51,50,55,62,78
Jordan Matthews ,WR,Multi,0,0,0,0,0,0,3,0,0,0,62,72,0,0,0,0,0
Donte Moncrief ,WR,Multi,60,18,0,3,0,14,0,15,0,0,3,13,9,0,0,0,0
Allen Robinson II ,WR,CHI,68,54,56,61,56,bye,62,71,42,54,75,66,59,68,80,59,72
Odell Beckham Jr. ,WR,CLE,71,58,67,64,46,67,bye,62,71,66,64,74,62,47,68,54,49
Jarvis Landry ,WR,CLE,71,63,67,51,46,66,bye,56,71,64,64,70,64,48,68,50,54
Paul Richardson Jr. ,WR,WAS,51,51,65,43,49,35,35,32,23,bye,0,14,0,0,0,0,0
TJ Jones ,WR,NYG,0,28,14,5,0,0,0,0,0,0,bye,0,0,0,0,0,0
Eric Ebron ,TE,IND,25,33,35,27,27,bye,32,22,24,42,29,29,0,0,0,0,0
Xavier Grimble ,TE,PIT,2,20,38,0,0,0,bye,0,0,0,0,0,0,0,0,0,0
Trey Burton ,TE,CHI,0,26,38,41,42,bye,42,47,27,20,0,0,0,0,0,0,0
James White ,RB,NE,33,22,0,33,30,31,44,28,28,bye,32,21,68,40,25,33,22
Cody Latimer ,WR,NYG,60,40,0,27,31,23,23,33,11,6,bye,9,32,4,15,42,14
Jimmy Garoppolo ,QB,SF,66,70,79,bye,75,77,64,58,70,82,73,48,55,64,64,57,50
John Brown ,WR,BUF,56,56,68,73,52,bye,52,54,54,63,70,69,61,72,61,52,0
Richard Rodgers ,TE,PHI,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,5
Ryan Grant ,WR,Multi,40,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales ,QB,NYJ,0,0,0,bye,4,0,0,0,0,0,0,4,0,0,0,0,0
Quincy Enunwa ,WR,NYJ,65,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Gilbert ,QB,CLE,0,0,0,0,3,0,bye,0,0,0,1,1,2,1,0,0,0
Damien Williams ,RB,KC,45,39,0,0,34,21,17,25,43,60,12,bye,0,0,0,35,36
Albert Wilson ,WR,MIA,6,0,0,0,bye,29,16,18,25,35,37,30,37,17,57,66,67
Taylor Gabriel ,WR,CHI,65,52,46,0,0,bye,37,59,30,48,69,39,0,0,0,0,0
Willie Snead IV ,WR,BAL,49,43,58,53,55,52,37,bye,41,22,40,47,24,37,41,30,50
Allen Hurns ,WR,MIA,34,28,5,0,bye,26,26,19,30,58,60,57,57,57,33,32,0
Bennie Fowler III ,WR,NYG,50,53,38,49,0,0,27,23,41,53,bye,0,0,0,0,0,0
Dontrelle Inman ,WR,Multi,26,36,24,50,0,0,0,0,0,0,0,0,0,0,31,8,16
Keith Smith ,RB,ATL,6,11,11,10,8,18,10,11,bye,10,16,11,16,13,9,18,18
Senorise Perry ,RB,BUF,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,9
Adam Thielen ,WR,MIN,47,64,54,57,57,58,9,0,7,0,0,bye,0,0,33,50,0
Cameron Brate ,TE,TB,30,16,31,18,14,30,bye,54,11,15,50,21,27,24,31,31,27
Roosevelt Nix ,RB,PIT,0,0,0,0,0,0,bye,19,15,0,0,0,0,0,0,0,0
Josh Hill ,TE,NO,32,27,33,41,51,41,51,55,bye,22,31,30,29,62,47,42,55
Darren Fells ,TE,HOU,32,43,38,43,55,79,41,71,57,bye,42,52,41,42,52,52,0
Diontae Spencer ,WR,DEN,0,2,0,2,2,5,1,7,24,bye,5,5,2,2,3,7,3
Scott Simonson ,TE,NYG,0,0,0,0,0,0,0,0,0,0,bye,11,22,10,24,7,0
Seth Roberts ,WR,BAL,51,26,51,44,52,33,19,bye,29,18,44,34,32,27,36,35,21
Jerome Cunningham ,TE,WAS,0,0,0,0,12,19,0,0,0,bye,0,0,0,0,0,0,0
Kyle Nelson ,TE,SF,0,0,0,bye,0,0,0,1,0,0,0,0,0,0,0,0,0
Marcus Mariota ,QB,TEN,57,59,79,62,57,38,0,0,0,0,bye,0,0,0,0,0,2
Jameis Winston ,QB,TB,69,60,75,74,57,80,bye,81,76,83,67,64,74,72,71,73,51
Amari Cooper ,WR,DAL,52,63,61,56,62,3,56,bye,59,63,41,51,63,57,50,46,62
DeVante Parker ,WR,MIA,37,57,67,43,bye,66,61,45,57,62,62,63,58,18,67,75,67
Melvin Gordon III ,RB,LAC,0,0,0,0,32,37,33,25,45,47,41,bye,40,29,25,37,36
Brett Hundley ,QB,ARI,0,0,0,0,0,0,0,3,0,0,0,bye,0,0,0,32,5
Todd Gurley II ,RB,LAR,53,42,47,66,65,0,46,32,bye,55,41,50,54,54,71,54,56
Devin Funchess ,WR,IND,36,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0
Maxx Williams ,TE,ARI,22,14,13,22,42,40,31,20,42,30,37,bye,18,31,40,45,41
Ameer Abdullah ,RB,MIN,4,7,1,7,10,6,1,3,8,5,8,bye,3,6,15,32,19
Tevin Coleman ,RB,SF,18,0,0,bye,25,43,42,31,38,40,37,29,10,10,19,24,15
Sean Mannion ,QB,MIN,0,0,2,0,0,0,0,0,0,0,0,bye,0,0,3,0,49
Duke Johnson Jr. ,RB,HOU,41,25,28,43,29,31,38,33,32,bye,35,29,37,39,21,29,21
Jay Ajayi ,RB,PHI,0,0,0,0,0,0,0,0,0,bye,0,8,8,5,0,0,0
T.J. Yeldon ,RB,BUF,2,3,29,44,31,bye,0,0,0,0,0,0,0,0,0,0,41
Mike Davis ,RB,Multi,40,15,1,0,4,0,0,11,0,0,0,0,0,0,0,0,8
Javorius Allen ,RB,NYG,0,0,0,0,0,0,0,0,0,0,bye,0,3,3,14,3,10
David Johnson ,RB,ARI,76,34,65,54,52,52,3,0,0,29,8,bye,15,21,13,15,0
Malcolm Brown ,RB,LAR,21,25,17,22,3,35,0,0,bye,12,10,2,18,14,3,14,26
Clive Walford ,TE,MIA,0,0,0,0,bye,0,0,0,10,7,6,0,11,33,19,28,0
Nick O'Leary ,TE,Multi,20,14,27,24,0,19,19,16,0,0,0,45,47,45,21,22,0
Ben Koyack ,TE,JAC,0,0,0,0,0,11,42,28,15,bye,15,44,10,20,20,16,39
Jesse James ,TE,DET,50,29,35,36,bye,33,27,22,19,28,13,32,25,38,38,29,39
Tyler Kroft ,TE,BUF,0,0,0,0,0,bye,24,33,16,29,23,22,12,19,19,17,30
Jeff Heuerman ,TE,DEN,21,38,36,29,36,31,22,20,0,bye,0,16,28,30,24,33,33
Nick Boyle ,TE,BAL,43,47,43,41,51,53,39,bye,56,35,51,49,59,54,48,49,50
MyCole Pruitt ,TE,TEN,34,28,26,37,25,21,30,33,11,18,bye,27,26,33,31,27,32
Blake Bell ,TE,KC,33,25,31,23,28,19,29,18,30,34,0,bye,34,15,31,26,21
Nelson Agholor ,WR,PHI,59,77,73,56,59,56,56,55,74,bye,64,0,61,0,0,0,0
Justin Hardy ,WR,ATL,21,11,5,14,9,9,10,11,bye,4,12,15,26,12,5,21,12
Tyler Lockett ,WR,SEA,46,69,81,60,67,78,70,55,68,52,bye,52,66,59,53,48,70
Devin Smith ,WR,DAL,6,18,66,46,0,0,0,bye,0,0,0,0,0,0,0,0,0
Breshad Perriman ,WR,TB,44,30,51,5,0,0,bye,57,47,56,36,25,43,65,67,70,48
Jamison Crowder ,WR,NYJ,64,63,45,bye,31,49,47,42,57,47,40,41,62,56,51,52,55
Ty Montgomery ,RB,NYJ,5,24,8,bye,8,6,7,6,2,5,15,12,4,23,13,9,4
Phillip Dorsett II ,WR,NE,61,35,70,39,4,0,72,64,66,bye,34,0,62,32,9,5,13
Stefon Diggs ,WR,MIN,32,58,44,51,50,44,59,57,62,58,61,bye,51,53,46,46,0
Chris Manhertz ,TE,CAR,18,30,30,10,0,37,bye,22,34,23,9,35,18,17,28,22,9
Matt Lengel ,TE,IND,0,0,0,0,0,bye,0,0,0,0,0,0,5,0,0,0,0
Jake Kumerow ,WR,GB,1,6,0,0,48,65,41,34,13,21,bye,22,14,7,11,28,17
C.J. Uzomah ,TE,CIN,53,42,28,26,42,26,30,45,bye,41,38,35,47,45,46,47,53
DeAndre Carter ,WR,HOU,27,1,1,1,0,0,0,44,29,bye,4,0,7,0,0,29,65
Darren Waller ,TE,OAK,55,59,53,58,56,0,61,53,55,56,64,52,54,60,66,51,69
Trevor Siemian ,QB,NYJ,0,18,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,0
James O'Shaughnessy ,TE,JAC,38,42,42,48,37,0,0,0,0,bye,0,0,0,0,0,0,0
Chris Conley ,WR,JAC,44,54,38,64,64,48,56,55,58,bye,60,64,50,57,50,48,54
Geoff Swaim ,TE,JAC,29,34,21,40,43,31,0,0,0,bye,0,0,0,0,0,0,0
Geremy Davis ,WR,LAC,0,1,0,27,1,18,28,8,0,0,0,bye,0,0,0,0,0
Zach Zenner ,RB,Multi,0,0,0,0,0,0,7,19,1,0,0,0,0,0,0,0,0
Michael Burton ,RB,WAS,0,0,0,0,0,0,6,8,5,bye,13,2,7,9,6,10,3
Damiere Byrd ,WR,ARI,77,53,72,0,0,15,52,43,0,0,0,bye,23,25,21,25,49
J.J. Nelson ,WR,OAK,6,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt LaCosse ,TE,NE,0,41,0,11,72,15,0,0,0,bye,21,34,53,53,49,46,38
Tyrell Williams ,WR,OAK,52,58,57,59,0,0,0,49,57,49,50,44,53,51,72,55,21
Raheem Mostert ,RB,SF,20,32,24,bye,24,7,0,14,2,18,35,14,40,38,34,31,27
Eric Tomlinson ,TE,Multi,2,4,1,0,0,0,38,31,0,0,0,0,0,0,19,19,6
DeAndrew White ,WR,CAR,0,0,0,0,0,0,bye,10,0,2,1,0,3,4,0,14,25
Rod Smith ,RB,Multi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Darius Jennings ,WR,TEN,5,1,6,4,3,8,7,0,0,0,bye,0,0,0,0,0,16
Daniel Brown ,TE,NYJ,2,5,9,bye,14,8,3,8,6,11,19,22,10,62,30,43,47
Adam Humphries ,WR,TEN,20,33,54,25,32,40,31,27,46,32,bye,12,23,0,0,0,0
Ross Travis ,TE,Multi,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,6,0
Beau Brinkley ,TE,TEN,0,0,0,0,1,0,0,0,0,0,bye,0,0,0,0,0,0
Laquon Treadwell ,WR,MIN,0,0,0,8,5,7,10,16,19,12,7,bye,16,17,11,1,42
Ezekiel Elliott ,RB,DAL,37,53,48,56,66,75,55,bye,57,70,65,55,67,72,50,60,51
Jared Goff ,QB,LAR,76,67,64,88,70,52,72,60,bye,74,54,52,72,68,74,70,82
Josh Doctson ,WR,MIN,0,0,0,0,0,0,0,0,0,0,7,bye,0,0,0,0,0
Derrick Henry ,RB,TEN,36,30,37,47,36,36,46,39,38,36,bye,40,44,37,40,0,47
Carson Wentz ,QB,PHI,74,74,74,62,61,60,60,73,84,bye,72,74,69,88,77,72,74
Michael Thomas ,WR,NO,59,62,49,68,63,65,72,66,bye,63,55,55,39,70,48,61,46
Tyler Boyd ,WR,CIN,59,54,54,62,65,58,69,72,bye,64,58,57,54,55,57,83,57
Paul Perkins ,RB,Multi,0,0,0,0,0,0,0,6,3,15,0,0,0,0,0,0,0
Devontae Booker ,RB,DEN,1,0,0,0,0,0,0,0,1,bye,5,3,0,2,5,4,5
Pharoh Cooper ,WR,Multi,8,0,0,0,18,24,23,1,16,18,17,0,37,16,12,21,22
Hunter Henry ,TE,LAC,58,0,0,0,0,41,58,39,55,61,60,bye,47,36,43,53,63
Sterling Shepard ,WR,NYG,67,0,59,70,56,0,0,0,0,0,bye,57,56,48,53,70,66
Austin Hooper ,TE,ATL,58,48,53,66,61,52,50,66,bye,55,0,0,0,44,55,52,64
Jordan Howard ,RB,PHI,17,18,24,33,29,40,23,53,42,bye,0,0,0,0,0,0,1
Rashard Higgins ,WR,CLE,31,0,0,0,0,0,bye,13,15,33,28,24,28,0,0,0,0
Tajae Sharpe ,WR,TEN,29,31,39,38,18,28,23,22,32,40,bye,9,0,29,27,39,27
Dak Prescott ,QB,DAL,65,69,72,58,71,82,69,bye,69,71,73,63,76,73,68,62,75
Jonathan Williams ,RB,IND,0,0,0,0,0,bye,0,0,0,7,29,45,16,0,1,0,1
C.J. Prosise ,RB,SEA,0,10,45,14,0,17,6,0,0,0,bye,0,0,10,10,11,0
Jeff Driskel ,QB,Multi,0,0,0,0,0,0,0,0,0,82,62,74,0,0,0,0,0
Tyler Higbee ,TE,LAR,39,23,0,38,39,30,49,33,bye,25,41,36,72,66,63,62,79
Will Fuller V ,WR,HOU,62,58,57,66,69,78,3,0,0,bye,0,52,41,0,59,19,0
Kenyan Drake ,RB,Multi,26,34,46,28,0,46,29,0,47,43,60,0,50,38,46,56,65
Jacoby Brissett ,QB,IND,63,70,67,77,81,bye,73,64,15,0,64,67,70,63,56,61,56
Nick Vannett ,TE,Multi,23,33,26,44,30,36,0,30,26,33,15,34,22,37,54,15,15
Chris Moore ,WR,BAL,31,7,12,12,19,36,33,bye,2,0,0,0,0,0,0,1,6
Tyler Ervin ,RB,Multi,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,7,17
Demarcus Robinson ,WR,KC,43,68,62,62,56,48,49,38,24,55,38,bye,36,61,38,35,22
Seth DeValve ,TE,JAC,8,10,12,21,21,24,47,44,34,bye,0,0,0,0,29,39,35
Wendell Smallwood ,RB,WAS,0,14,1,3,10,10,16,12,18,bye,28,16,0,2,0,0,4
Jakeem Grant ,WR,MIA,30,38,44,22,bye,0,7,14,14,15,30,3,0,0,0,0,0
Robby Anderson ,WR,NYJ,68,63,50,bye,44,55,55,52,64,54,58,52,64,66,60,57,65
Cody Core ,WR,NYG,0,14,4,7,0,17,1,3,4,4,bye,0,2,1,3,5,0
Alex Erickson ,WR,CIN,11,15,7,4,15,47,66,49,bye,36,44,46,41,59,50,68,57
Josh Ferguson ,RB,WAS,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,3,0,0
Brandon Allen ,QB,DEN,0,0,0,0,0,0,0,0,48,bye,79,49,0,0,0,0,0
Andy Janovich ,RB,DEN,0,0,0,9,19,22,13,28,25,bye,14,0,0,0,0,0,0
Derek Watt ,RB,LAC,15,6,8,19,8,6,5,5,7,3,7,bye,4,17,5,5,2
Tyreek Hill ,WR,KC,12,0,0,0,0,28,53,53,59,69,7,bye,52,70,57,59,44
Johnny Holton ,WR,PIT,7,6,5,9,20,32,bye,26,22,21,42,16,17,17,13,7,6
DeAndre Washington ,RB,OAK,5,15,9,13,13,0,14,9,7,6,9,12,15,39,11,40,54
Marcus Johnson ,WR,IND,0,0,0,0,0,bye,0,0,0,55,61,42,65,56,45,46,42
