,Player,Team,Year,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
13,Markus Golden,crd,2017,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
14,Jermaine Gresham,crd,2017,,Questionable: Ribs,Questionable: Ribs,,,,,,,,,,,Questionable: Illness,,
15,D.J. Humphries,crd,2017,,Out: Knee,Out: Knee,Questionable: Knee,Out: Knee,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
16,Mike Iupati,crd,2017,Questionable: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep
17,David Johnson,crd,2017,,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist
18,Jarvis Jones,crd,2017,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
19,T.J. Logan,crd,2017,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist
20,Gabe Martin ,crd,2017,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,,,Out: Hamstring,Questionable: Hamstring,
21,Josh Mauro,crd,2017,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,
22,Ifeanyi Momah,crd,2017,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
23,Daniel Munyer,crd,2017,,,,,,,,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe
24,JJ Nelson,crd,2017,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,Questionable: Knee,,,
25,Troy Niklas,crd,2017,,Questionable: Hip,,,,,,,,,,Questionable: Back,,,Out: Ankle,Questionable: Ankle
26,Robert Nkemdiche,crd,2017,Questionable: Calf,Questionable: Calf,,Out: Calf,Out: Calf,Questionable: Calf,Questionable: Calf,,,,,,,,,
27,Carson Palmer,crd,2017,,,,,,,,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm
28,Elijhaa Penny,crd,2017,,,,,,,,,,,Questionable: Knee,,,,,Questionable: Hand
29,Corey Peters,crd,2017,,,,,,Questionable: Knee,,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,
30,Adrian Peterson,crd,2017,,,,,,,,,,,,Injured Reserve: Neck,Injured Reserve: Neck,Out: Neck,Injured Reserve: Neck,Injured Reserve: Neck
31,Patrick Peterson,crd,2017,,,,,,Questionable: Quadricep,,,,,,,Questionable: Hamstring,,,
32,Olsen Pierre,crd,2017,,,,,,Out: Ankle,Questionable: Ankle,,,,,,,,Questionable: Illness,
33,Frostee Rucker,crd,2017,,,,,,,,Questionable: Knee,,,,,,,,
34,A.Q. Shipley,crd,2017,,,,,,,,,,Questionable: Shoulder,,,,,,
35,Drew Stanton,crd,2017,,,,,,,,,,Questionable: Knee,Questionable: Knee,,,,,
36,Jared Veldheer,crd,2017,,,,,,Questionable: Knee,,,,,,,Questionable: Elbow,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
37,Earl Watford,crd,2017,,,,,,,,,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle
38,John Wetzel,crd,2017,,,,,,,,,,Questionable: Back,,,,,,
39,Chad Williams,crd,2017,,,,,,,,Questionable: Back,Questionable: Back,,,,,,Questionable: Illness,
40,Kerwynn Williams,crd,2017,,,,,,,,,,,,,,,Questionable: Quadricep,Questionable: Quadricep
41,Xavier Williams,crd,2017,,,,,,,Questionable: Knee,,,,,,,,,
42,Ronald Zamort,crd,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
