,Player,Team,Year,09/09vs. TEN,09/16vs. NYJ,09/23vs. OAK,09/30vs. NWE,10/07vs. CIN,10/14vs. CHI,10/21vs. DET,10/25vs. HOU,11/04vs. NYJ,11/11vs. GNB,11/25vs. IND,12/02vs. BUF,12/09vs. NWE,12/16vs. MIN,12/23vs. JAX,12/30vs. BUF
25,T.J. McDonald,mia,2018,,,,,Questionable: Foot,Questionable: Foot,Questionable: Knee,,,,Questionable: Knee,,,Questionable: Ankle,Doubtful: Ankle,Doubtful: Ankle
26,Kendrick Norton,mia,2018,,,,,,,,,,,,,,,Questionable: Ankle,
27,Brock Osweiler ,mia,2018,,,,,,,,,,,,,,,Questionable: Back,
28,DeVante Parker,mia,2018,Doubtful: Finger,Questionable: Finger,,Questionable: Quadricep,Questionable: Quadricep,Questionable: Quadricep,Questionable: Quadricep,,,,Questionable: Shoulder,Questionable: Shoulder,,,,
29,Josh Sitton,mia,2018,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
30,Kenny Stills,mia,2018,,,,,,,,Out: Groin,Questionable: Groin,,,,,,,
31,Travis Swanson,mia,2018,,,,,,,,,,,,Doubtful: Ankle,Questionable: Ankle,,,
32,Cordrea Tankersley,mia,2018,,,,,,,,,Out: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
33,Ryan Tannehill,mia,2018,,,,,,Questionable: rightShoulder,Out: rightShoulder,Out: rightShoulder,Out: rightShoulder,Out: rightShoulder,,,,,,
34,Vincent Taylor,mia,2018,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
35,Laremy Tunsil,mia,2018,,,,,,Questionable: Concussion,,,,Questionable: Knee,,,,,,
36,Cameron Wake,mia,2018,,,,Questionable: Knee,Doubtful: Knee,Doubtful: Knee,Questionable: Knee,,,,,,,,,
37,Albert Wilson,mia,2018,,,,,,,,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
38,Jonathan Woodard,mia,2018,,,,,,,Out: Concussion,,,,,,,,,
39,Sam Young,mia,2018,,,,Questionable: Shoulder,,,,,,,,,,,,
