,Player,Team,Year,09/09vs. WAS,09/16vs. LAR,09/23vs. CHI,09/30vs. SEA,10/07vs. SFO,10/14vs. MIN,10/18vs. DEN,10/28vs. SFO,11/11vs. KAN,11/18vs. OAK,11/25vs. LAC,12/02vs. GNB,12/09vs. DET,12/16vs. ATL,12/23vs. LAR,12/30vs. SEA
10,Phil Dawson,crd,2018,,,,,,,,Questionable: rightHip,,Questionable: rightHip,Questionable: rightHip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
11,Chase Edmonds,crd,2018,,,,,,Questionable: Back,,,,,,,,,,
12,Larry Fitzgerald,crd,2018,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,,
13,D.J. Foster ,crd,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
14,Dennis Gardeck,crd,2018,,,Questionable: Ankle,,,,,,,,,,,,,
15,Markus Golden,crd,2018,Out: Knee,Questionable: Knee,Questionable: Knee,,Questionable: Knee,Questionable: Knee,,,,,,,,,Questionable: Ankle,Questionable: Ankle
16,Jermaine Gresham,crd,2018,Questionable: Achilles,Questionable: Achilles,Questionable: Achilles,,,,,Questionable: Heel,Questionable: Back,,,,,,,Injured Reserve: Achilles
17,Rodney Gunter,crd,2018,,,,,,,,,,Questionable: NotInjuryRelated,,,,,Questionable: Foot,
18,Will Holden,crd,2018,,,,,,,,,,,,,,,Questionable: Shoulder,
19,D.J. Humphries,crd,2018,,,,,,Questionable: Knee,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
20,Mike Iupati,crd,2018,,,,,,Questionable: Shoulder,Out: Back,Questionable: Back,Questionable: Back,Questionable: Back,Questionable: Back,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
21,Christian Kirk,crd,2018,,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
22,T.J. Logan,crd,2018,Questionable: Ankle,,,,,,,,,,,,,,,
23,Gabe Martin ,crd,2018,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
24,Praise Martin-Oguike,crd,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
25,Benson Mayowa ,crd,2018,,,,,,,,,,,,,,,,Questionable: Back
26,Arthur Moats,crd,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
27,JJ Nelson,crd,2018,,,,,,,,,,,,,,,Questionable: Illness,
28,Robert Nkemdiche,crd,2018,Questionable: Foot,,,Questionable: Knee,Questionable: Foot,Questionable: Foot,,,Out: Calf,Questionable: Calf,Questionable: Calf,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
29,Jonathan Owens,crd,2018,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
30,Corey Peters,crd,2018,,,,Questionable: Elbow,Questionable: Elbow,,,Questionable: Ankle,Questionable: Ankle,,Questionable: Heel,,,,,
31,Patrick Peterson,crd,2018,,,,,,,,,,,,,,,Questionable: Illness,
32,John Phillips,crd,2018,,,,,,,,,,,Questionable: Knee,,,,,
33,Olsen Pierre,crd,2018,Questionable: Toe,Out: Toe,Out: Toe,Questionable: Toe,,,,,,,Questionable: Ankle,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
34,Justin Pugh,crd,2018,,,,,,,Questionable: Hand,Questionable: Hand,Questionable: Hand,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
35,Haason Reddick ,crd,2018,,Questionable: Ankle,,,,,,,,,,Questionable: Neck,,,,
36,Ricky Seals-Jones,crd,2018,,,,,,,,,,,,,,,Questionable: Illness,Out: Shoulder
37,A.Q. Shipley,crd,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
38,Andre Smith,crd,2018,,Out: Elbow,Out: Elbow,Questionable: Elbow,,Questionable: Hamstring,,,,,,,,,,
39,Jamar Taylor,crd,2018,,,,,Questionable: Back,,Questionable: Back,,,,,,,,,
40,Jeremy Vujnovich,crd,2018,,,,,,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
41,John Wetzel,crd,2018,,,,,Questionable: Shoulder,,,,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
42,Chad Williams,crd,2018,,,,,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Hamstring,,
