Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Touch,TotOff,YScm,APYd,RtY
Derrick Henry ,RB,25.254,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,0,0,,0,0,0,,0,0,,,15,82,5.47,1,3,2,12,6.00,0,66.7%,4.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,17,82,94,94,0
Derrick Henry ,RB,25.296,2019-10-27,NFL,TEN,,TAM,W 27-23,8,8,Sun,0,0,,0,0,0,,0,0,,,16,75,4.69,0,1,1,8,8.00,0,100.0%,8.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,1,1,0,0,0,0,17,75,83,83,0
Derrick Henry ,RB,24.336,2018-12-06,NFL,TEN,,JAX,W 30-9,13,14,Thu,0,0,,0,0,0,,0,0,,,17,238,14.00,4,0,0,0,,0,0.0%,,,,,,,,,,4,24,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,238,238,238,0
Derrick Henry ,RB,24.360,2018-12-30,NFL,TEN,,IND,L 17-33,16,17,Sun,0,0,,0,0,0,,0,0,,,16,93,5.81,0,1,1,13,13.00,0,100.0%,13.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,93,106,106,0
Jordan Howard,RB,23.319,2018-09-17,NFL,CHI,,SEA,W 24-17,2,2,Mon,0,0,,0,0,0,,0,0,,,14,35,2.50,0,4,3,33,11.00,0,75.0%,8.25,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,35,68,68,0
Jordan Howard,RB,24.030,2018-12-02,NFL,CHI,@,NYG,L 27-30,12,13,Sun,0,0,,0,0,0,,0,0,,,16,76,4.75,0,1,1,4,4.00,0,100.0%,4.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,76,80,80,0
Kareem Hunt,RB,23.105,2018-11-19,NFL,KAN,@,LAR,L 51-54,11,11,Mon,0,0,,0,0,0,,0,0,,,14,70,5.00,0,4,3,41,13.67,1,75.0%,10.25,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,70,111,111,0
Carlos Hyde,RB,27.361,2018-09-16,NFL,CLE,@,NOR,L 18-21,2,2,Sun,0,0,,0,0,0,,0,0,,,16,43,2.69,1,1,1,7,7.00,0,100.0%,7.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,43,50,50,0
Carlos Hyde,RB,27.102,2017-12-31,NFL,SFO,@,LAR,W 34-13,16,17,Sun,0,0,,0,0,0,,0,0,,,15,88,5.87,2,4,2,10,5.00,0,50.0%,2.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,1,1,0,0,0,0,17,88,98,98,0
Mark Ingram,RB,27.319,2017-11-05,NFL,NOR,,TAM,W 30-10,8,9,Sun,0,0,,0,0,0,,0,0,,,16,77,4.81,0,1,1,2,2.00,0,100.0%,2.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,77,79,79,0
