Player,Team,Season,Player_Address,Date,Status,Opp,Injury,Week,Position
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-11-17,Injured Reserve,SFO,,11,
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-12-01,Injured Reserve,LAR,,13,
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-12-08,Injured Reserve,PIT,,14,
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-12-15,Injured Reserve,CLE,,15,
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-12-22,Injured Reserve,SEA,,16,
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-12-29,Injured Reserve,LAR,,17,
Pita Taumoepenu,ARI,2019.0,/players/T/TaumPi00,2019-09-08,Injured Reserve,DET,,1,OLB
Pita Taumoepenu,ARI,2019.0,/players/T/TaumPi00,2019-09-15,Injured Reserve,BAL,,2,OLB
Zeke Turner,ARI,2019.0,/players/T/TurnZe00,2019-09-08,Questionable,DET,Hand,1,S
Zeke Turner,ARI,2019.0,/players/T/TurnZe00,2019-09-22,Questionable,CAR,Hand,3,S
Zeke Turner,ARI,2019.0,/players/T/TurnZe00,2019-10-06,Questionable,CIN,Hand,5,S
Zeke Turner,ARI,2019.0,/players/T/TurnZe00,2019-10-13,Out,ATL,Hamstring,6,S
Zeke Turner,ARI,2019.0,/players/T/TurnZe00,2019-10-20,Questionable,NYG,Hamstring,7,S
Zeke Turner,ARI,2019.0,/players/T/TurnZe00,2019-10-27,Questionable,NOR,Hamstring,8,S
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-09-08,Injured Reserve,DET,,1,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-09-15,Injured Reserve,BAL,,2,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-09-22,Injured Reserve,CAR,,3,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-09-29,Injured Reserve,SEA,,4,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-10-06,Injured Reserve,CIN,,5,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-10-13,Injured Reserve,ATL,,6,CB
Brandon Williams,ARI,2019.0,/players/W/WillBr07,2019-10-20,Injured Reserve,NYG,,7,CB
