Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury,Healthy_Week
Al-Quadin Muhammad,,DL,IND,2020-09-13,Sun,2020,1,1.0,Away,JAX,L 20-27,,24.0,0.48,,,1
Al-Quadin Muhammad,25.176,DL,IND,2020-09-20,Sun,2020,2,2.0,Home,MIN,W 28-11,0.0,32.0,0.59,,,2
Al-Quadin Muhammad,25.183,DL,IND,2020-09-27,Sun,2020,3,3.0,Home,NYJ,W 36-7,0.0,39.0,0.61,,,3
Al-Quadin Muhammad,25.19,DL,IND,2020-10-04,Sun,2020,4,4.0,Away,CHI,W 19-11,1.5,32.0,0.52,,,4
Al-Quadin Muhammad,25.197,DL,IND,2020-10-11,Sun,2020,5,5.0,Away,CLE,L 23-32,11.75,37.0,0.51,,,5
Al-Quadin Muhammad,25.204,DL,IND,2020-10-18,Sun,2020,6,6.0,Home,CIN,W 31-27,1.5,39.0,0.53,,,6
Al-Quadin Muhammad,,,,,,2020,7,,,,,,,,,,7
Al-Quadin Muhammad,25.218,DL,IND,2020-11-01,Sun,2020,8,7.0,Away,DET,W 41-21,2.25,38.0,0.61,,,8
Al-Quadin Muhammad,25.225,DL,IND,2020-11-08,Sun,2020,9,8.0,Home,BAL,L 10-24,14.0,42.0,0.66,,,9
Al-Quadin Muhammad,,DL,IND,2020-11-12,Thu,2020,10,9.0,Away,TEN,W 34-17,,34.0,0.52,,,10
Al-Quadin Muhammad,25.239,DL,IND,2020-11-22,Sun,2020,11,10.0,Home,GNB,W 34-31,1.5,31.0,0.52,,,11
Al-Quadin Muhammad,25.246,DL,IND,2020-11-29,Sun,2020,12,11.0,Home,TEN,L 26-45,6.0,46.0,0.64,,,12
Al-Quadin Muhammad,25.253,DL,IND,2020-12-06,Sun,2020,13,12.0,Away,HOU,W 26-20,1.5,41.0,0.64,,,13
Al-Quadin Muhammad,25.26,DL,IND,2020-12-13,Sun,2020,14,13.0,Away,LVR,W 44-27,1.5,42.0,0.62,,,14
Al-Quadin Muhammad,25.267,DL,IND,2020-12-20,Sun,2020,15,14.0,Home,HOU,W 27-20,3.0,32.0,0.46,,,15
Albert Okwuegbunam,,,,,,2020,1,,,,,,,,,,1
Albert Okwuegbunam,,,,,,2020,2,,,,,,,,,,2
Albert Okwuegbunam,,,,,,2020,3,,,,,,,,,,3
Albert Okwuegbunam,,,,,,2020,4,,,,,,,,,,4
Albert Okwuegbunam,,,,,,2020,5,,,,,,,,,,5
Albert Okwuegbunam,22.176,TE,DEN,2020-10-18,Sun,2020,6,5.0,Away,NWE,W 18-12,5.5,24.0,0.37,,,6
Albert Okwuegbunam,22.183,TE,DEN,2020-10-25,Sun,2020,7,6.0,Home,KAN,L 16-43,9.5,31.0,0.4,,,7
Albert Okwuegbunam,22.19,TE,DEN,2020-11-01,Sun,2020,8,7.0,Home,LAC,W 31-30,7.4,16.0,0.25,,,8
Albert Okwuegbunam,22.197,TE,DEN,2020-11-08,Sun,2020,9,8.0,Away,ATL,L 27-34,1.2000000000000002,15.0,0.21,,,9
Aldon Smith,30.354,DL,DAL,2020-09-13,Sun,2020,1,1.0,Away,LAR,L 17-20,18.75,54.0,0.74,,,1
Aldon Smith,30.361,DL,DAL,2020-09-20,Sun,2020,2,2.0,Home,ATL,W 40-39,5.25,61.0,0.8,,,2
Aldon Smith,31.002,DL,DAL,2020-09-27,Sun,2020,3,3.0,Away,SEA,L 31-38,23.5,60.0,0.78,,,3
Aldon Smith,31.009,DL,DAL,2020-10-04,Sun,2020,4,4.0,Home,CLE,L 38-49,3.0,54.0,0.68,,,4
Aldon Smith,31.016,DL,DAL,2020-10-11,Sun,2020,5,5.0,Home,NYG,W 37-34,5.25,57.0,0.84,,,5
Aldon Smith,31.024,DL,DAL,2020-10-19,Mon,2020,6,6.0,Home,ARI,L 10-38,5.25,41.0,0.66,,,6
Aldon Smith,31.03,DL,DAL,2020-10-25,Sun,2020,7,7.0,Away,WAS,L 3-25,3.0,42.0,0.61,,,7
Aldon Smith,31.037,DL,DAL,2020-11-01,Sun,2020,8,8.0,Away,PHI,L 9-23,7.75,41.0,0.65,,,8
Alex Bars,,,,,,2020,1,,,,,,,,,,1
Alex Bars,,,,,,2020,2,,,,,,,,,,2
Alex Bars,,,,,,2020,3,,,,,,,,,,3
Alex Bars,,,,,,2020,4,,,,,,,,,,4
Alex Bars,,,,,,2020,5,,,,,,,,,,5
Alex Mack,,,,,,2020,1,,,,,,,,,,1
Alex Mack,,,,,,2020,2,,,,,,,,,,2
Alex Mack,,,,,,2020,3,,,,,,,,,,3
Alex Mack,,,,,,2020,4,,,,,,,,,,4
Alex Mack,,,,,,2020,5,,,,,,,,,,5
Alex Mack,,,,,,2020,6,,,,,,,,,,6
Alex Mack,,,,,,2020,7,,,,,,,,,,7
Alex Mack,,,,,,2020,8,,,,,,,,,,8
Alex Mack,,,,,,2020,9,,,,,,,,,,9
Alex Mack,,,,,,2020,10,,,,,,,,,,10
Alex Mack,,,,,,2020,11,,,,,,,,,,11
Alex Mack,,,,,,2020,12,,,,,,,,,,12
Alex Mack,,,,,,2020,13,,,,,,,,,,13
Alex Mack,,,,,,2020,14,,,,,,,,,,14
Alex Mack,,,,,,2020,15,,,,,,,,,,15
Alex Okafor,29.215,DL,KAN,2020-09-10,Thu,2020,1,1.0,Home,HOU,W 34-20,2.75,10.0,0.17,,,1
Alex Redmond,,,,,,2020,1,,,,,,,,,,1
Alex Redmond,,,,,,2020,2,,,,,,,,,,2
Alex Redmond,,,,,,2020,3,,,,,,,,,,3
Alex Redmond,,,,,,2020,4,,,,,,,,,,4
Alex Redmond,,,,,,2020,5,,,,,,,,,,5
Alex Redmond,,,,,,2020,6,,,,,,,,,,6
Alex Redmond,,,,,,2020,7,,,,,,,,,,7
Alex Redmond,,,,,,2020,8,,,,,,,,,,8
Alex Redmond,,,,,,2020,9,,,,,,,,,,9
Alex Redmond,,,,,,2020,10,,,,,,,,,,10
Alex Smith,,,,,,2020,1,,,,,,,,,,1
Alex Smith,,,,,,2020,2,,,,,,,,,,2
Alex Smith,,,,,,2020,3,,,,,,,,,,3
Alex Smith,,,,,,2020,4,,,,,,,,,,4
Alex Smith,36.157,QB,WAS,2020-10-11,Sun,2020,5,5.0,Home,LAR,L 10-30,5.58,29.0,0.54,,,5
Alex Smith,,,,,,2020,6,,,,,,,,,,6
Alex Smith,,,,,,2020,7,,,,,,,,,,7
Alex Smith,,,,,,2020,8,,,,,,,,,,8
Alex Smith,36.185,QB,WAS,2020-11-08,Sun,2020,9,8.0,Home,NYG,L 20-23,14.0,44.0,0.81,,,9
Alex Smith,36.192,QB,WAS,2020-11-15,Sun,2020,10,9.0,Away,DET,L 27-30,16.0,88.0,1.0,,,10
Alex Smith,36.199,QB,WAS,2020-11-22,Sun,2020,11,10.0,Home,CIN,W 20-9,9.34,62.0,1.0,,,11
Alex Smith,36.203,QB,WAS,2020-11-26,Thu,2020,12,11.0,Away,DAL,W 41-16,9.06,69.0,1.0,,,12
Alex Smith,36.214,QB,WAS,2020-12-07,Mon,2020,13,12.0,Away,PIT,W 23-17,15.84,72.0,1.0,,,13
Alex Smith,36.22,QB,WAS,2020-12-13,Sun,2020,14,13.0,Away,SFO,W 23-15,1.2800000000000002,32.0,0.51,,,14
Alexander Mattison,22.086,RB,MIN,2020-09-13,Sun,2020,1,1.0,Home,GNB,L 34-43,10.0,19.0,0.37,,,1
Alexander Mattison,22.093,RB,MIN,2020-09-20,Sun,2020,2,2.0,Away,IND,L 11-28,2.1,10.0,0.19,,,2
Alexander Mattison,22.1,RB,MIN,2020-09-27,Sun,2020,3,3.0,Home,TEN,L 30-31,2.7,16.0,0.24,,,3
Alexander Mattison,22.107,RB,MIN,2020-10-04,Sun,2020,4,4.0,Away,HOU,W 31-23,7.7,15.0,0.23,,,4
Alexander Mattison,22.114,RB,MIN,2020-10-11,Sun,2020,5,5.0,Away,SEA,L 26-27,15.1,43.0,0.49,,,5
Alexander Mattison,22.121,RB,MIN,2020-10-18,Sun,2020,6,6.0,Home,ATL,L 23-40,3.5,27.0,0.48,,,6
Alexander Mattison,,,,,,2020,7,,,,,,,,,,7
Alexander Mattison,22.135,RB,MIN,2020-11-01,Sun,2020,8,7.0,Away,GNB,W 28-22,0.8,5.0,0.09,,,8
Alexander Mattison,22.142,RB,MIN,2020-11-08,Sun,2020,9,8.0,Home,DET,W 34-20,6.9,16.0,0.28,,,9
Alexander Mattison,22.15,RB,MIN,2020-11-16,Mon,2020,10,9.0,Away,CHI,W 19-13,0.4,5.0,0.07,,,10
Alexander Mattison,22.156,RB,MIN,2020-11-22,Sun,2020,11,10.0,Home,DAL,L 28-31,0.6000000000000001,5.0,0.08,,,11
Alexander Mattison,22.163,RB,MIN,2020-11-29,Sun,2020,12,11.0,Home,CAR,W 28-27,0.6000000000000001,12.0,0.16,,,12
Ali Marpet,,,,,,2020,1,,,,,,,,,,1
Ali Marpet,,,,,,2020,2,,,,,,,,,,2
Ali Marpet,,,,,,2020,3,,,,,,,,,,3
Ali Marpet,,,,,,2020,4,,,,,,,,,,4
Ali Marpet,,,,,,2020,5,,,,,,,,,,5
Ali Marpet,,,,,,2020,6,,,,,,,,,,6
Ali Marpet,,,,,,2020,7,,,,,,,,,,7
Ali Marpet,,,,,,2020,8,,,,,,,,,,8
Allen Lazard,24.277,WR,GNB,2020-09-13,Sun,2020,1,1.0,Away,MIN,W 43-34,16.200000000000003,67.0,0.84,,,1
Allen Lazard,24.284,WR,GNB,2020-09-20,Sun,2020,2,2.0,Home,DET,W 42-21,6.0,61.0,0.84,,,2
Allen Lazard,24.291,WR,GNB,2020-09-27,Sun,2020,3,3.0,Away,NOR,W 37-30,23.4,59.0,0.95,,,3
Allen Robinson,27.02,WR,CHI,2020-09-13,Sun,2020,1,1.0,Away,DET,W 27-23,9.8,53.0,0.82,,,1
Allen Robinson,27.027,WR,CHI,2020-09-20,Sun,2020,2,2.0,Home,NYG,W 17-13,4.800000000000001,53.0,0.82,,,2
Allen Robinson,27.034,WR,CHI,2020-09-27,Sun,2020,3,3.0,Away,ATL,W 30-26,23.3,64.0,0.78,,,3
Allen Robinson,27.041,WR,CHI,2020-10-04,Sun,2020,4,4.0,Home,IND,L 11-19,19.6,55.0,0.89,,,4
Allen Robinson,27.045,WR,CHI,2020-10-08,Thu,2020,5,5.0,Home,TAM,W 20-19,14.0,55.0,0.87,,,5
Allen Robinson,27.055,WR,CHI,2020-10-18,Sun,2020,6,6.0,Away,CAR,W 23-16,7.800000000000001,58.0,0.88,,,6
Allen Robinson,27.063,WR,CHI,2020-10-26,Mon,2020,7,7.0,Away,LAR,L 10-24,9.0,,,,,7
Allen Robinson,27.069,WR,CHI,2020-11-01,Sun,2020,8,8.0,Home,NOR,L 23-26,17.700000000000003,68.0,0.97,,,8
Allen Robinson,27.076,WR,CHI,2020-11-08,Sun,2020,9,9.0,Away,TEN,L 17-24,11.6,73.0,0.95,,,9
Alton Robinson,,,,,,2020,1,,,,,,,,,,1
Alton Robinson,,,,,,2020,2,,,,,,,,,,2
Alton Robinson,22.117,DL,SEA,2020-09-27,Sun,2020,3,3.0,Home,DAL,W 38-31,12.5,30.0,0.36,,,3
Alton Robinson,22.124,DL,SEA,2020-10-04,Sun,2020,4,4.0,Away,MIA,W 31-23,3.5,27.0,0.38,,,4
Alton Robinson,22.131,DL,SEA,2020-10-11,Sun,2020,5,5.0,Home,MIN,W 27-26,3.0,35.0,0.4,,,5
Alton Robinson,,,,,,2020,6,,,,,,,,,,6
Alton Robinson,22.145,DL,SEA,2020-10-25,Sun,2020,7,6.0,Away,ARI,L 34-37,1.5,7.0,0.08,,,7
Alton Robinson,22.152,DL,SEA,2020-11-01,Sun,2020,8,7.0,Home,SFO,W 37-27,9.75,49.0,0.7,,,8
Alton Robinson,,DL,SEA,2020-11-08,Sun,2020,9,8.0,Away,BUF,L 34-44,,36.0,0.53,,,9
Alvin Kamara,25.05,RB,NOR,2020-09-13,Sun,2020,1,1.0,Home,TAM,W 34-23,21.2,45.0,0.65,,,1
Alvin Kamara,25.058,RB,NOR,2020-09-21,Mon,2020,2,2.0,Away,LVR,L 24-34,33.9,41.0,0.68,,,2
Alvin Kamara,25.064,RB,NOR,2020-09-27,Sun,2020,3,3.0,Home,GNB,L 30-37,38.2,41.0,0.67,,,3
Alvin Kamara,25.071,RB,NOR,2020-10-04,Sun,2020,4,4.0,Away,DET,W 35-29,23.4,47.0,0.66,,,4
Alvin Kamara,25.079,RB,NOR,2020-10-12,Mon,2020,5,5.0,Home,LAC,W 30-27,15.9,58.0,0.76,,,5
Alvin Kamara,,,,,,2020,6,,,,,,,,,,6
Alvin Kamara,25.092,RB,NOR,2020-10-25,Sun,2020,7,6.0,Home,CAR,W 27-24,18.8,51.0,0.73,,,7
Alvin Kamara,25.099,RB,NOR,2020-11-01,Sun,2020,8,7.0,Away,CHI,W 26-23,24.8,58.0,0.78,,,8
Alvin Kamara,25.106,RB,NOR,2020-11-08,Sun,2020,9,8.0,Away,TAM,W 38-3,13.4,37.0,0.51,,,9
Alvin Kamara,25.113,RB,NOR,2020-11-15,Sun,2020,10,9.0,Home,SFO,W 27-13,31.3,39.0,0.66,,,10
Alvin Kamara,25.12,RB,NOR,2020-11-22,Sun,2020,11,10.0,Home,ATL,W 24-9,10.5,32.0,0.48,,,11
Alvin Kamara,25.127,RB,NOR,2020-11-29,Sun,2020,12,11.0,Away,DEN,W 31-3,5.7,31.0,0.48,,,12
Alvin Kamara,25.134,RB,NOR,2020-12-06,Sun,2020,13,12.0,Away,ATL,W 21-16,20.7,48.0,0.62,,,13
Alvin Kamara,25.141,RB,NOR,2020-12-13,Sun,2020,14,13.0,Away,PHI,L 21-24,18.9,45.0,0.71,,,14
Alvin Kamara,25.148,RB,NOR,2020-12-20,Sun,2020,15,14.0,Home,KAN,L 29-32,16.9,40.0,0.73,,,15
Alvin Kamara,25.153,RB,NOR,2020-12-25,Fri,2020,16,15.0,Home,MIN,W 52-33,54.7,45.0,0.6,,,16
Amani Bledsoe,,DL,CIN,2020-09-13,Sun,2020,1,1.0,Home,LAC,L 13-16,,10.0,0.14,,,1
Amani Bledsoe,22.224,DL,CIN,2020-09-17,Thu,2020,2,2.0,Away,CLE,L 30-35,2.25,24.0,0.41,,,2
Amani Bledsoe,,DL,CIN,2020-09-27,Sun,2020,3,3.0,Away,PHI,T 23-23,,25.0,0.27,,,3
Amani Bledsoe,22.241,DL,CIN,2020-10-04,Sun,2020,4,4.0,Home,JAX,W 33-25,1.5,14.0,0.21,,,4
Amani Bledsoe,22.248,DL,CIN,2020-10-11,Sun,2020,5,5.0,Away,BAL,L 3-27,3.0,14.0,0.22,,,5
Amani Bledsoe,22.255,DL,CIN,2020-10-18,Sun,2020,6,6.0,Away,IND,L 27-31,1.5,29.0,0.46,,,6
Amani Bledsoe,22.262,DL,CIN,2020-10-25,Sun,2020,7,7.0,Home,CLE,L 34-37,0.75,28.0,0.54,,,7
Amani Bledsoe,22.269,DL,CIN,2020-11-01,Sun,2020,8,8.0,Home,TEN,W 31-20,3.0,27.0,0.43,,,8
Amani Bledsoe,,,,,,2020,9,,,,,,,,,,9
Amani Bledsoe,22.283,DL,CIN,2020-11-15,Sun,2020,10,9.0,Away,PIT,L 10-36,2.25,31.0,0.42,,,10
Amani Bledsoe,,DL,CIN,2020-11-22,Sun,2020,11,10.0,Away,WAS,L 9-20,,20.0,0.32,,,11
Amani Bledsoe,22.297,DL,CIN,2020-11-29,Sun,2020,12,11.0,Home,NYG,L 17-19,3.75,21.0,0.26,,,12
Amani Oruwariye,24.217,DB,DET,2020-09-13,Sun,2020,1,1.0,Home,CHI,L 23-27,6.0,65.0,1.0,,,1
Amani Oruwariye,24.224,DB,DET,2020-09-20,Sun,2020,2,2.0,Away,GNB,L 21-42,4.5,73.0,1.0,,,2
Amani Oruwariye,24.231,DB,DET,2020-09-27,Sun,2020,3,3.0,Away,ARI,W 26-23,6.0,65.0,1.0,,,3
Amani Oruwariye,24.238,DB,DET,2020-10-04,Sun,2020,4,4.0,Home,NOR,L 29-35,4.5,60.0,0.85,,,4
Amani Oruwariye,,,,,,2020,5,,,,,,,,,,5
