Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
Adam Humphries,24.177,WR,TAM,2017-12-18,Mon,2017,15,14.0,Home,ATL,L 21-24,13.4,38.0,0.64,,
Adam Humphries,24.183,WR,TAM,2017-12-24,Sun,2017,16,15.0,Away,CAR,L 19-22,6.6000000000000005,35.0,0.55,,
Adam Humphries,24.19,WR,TAM,2017-12-31,Sun,2017,17,16.0,Home,NOR,W 31-24,13.7,58.0,0.7,,
Adam Jones,,,CIN,2017-10-22,Sun,2017,7,6.0,Away,PIT,L 14-29,,,,Doubtful,Back
Adam Jones,34.029,CB,CIN,2017-10-29,Sun,2017,8,7.0,Home,IND,W 24-23,1.5,44.0,44.0,,
Adam Jones,34.036,CB,CIN,2017-11-05,Sun,2017,9,8.0,Away,JAX,L 7-23,9.0,49.0,49.0,,
Adam Jones,34.043,CB,CIN,2017-11-12,Sun,2017,10,9.0,Away,TEN,L 20-24,3.75,27.0,27.0,,
Adam Jones,,,CIN,2017-11-19,Sun,2017,11,10.0,Away,DEN,W 20-17,,,,Out,Concussion
Adam Jones,34.057,CB,CIN,2017-11-26,Sun,2017,12,11.0,Home,CLE,W 30-16,2.25,26.0,26.0,,
Adam Jones,34.065,CB,CIN,2017-12-04,Mon,2017,13,12.0,Home,PIT,L 20-23,9.0,5.0,5.0,,
Adam Jones,,,CIN,2017-12-10,Sun,2017,14,13.0,Home,CHI,L 7-33,,,,Out,Groin
Adam Jones,,,CIN,2017-12-17,Sun,2017,15,14.0,Away,MIN,L 7-34,,,,Injured Reserve,Groin
Adam Jones,,,CIN,2017-12-24,Sun,2017,16,15.0,Home,DET,W 26-17,,,,Injured Reserve,Groin
Adam Jones,,,CIN,2017-12-31,Sun,2017,17,16.0,Away,BAL,W 31-27,,,,Injured Reserve,Groin
Adam Shaheen,,,CHI,2017-12-16,Sat,2017,15,14.0,Away,DET,L 10-20,,,,Questionable,Chest
Adam Shaheen,,,CHI,2017-12-24,Sun,2017,16,15.0,Home,CLE,W 20-3,,,,Questionable,Chest
Adam Shaheen,,,CHI,2017-12-31,Sun,2017,17,16.0,Away,MIN,L 10-23,,,,Questionable,Chest
Adarius Taylor,27.031,LB,TAM,2017-10-22,Sun,2017,7,6.0,Away,BUF,L 27-30,0.0,2.0,2.0,Questionable,Hamstring
Adarius Taylor,27.038,LB,TAM,2017-10-29,Sun,2017,8,7.0,Home,CAR,L 3-17,1.5,2.0,2.0,,
Adarius Taylor,27.045,LB,TAM,2017-11-05,Sun,2017,9,8.0,Away,NOR,L 10-30,0.0,,,,
Adarius Taylor,27.052,LB,TAM,2017-11-12,Sun,2017,10,9.0,Home,NYJ,W 15-10,0.0,,,,
Adarius Taylor,27.059,LB,TAM,2017-11-19,Sun,2017,11,10.0,Away,MIA,W 30-20,12.25,1.0,1.0,,
Adarius Taylor,27.066,LB,TAM,2017-11-26,Sun,2017,12,11.0,Away,ATL,L 20-34,0.0,,,,
Adarius Taylor,27.073,LB,TAM,2017-12-03,Sun,2017,13,12.0,Away,GNB,L 20-26,0.0,1.0,1.0,,
Adarius Taylor,27.08,LB,TAM,2017-12-10,Sun,2017,14,13.0,Home,DET,L 21-24,1.5,,,,
Adarius Taylor,27.088,LB,TAM,2017-12-18,Mon,2017,15,14.0,Home,ATL,L 21-24,5.25,42.0,42.0,,
Adarius Taylor,,,TAM,2017-12-24,Sun,2017,16,15.0,Away,CAR,L 19-22,,,,Injured Reserve,Leg
Adarius Taylor,,,TAM,2017-12-31,Sun,2017,17,16.0,Home,NOR,W 31-24,,,,Injured Reserve,Leg
Adrian Amos,,,CHI,2017-12-03,Sun,2017,13,12.0,Home,SFO,L 14-15,,,,Doubtful,Hamstring
Adrian Amos,,,CHI,2017-12-10,Sun,2017,14,13.0,Away,CIN,W 33-7,,,,Doubtful,Hamstring
Adrian Amos,,,CHI,2017-12-16,Sat,2017,15,14.0,Away,DET,L 10-20,,,,Questionable,Hamstring
Adrian Amos,24.239,S,CHI,2017-12-24,Sun,2017,16,15.0,Home,CLE,W 20-3,3.0,59.0,59.0,,
Adrian Amos,24.246,S,CHI,2017-12-31,Sun,2017,17,16.0,Away,MIN,L 10-23,17.5,75.0,75.0,,
Adrian Colbert,,,SFO,2017-10-08,Sun,2017,5,5.0,Away,IND,L 23-26,,,,Out,Hamstring
Adrian Colbert,24.009,DB,SFO,2017-10-15,Sun,2017,6,6.0,Away,WAS,L 24-26,0.0,,,Questionable,Hamstring
Adrian Colbert,24.016,S,SFO,2017-10-22,Sun,2017,7,7.0,Home,DAL,L 10-40,3.75,29.0,29.0,,
Adrian Colbert,24.023,S,SFO,2017-10-29,Sun,2017,8,8.0,Away,PHI,L 10-33,3.0,55.0,55.0,,
Adrian Colbert,24.03,S,SFO,2017-11-05,Sun,2017,9,9.0,Home,ARI,L 10-20,8.25,62.0,62.0,,
Adrian Colbert,24.037,S,SFO,2017-11-12,Sun,2017,10,10.0,Home,NYG,W 31-21,9.0,66.0,66.0,,
Adrian Colbert,,,SFO,2017-11-26,Sun,2017,12,11.0,Home,SEA,L 13-24,,,,Out,Thumb
Adrian Colbert,24.058,S,SFO,2017-12-03,Sun,2017,13,12.0,Away,CHI,W 15-14,4.5,37.0,37.0,Questionable,Thumb
Adrian Colbert,24.065,S,SFO,2017-12-10,Sun,2017,14,13.0,Away,HOU,W 26-16,10.0,67.0,67.0,,
