Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
Al Woods,32.223,DT,SEA,2019-11-03,Sun,2019,9,9.0,Home,TAM,W 40-34,0.75,39.0,0.51,,
Al Woods,32.231,DT,SEA,2019-11-11,Mon,2019,10,10.0,Away,SFO,W 27-24,15.5,39.0,0.48,,
Al Woods,32.244,DT,SEA,2019-11-24,Sun,2019,12,11.0,Away,PHI,W 17-9,4.0,33.0,0.45,,
Al-Quadin Muhammad,24.164,DE,IND,2019-09-08,Sun,2019,1,1.0,Away,LAC,L 24-30,9.0,39.0,0.61,,
Al-Quadin Muhammad,24.171,DE,IND,2019-09-15,Sun,2019,2,2.0,Away,TEN,W 19-17,12.0,49.0,0.83,,
Al-Quadin Muhammad,24.178,DE,IND,2019-09-22,Sun,2019,3,3.0,Home,ATL,W 27-24,3.5,41.0,0.68,,
Albert McClellan,33.11,LB,NYJ,2019-09-22,Sun,2019,3,3.0,Away,NWE,L 14-30,0.0,,,,
Albert McClellan,33.124,LB,NYJ,2019-10-06,Sun,2019,5,4.0,Away,PHI,L 6-31,0.0,,,,
Albert McClellan,33.131,LB,NYJ,2019-10-13,Sun,2019,6,5.0,Home,DAL,W 24-22,3.75,28.0,0.34,,
Alec Ogletree,27.348,LB,NYG,2019-09-08,Sun,2019,1,1.0,Away,DAL,L 17-35,9.0,68.0,1.0,,
Alec Ogletree,27.355,LB,NYG,2019-09-15,Sun,2019,2,2.0,Home,BUF,L 14-28,8.25,70.0,1.0,,
Alec Ogletree,27.362,LB,NYG,2019-09-22,Sun,2019,3,3.0,Away,TAM,W 32-31,3.75,29.0,0.38,,
Alex Anzalone,24.352,LB,NOR,2019-09-09,Mon,2019,1,1.0,Home,HOU,W 30-28,13.5,29.0,0.45,,
Alex Anzalone,24.358,LB,NOR,2019-09-15,Sun,2019,2,2.0,Away,LAR,L 9-27,3.0,17.0,0.25,,
Alex Ellis,,TE,PHI,2019-09-08,Sun,2019,1,1.0,Home,WAS,W 32-27,,2.0,0.03,,
Alex Ellis,,TE,PHI,2019-09-22,Sun,2019,3,3.0,Home,DET,L 24-27,,1.0,0.01,,
Alex Ellis,,TE,PHI,2019-09-26,Thu,2019,4,4.0,Away,GNB,W 34-27,,3.0,0.05,,
Alex Okafor,28.212,DE,KAN,2019-09-08,Sun,2019,1,1.0,Away,JAX,W 40-26,5.25,37.0,0.64,,
Alex Okafor,,DE,KAN,2019-09-15,Sun,2019,2,2.0,Away,OAK,W 28-10,,55.0,0.89,,
Alex Okafor,28.226,DE,KAN,2019-09-22,Sun,2019,3,3.0,Home,BAL,W 33-28,4.5,55.0,0.67,,
Alex Okafor,28.233,DE,KAN,2019-09-29,Sun,2019,4,4.0,Away,DET,W 34-30,8.25,31.0,0.41,,
Alexander Johnson,27.286,LB,DEN,2019-10-06,Sun,2019,5,5.0,Away,LAC,W 20-13,20.75,65.0,0.93,,
Alexander Johnson,27.293,LB,DEN,2019-10-13,Sun,2019,6,6.0,Home,TEN,W 16-0,19.25,57.0,0.86,,
Alexander Johnson,27.297,LB,DEN,2019-10-17,Thu,2019,7,7.0,Home,KAN,L 6-30,3.75,42.0,0.67,,
Alexander Johnson,27.307,LB,DEN,2019-10-27,Sun,2019,8,8.0,Away,IND,L 13-15,14.5,58.0,0.91,,
Alexander Johnson,27.314,LB,DEN,2019-11-03,Sun,2019,9,9.0,Home,CLE,W 24-19,14.25,72.0,0.96,,
Alexander Johnson,27.328,LB,DEN,2019-11-17,Sun,2019,11,10.0,Away,MIN,L 23-27,9.25,62.0,1.0,,
Alexander Johnson,27.335,LB,DEN,2019-11-24,Sun,2019,12,11.0,Away,BUF,L 3-20,20.75,60.0,0.81,,
Alexander Mattison,21.081,RB,MIN,2019-09-08,Sun,2019,1,1.0,Home,ATL,W 28-12,4.9,12.0,0.21,,
Alexander Mattison,21.088,RB,MIN,2019-09-15,Sun,2019,2,2.0,Away,GNB,L 16-21,2.5,8.0,0.12,,
Alexander Mattison,21.095,RB,MIN,2019-09-22,Sun,2019,3,3.0,Home,OAK,W 34-14,11.8,19.0,0.31,,
Alexander Mattison,21.102,RB,MIN,2019-09-29,Sun,2019,4,4.0,Away,CHI,L 6-16,1.8,6.0,0.1,,
Alexander Mattison,21.109,RB,MIN,2019-10-06,Sun,2019,5,5.0,Away,NYG,W 28-10,5.2,16.0,0.24,,
Alexander Mattison,21.116,RB,MIN,2019-10-13,Sun,2019,6,6.0,Home,PHI,W 38-20,4.300000000000001,21.0,0.3,,
Alexander Mattison,21.123,RB,MIN,2019-10-20,Sun,2019,7,7.0,Away,DET,W 42-30,5.8,21.0,0.28,,
Alexander Mattison,21.127,RB,MIN,2019-10-24,Thu,2019,8,8.0,Home,WAS,W 19-9,7.4,19.0,0.26,,
Alexander Mattison,21.137,RB,MIN,2019-11-03,Sun,2019,9,9.0,Away,KAN,L 23-26,0.6000000000000001,6.0,0.09,,
Alexander Mattison,21.144,RB,MIN,2019-11-10,Sun,2019,10,10.0,Away,DAL,W 28-24,5.9,12.0,0.17,,
Alexander Mattison,21.151,RB,MIN,2019-11-17,Sun,2019,11,11.0,Home,DEN,W 27-23,0.5,4.0,0.06,,
Alexander Mattison,21.166,RB,MIN,2019-12-02,Mon,2019,13,12.0,Away,SEA,L 30-37,9.3,26.0,0.48,,
Alexander Mattison,21.172,RB,MIN,2019-12-08,Sun,2019,14,13.0,Home,DET,W 20-7,7.4,27.0,0.38,,
Allen Bailey,30.167,DE,ATL,2019-09-08,Sun,2019,1,1.0,Away,MIN,L 12-28,8.75,44.0,0.79,,
Allen Bailey,30.174,DE,ATL,2019-09-15,Sun,2019,2,2.0,Home,PHI,W 24-20,1.5,36.0,0.45,,
Allen Bailey,30.181,DE,ATL,2019-09-22,Sun,2019,3,3.0,Away,IND,L 24-27,2.25,43.0,0.64,,
Allen Bailey,30.188,DE,ATL,2019-09-29,Sun,2019,4,4.0,Home,TEN,L 10-24,4.25,46.0,0.74,,
Allen Bailey,30.195,DE,ATL,2019-10-06,Sun,2019,5,5.0,Away,HOU,L 32-53,3.75,52.0,0.73,,
Allen Bailey,30.202,DE,ATL,2019-10-13,Sun,2019,6,6.0,Away,ARI,L 33-34,1.5,38.0,0.55,,
Allen Bailey,30.209,DE,ATL,2019-10-20,Sun,2019,7,7.0,Home,LAR,L 10-37,1.5,52.0,0.68,,
Allen Bailey,30.216,DE,ATL,2019-10-27,Sun,2019,8,8.0,Home,SEA,L 20-27,1.5,38.0,0.61,,
Allen Bailey,,DE,ATL,2019-11-10,Sun,2019,10,9.0,Away,NOR,W 26-9,,13.0,0.2,,
Allen Bailey,30.237,DE,ATL,2019-11-17,Sun,2019,11,10.0,Away,CAR,W 29-3,8.25,28.0,0.37,,
Allen Bailey,30.244,DE,ATL,2019-11-24,Sun,2019,12,11.0,Home,TAM,L 22-35,3.0,42.0,0.65,,
Allen Bailey,,DE,ATL,2019-11-28,Thu,2019,13,12.0,Home,NOR,L 18-26,,19.0,0.38,,
Allen Bailey,30.258,DE,ATL,2019-12-08,Sun,2019,14,13.0,Home,CAR,W 40-20,3.5,28.0,0.39,,
Allen Hurns,27.3,WR,MIA,2019-09-08,Sun,2019,1,1.0,Home,BAL,L 10-59,2.7,34.0,0.69,,
Allen Hurns,27.307,WR,MIA,2019-09-15,Sun,2019,2,2.0,Home,NWE,L 0-43,1.8,28.0,0.45,,
Allen Hurns,27.314,WR,MIA,2019-09-22,Sun,2019,3,3.0,Away,DAL,L 6-31,1.1,5.0,0.07,,
Alshon Jeffery,29.206,WR,PHI,2019-09-08,Sun,2019,1,1.0,Home,WAS,W 32-27,19.6,59.0,0.8,,
Alshon Jeffery,,WR,PHI,2019-09-15,Sun,2019,2,2.0,Away,ATL,L 20-24,,6.0,0.08,,
Alvin Kamara,24.046,RB,NOR,2019-09-09,Mon,2019,1,1.0,Home,HOU,W 30-28,20.4,50.0,0.76,,
Alvin Kamara,24.052,RB,NOR,2019-09-15,Sun,2019,2,2.0,Away,LAR,L 9-27,6.5,40.0,0.63,,
Alvin Kamara,24.059,RB,NOR,2019-09-22,Sun,2019,3,3.0,Away,SEA,W 33-27,32.6,49.0,0.88,,
Alvin Kamara,24.066,RB,NOR,2019-09-29,Sun,2019,4,4.0,Home,DAL,W 12-10,10.4,55.0,0.79,,
Alvin Kamara,24.073,RB,NOR,2019-10-06,Sun,2019,5,5.0,Home,TAM,W 31-24,13.920000000000002,47.0,0.68,,
Amari Cooper,25.083,WR,DAL,2019-09-08,Sun,2019,1,1.0,Home,NYG,W 35-17,19.6,52.0,0.76,,
Amari Cooper,25.09,WR,DAL,2019-09-15,Sun,2019,2,2.0,Away,WAS,W 31-21,12.4,63.0,0.91,,
Amari Cooper,25.097,WR,DAL,2019-09-22,Sun,2019,3,3.0,Home,MIA,W 31-6,23.8,61.0,0.85,,
