Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
Jeff Wilson,RB,25.048,2021-01-03,NFL,SFO,,SEA,L 23-26,16,17,Sun,0,0,,0,0,0,,0,0,,,20,76,3.80,1,7,3,12,4.00,1,42.9%,1.71,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Wilson,RB,24.316,2020-09-27,NFL,SFO,@,NYG,W 36-9,3,3,Sun,0,0,,0,0,0,,0,0,,,12,15,1.25,1,3,3,54,18.00,1,100.0%,18.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Woods,WR,28.205,2020-11-01,NFL,LAR,@,MIA,L 17-28,8,8,Sun,0,0,,0,0,0,,0,0,,,2,9,4.50,1,8,7,85,12.14,1,87.5%,10.63,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameer Abdullah,RB,27.204,2021-01-03,NFL,MIN,@,DET,W 37-35,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,7,2.33,1,100.0%,2.33,,,,,,,,,1,6,4,107,26.75,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameer Abdullah,RB,27.148,2020-11-08,NFL,MIN,,DET,W 34-20,8,9,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,22,22.00,1,100.0%,22.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,27.355,2020-12-13,NFL,GNB,@,DET,W 31-24,13,14,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,10,7,115,16.43,1,70.0%,11.50,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,27.317,2020-11-05,NFL,GNB,@,SFO,W 34-17,8,9,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,12,10,173,17.30,1,83.3%,14.42,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,27.334,2020-11-22,NFL,GNB,@,IND,L 31-34,10,11,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,7,106,15.14,1,77.8%,11.78,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,27.327,2020-11-15,NFL,GNB,,JAX,W 24-20,9,10,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,12,8,66,8.25,1,66.7%,5.50,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Davante Adams,WR,28.010,2021-01-03,NFL,GNB,@,CHI,W 35-16,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,46,7.67,1,100.0%,7.67,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,27.341,2020-11-29,NFL,GNB,,CHI,W 41-25,11,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,6,61,10.17,1,66.7%,6.78,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Adams,RB,23.320,2020-09-13,NFL,NYJ,@,BUF,L 17-27,1,1,Sun,0,0,,0,0,0,,0,0,,,2,8,4.00,1,2,2,14,7.00,0,100.0%,7.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Adams,RB,24.066,2021-01-03,NFL,NYJ,@,NWE,L 14-28,16,17,Sun,0,0,,0,0,0,,0,0,,,11,47,4.27,1,4,2,12,6.00,0,50.0%,3.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,27.216,2020-12-26,NFL,LVR,,MIA,L 25-26,15,16,Sat,0,0,,0,0,0,,0,0,,,0,0,,0,6,5,155,31.00,1,83.3%,25.83,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,27.182,2020-11-22,NFL,LVR,,KAN,L 31-35,10,11,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,6,88,14.67,1,66.7%,9.78,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,27.140,2020-10-11,NFL,LVR,@,KAN,W 40-32,5,5,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,67,33.50,1,100.0%,33.50,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,27.133,2020-10-04,NFL,LVR,,BUF,L 23-30,4,4,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,44,11.00,1,100.0%,11.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,27.154,2020-10-25,NFL,LVR,,TAM,L 20-45,6,7,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,5,107,21.40,1,55.6%,11.89,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,27.112,2020-09-13,NFL,LVR,@,CAR,W 34-30,1,1,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,23,23.00,1,100.0%,23.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Agholor,WR,27.203,2020-12-13,NFL,LVR,,IND,L 27-44,13,14,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,5,100,20.00,1,55.6%,11.11,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,27.168,2020-11-08,NFL,LVR,@,LAC,W 31-26,8,9,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,3,2,55,27.50,1,66.7%,18.33,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Agnew,RB/WR,25.267,2020-12-26,NFL,DET,,TAM,L 7-47,15,16,Sat,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,,,,,,,,,1,6,2,46,23.00,0,2,78,39.00,1,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Salvon Ahmed,RB,21.322,2020-11-15,NFL,MIA,,LAC,W 29-21,9,10,Sun,0,0,,0,0,0,,0,0,,,21,85,4.05,1,1,1,5,5.00,0,100.0%,5.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvon Ahmed,RB,21.357,2020-12-20,NFL,MIA,,NWE,W 22-12,14,15,Sun,0,0,,0,0,0,,0,0,,,23,122,5.30,1,3,1,5,5.00,0,33.3%,1.67,,,,,,,1,,1,8,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvon Ahmed,RB,22.005,2021-01-03,NFL,MIA,@,BUF,L 26-56,16,17,Sun,0,0,,0,0,0,,0,0,,,6,29,4.83,1,3,3,19,6.33,0,100.0%,6.33,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
