Player_Address,Player,Position
/players/S/SandBe00,Beau Sandland,TE
/players/S/SchwEv00,Evan Schwan,DE
/players/S/SeniJu00,Justin Senior,OT
/players/S/SeveCa01,Canaan Severin,WR
/players/S/SiraNi00,Nico Siragusa,OG
/players/S/StewDe00,Dez Stewart,WR
/players/T/ThomDu02,Duke Thomas,CB
/players/T/ThomKe03,Kendal Thompson,WR
/players/T/TowbKe00,Keith Towbridge,TE
/players/W/WillDo05,Dom Williams,WR
/players/W/WillIs01,Ishaq Williams,DE
/players/W/WillJo08,Jordan Williams-Lambert,WR
/players/W/WillJo12,Joe Williams,RB
/players/Y/YounAv01,Avery Young,T
/players/B/BailRa00,Rasheed Bailey,WR
/players/C/CarlZa00,Zamir Carlis,DT
/players/C/CereJa00,Jake Ceresna,DL
/players/C/ChesTe00,Terrell Chestnut,CB
/players/C/ClarDo00,Donavon Clark,OG
/players/C/CoxxRa00,Rakim Cox,DE
/players/D/DaniSt00,Steven Daniels,ILB
/players/D/DiggRe00,Reggie Diggs,WR
/players/E/EkprIf00,Ifo Ekpre-Olomu,CB
/players/E/EskrDu01,Durell Eskridge,S
/players/F/FlorJa00,Jacob Flores,C
/players/G/GolsSe00,Senquez Golson,CB
/players/H/HardMa00,Marcus Hardison,DT
/players/J/JohnDe05,Devon Johnson,FB
/players/J/JohnTy01,Tyler Johnstone,T
/players/K/KudeTy00,Tyler Kuder,DT
/players/L/LandJi00,"Jimmy Landes
    
      (Jimbo Slice)",LS
/players/L/LawrNi01,Nile Lawrence-Stample,DL
/players/L/LuckCa00,Cavellis Luckett,LB
/players/M/ManhCo00,Cole Manhart,G
/players/M/MarcTy00,Tyler Marcordes,LB
/players/M/MasoDa00,Danny Mason,LB
/players/M/MatiJo01,Josue Matias,G
/players/M/MayeCh00,Chris Mayes,NT
/players/M/MorrRo01,Romar Morris,RB
/players/N/NembSt01,Stephane Nembot,T
/players/N/NortMa00,Marquez North,WR
/players/O/ObioJu00,Julien Obioha,DE
/players/O/OkotBe01,Bennett Okotcha,CB
/players/O/OkpaTr00,Tristan Okpalaugo,DE
/players/P/ParkDe02,Dennis Parks,WR
/players/P/PettD.01,D.J. Pettway,DL
/players/P/PettSh00,Shaq Petteway,LB
/players/P/PoolTe00,Terry Poole,OT
/players/P/PratKy00,Kyle Prater,WR
/players/P/PruiJi00,Jimmy Pruitt,DB
/players/R/RandBr01,Brian Randolph,DB
/players/R/RigsJo00,Jordan Rigsbee,T
/players/S/SchoJe00,Jeff Schoettmer,LB
/players/S/SlavTy00,Tyler Slavin,WR
/players/S/SommJo00,Joe Sommers,TE
/players/S/SpruNe01,Nelson Spruce,WR
/players/S/SteuKy00,Kyle Steuck,C
/players/T/ThomRo06,Ron Thompson,LB
/players/T/ThomTy01,Tyrus Thompson,OT
/players/T/TrinLo01,Louis Trinca-Pasat,DT
/players/U/Ume-Va00,Valerian Ume-Ezeoke,C
/players/V/VainSo01,Soma Vainuku,FB
/players/W/WellIa01,Ian Wells,CB
/players/W/WillAn02,Andrew Williamson,S
/players/W/WrayCa00,Carlos Wray,DT
/players/W/WynnDy00,Dylan Wynn,DL
/players/A/AndeDr00,Dres Anderson,WR
/players/D/DeboAn00,Andre Debose,WR
/players/H/HallJi00,Jimmy Hall,S
/players/M/MileAr00,Arthur Miley,DE
/players/T/TullDa00,Davis Tull,OLB
/players/W/WillJe02,Jesse Williams,DT
/players/W/WilsJu00,Julian Wilson,CB
