Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,Pnt,Yds,Y/P
KAN,2019,2020-01-12,3:05,2:05,,HOU,19,18,Sun,W 51-31,,51,31,20,82,-10.0,covered,50.5,over,23,35,65.7,316,5,0,1,5,134.6,21,118,5.62,2,434,57,7.6140,78,5.6667,1,25:25,3:25,4,37,7,87,11,124,29,9,16,4,8,2,25.0%,0,0,,7,7,6,1,1,0,,,4,123,30.75
NOR,2018,2018-11-11,1:00,1:00,@,CIN,10,9,Sun,W 51-14,,51,14,37,65,-6.0,covered,53.5,over,22,27,81.5,265,3,0,0,0,144.6,47,244,5.19,3,509,74,6.8784,43,6.6047,,39:46,2:44,1,5,4,26,5,31,33,18,13,2,12,7,58.3%,1,1,100.0%,6,6,6,3,3,0,,,0,0,
PHI,2017,2017-11-05,1:00,1:00,,DEN,9,9,Sun,W 51-23,,51,23,28,74,-7.0,covered,41.0,over,16,28,57.1,222,4,0,2,12,124.1,37,197,5.32,3,419,67,6.2537,60,3.7667,1,29:54,3:21,5,35,14,105,19,140,25,9,13,3,13,5,38.5%,4,2,50.0%,7,7,6,1,1,0,,,2,108,54.00
LAR,2017,2017-11-05,1:00,1:00,@,NYG,9,8,Sun,W 51-17,,51,17,34,68,-5.5,covered,42.5,over,14,22,63.6,311,4,0,0,0,146.8,39,162,4.15,2,473,61,7.7541,66,4.8333,,30:30,3:01,6,55,4,52,10,107,20,8,10,2,12,6,50.0%,1,0,0.0%,6,6,6,3,3,0,,,2,75,37.50
SFO,2019,2019-10-27,4:05,1:05,,CAR,8,7,Sun,W 51-13,,51,13,38,64,-4.5,covered,41.0,over,18,22,81.8,156,2,1,3,19,111.2,38,232,6.11,5,388,63,6.1587,63,3.6508,1,33:01,3:04,4,31,9,70,13,101,24,10,12,2,10,5,50.0%,0,0,,7,6,6,1,1,1,,,3,121,40.33
BAL,2019,2019-11-10,1:00,1:00,@,CIN,10,9,Sun,W 49-13,,49,13,36,62,-10.5,covered,44.0,over,18,22,81.8,243,3,1,1,0,133.3,23,136,5.91,2,379,46,8.2391,72,4.2639,1,23:49,2:50,5,35,1,5,6,40,20,7,13,0,6,4,66.7%,1,1,100.0%,7,7,7,,,0,,,1,34,34.00
CHI,2018,2018-09-30,1:00,12:00,,TAM,4,4,Sun,W 48-10,,48,10,38,58,-3.0,covered,46.0,over,19,26,73.1,344,6,0,1,10,154.6,31,139,4.48,0,483,58,8.3276,60,5.1833,,28:06,2:57,4,38,11,99,15,137,28,10,15,3,8,4,50.0%,0,0,,6,6,6,2,2,0,,,2,96,48.00
NOR,2018,2018-11-18,4:25,12:00,,PHI,11,10,Sun,W 48-7,,48,7,41,55,-7.0,covered,56.5,under,23,32,71.9,373,4,0,0,0,150.1,37,173,4.68,2,546,69,7.9130,48,4.0833,,37:34,3:07,8,69,6,49,14,118,28,6,21,1,11,6,54.5%,1,1,100.0%,6,6,6,2,2,0,,,2,99,49.50
NYJ,2018,2018-09-10,7:10,7:10,@,DET,1,1,Mon,W 48-17,,48,17,31,65,7.0,covered,44.0,over,16,21,76.2,180,2,1,2,18,116.8,36,169,4.69,2,349,59,5.9153,67,5.0597,2,33:07,3:18,7,49,3,15,10,64,18,7,10,1,14,6,42.9%,3,2,66.7%,6,6,6,2,2,0,,,3,112,37.33
LAR,2018,2018-12-30,4:25,1:25,,SFO,17,16,Sun,W 48-32,,48,32,16,80,-10.5,covered,49.5,over,17,29,58.6,222,4,0,0,0,122.4,42,155,3.69,1,377,71,5.3099,58,6.7414,,31:50,3:15,6,57,5,41,11,98,28,12,13,3,16,10,62.5%,1,0,0.0%,6,6,6,2,2,0,,,3,130,43.33
